Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/30/2020 15:15,67801,3186,62882
Beijing,Mainland China,3/30/2020 15:15,577,8,415
Shanghai,Mainland China,3/30/2020 15:15,498,5,338
Guangdong,Mainland China,3/30/2020 15:15,1484,8,1351
Fujian,Mainland China,3/30/2020 15:15,340,1,295
Zhejiang,Mainland China,3/30/2020 15:15,1255,1,1225
Tianjin,Mainland China,3/30/2020 15:15,174,3,133
Inner Mongolia,Mainland China,3/30/2020 15:15,97,1,74
Shandong,Mainland China,3/30/2020 15:15,773,7,753
Jiangsu,Mainland China,3/30/2020 15:15,645,0,631
Sichuan,Mainland China,3/30/2020 15:15,550,3,536
Gansu,Mainland China,3/30/2020 15:15,138,2,125
Shaanxi,Mainland China,3/30/2020 15:15,253,3,242
Yunnan,Mainland China,3/30/2020 15:15,180,2,172
Liaoning,Mainland China,3/30/2020 15:15,136,2,124
Jilin,Mainland China,3/30/2020 15:15,98,1,92
Hebei,Mainland China,3/30/2020 15:15,321,6,310
Henan,Mainland China,3/30/2020 15:15,1276,22,1251
Chongqing,Mainland China,3/30/2020 15:15,579,6,570
Heilongjiang,Mainland China,3/30/2020 15:15,484,13,469
Guangxi,Mainland China,3/30/2020 15:15,254,2,250
Shanxi,Mainland China,3/30/2020 15:15,136,0,133
Jiangxi,Mainland China,3/30/2020 15:15,937,1,935
Hunan,Mainland China,3/30/2020 15:15,1018,4,1014
Anhui,Mainland China,3/30/2020 15:15,990,6,984
Hainan,Mainland China,3/30/2020 15:15,168,6,162
Guizhou,Mainland China,3/30/2020 15:15,147,2,144
Xinjiang,Mainland China,3/30/2020 15:15,76,3,73
Ningxia,Mainland China,3/30/2020 15:15,75,0,75
Qinghai,Mainland China,3/30/2020 15:15,18,0,18
Tibet,Mainland China,3/30/2020 15:15,1,0,1
New South Wales,Australia,3/30/2020 15:15,1918,7,4
Queensland,Australia,3/30/2020 15:15,689,3,9
Victoria,Australia,3/30/2020 15:15,821,4,248
South Australia,Australia,3/30/2020 15:15,305,0,6
Western Australia,Australia,3/30/2020 15:15,355,2,41
Tasmania,Australia,3/30/2020 15:15,69,1,3
Australian Capital Territory,Australia,3/30/2020 15:15,78,1,2
Northern Territory,Australia,3/30/2020 15:15,14,0,0
,Artania Cruise,3/30/2020 15:15,29,0,0
New York,US,3/30/2020 15:15,66497,1218,0
New Jersey,US,3/30/2020 15:15,16636,198,1
Michigan,US,3/30/2020 15:15,6498,184,0
California,US,3/30/2020 15:15,6495,135,6
Florida,US,3/30/2020 15:15,5473,63,0
Massachusetts,US,3/30/2020 15:15,4955,48,1
WA,US,3/30/2020 15:15,4915,205,1
Illinois,US,3/30/2020 15:15,4596,66,2
Pennsylvania,US,3/30/2020 15:15,4155,50,0
Louisiana,US,3/30/2020 15:15,4025,185,0
Texas,US,3/30/2020 15:15,2991,42,0
Georgia,US,3/30/2020 15:15,2809,87,0
Colorado,US,3/30/2020 15:15,2311,47,0
Connecticut,US,3/30/2020 15:15,1993,34,0
Ohio,US,3/30/2020 15:15,1933,39,0
Tennessee,US,3/30/2020 15:15,1900,14,0
Indiana,US,3/30/2020 15:15,1787,35,0
Maryland,US,3/30/2020 15:15,1413,15,3
North Carolina,US,3/30/2020 15:15,1291,7,0
Wisconsin,US,3/30/2020 15:15,1221,19,1
Arizona,US,3/30/2020 15:15,1157,20,1
Missouri,US,3/30/2020 15:15,1063,13,0
Virginia,US,3/30/2020 15:15,1020,25,0
Nevada,US,3/30/2020 15:15,1008,15,0
Mississippi,US,3/30/2020 15:15,847,16,0
Alabama,US,3/30/2020 15:15,847,10,0
South Carolina,US,3/30/2020 15:15,774,16,0
Utah,US,3/30/2020 15:15,723,4,0
Oregon,US,3/30/2020 15:15,605,13,0
Minnesota,US,3/30/2020 15:15,576,10,0
Oklahoma,US,3/30/2020 15:15,483,16,0
Arkansas,US,3/30/2020 15:15,449,8,0
Kentucky,US,3/30/2020 15:15,439,9,1
Iowa,US,3/30/2020 15:15,424,6,0
Rhode Island,US,3/30/2020 15:15,408,3,0
Washington DC,US,3/30/2020 15:15,401,9,0
Kansas,US,3/30/2020 15:15,372,8,0
Idaho,US,3/30/2020 15:15,325,6,0
Maine,US,3/30/2020 15:15,275,3,0
Delaware,US,3/30/2020 15:15,264,6,0
New Hampshire,US,3/30/2020 15:15,258,3,0
Vermont,US,3/30/2020 15:15,256,12,0
New Mexico,US,3/30/2020 15:15,237,2,0
Hawaii,US,3/30/2020 15:15,175,0,0
Puerto Rico,US,3/30/2020 15:15,174,6,1
Montana,US,3/30/2020 15:15,171,5,0
Nebraska,US,3/30/2020 15:15,143,2,0
West Virginia,US,3/30/2020 15:15,124,1,0
Alaska,US,3/30/2020 15:15,114,3,0
North Dakota,US,3/30/2020 15:15,109,2,0
Grand Princess,US,3/30/2020 15:15,103,3,0
South Dakota,US,3/30/2020 15:15,101,1,0
Wyoming,US,3/30/2020 15:15,87,0,0
Guam,US,3/30/2020 15:15,58,1,0
Diamond Princess,US,3/30/2020 15:15,49,0,0
US Virgin Islands,US,3/30/2020 15:15,30,0,0
Quebec,Canada,3/30/2020 15:15,3430,22,0
Ontario,Canada,3/30/2020 15:15,1706,21,6
British Columbia,Canada,3/30/2020 15:15,884,17,4
Alberta,Canada,3/30/2020 15:15,661,3,0
Saskatchewan,Canada,3/30/2020 15:15,156,0,0
Newfoundland and Labrador,Canada,3/30/2020 15:15,148,0,0
Nova Scotia,Canada,3/30/2020 15:15,127,0,0
Manitoba,Canada,3/30/2020 15:15,96,1,0
New Brunswick,Canada,3/30/2020 15:15,66,0,0
Prince Edward Island,Canada,3/30/2020 15:15,18,0,0
Yukon,Canada,3/30/2020 15:15,4,0,0
Northwest Territories,Canada,3/30/2020 15:15,1,0,0
,US,3/30/2020 15:15,0,0,5193
,Canada,3/30/2020 15:15,0,0,1004
,Italy,3/30/2020 15:15,101739,11591,14620
,Spain,3/30/2020 15:15,85195,7340,16780
,Germany,3/30/2020 15:15,63929,560,9211
,France,3/30/2020 15:15,44550,3024,7927
,Iran,3/30/2020 15:15,41495,2757,13911
,UK,3/30/2020 15:15,22141,1408,135
,Switzerland,3/30/2020 15:15,15760,348,1823
Brussels,Belgium,3/30/2020 15:15,11899,513,1527
,Netherlands,3/30/2020 15:15,11750,864,250
,Turkey,3/30/2020 15:15,10827,168,162
,South Korea,3/30/2020 15:15,9661,158,5228
