Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Heilongjiang,Mainland China,4/28/2020 07:00,939,13,586,0,0
Shanghai,Mainland China,4/28/2020 07:00,644,7,584,0,0
Inner Mongolia,Mainland China,4/28/2020 07:00,199,1,145,0,0
Shaanxi,Mainland China,4/28/2020 07:00,306,3,253,0,0
Beijing,Mainland China,4/28/2020 07:00,593,9,525,0,0
Shanxi,Mainland China,4/28/2020 07:00,197,0,160,0,0
Guangdong,Mainland China,4/28/2020 07:00,1587,8,1547,0,0
Shandong,Mainland China,4/28/2020 07:00,787,7,768,0,0
Jilin,Mainland China,4/28/2020 07:00,110,1,99,0,0
Jiangsu,Mainland China,4/28/2020 07:00,653,0,646,0,0
Zhejiang,Mainland China,4/28/2020 07:00,1268,1,1261,0,0
Fujian,Mainland China,4/28/2020 07:00,355,1,349,0,0
Tianjin,Mainland China,4/28/2020 07:00,190,3,182,0,0
Hebei,Mainland China,4/28/2020 07:00,328,6,318,0,0
Yunnan,Mainland China,4/28/2020 07:00,185,2,181,0,0
Liaoning,Mainland China,4/28/2020 07:00,146,2,143,0,0
Hubei,Mainland China,4/28/2020 07:00,68128,4512,63616,0,0
Henan,Mainland China,4/28/2020 07:00,1276,22,1254,0,0
Hunan,Mainland China,4/28/2020 07:00,1019,4,1015,0,0
Anhui,Mainland China,4/28/2020 07:00,991,6,985,0,0
Jiangxi,Mainland China,4/28/2020 07:00,937,1,936,0,0
Chongqing,Mainland China,4/28/2020 07:00,579,6,573,0,0
Sichuan,Mainland China,4/28/2020 07:00,561,3,558,0,0
Guangxi,Mainland China,4/28/2020 07:00,254,2,252,0,0
Hainan,Mainland China,4/28/2020 07:00,168,6,162,0,0
Guizhou,Mainland China,4/28/2020 07:00,147,2,145,0,0
Gansu,Mainland China,4/28/2020 07:00,139,2,137,0,0
Xinjiang,Mainland China,4/28/2020 07:00,76,3,73,0,0
Ningxia,Mainland China,4/28/2020 07:00,75,0,75,0,0
Qinghai,Mainland China,4/28/2020 07:00,18,0,18,0,0
Tibet,Mainland China,4/28/2020 07:00,1,0,1,0,0
New South Wales,Australia,4/28/2020 07:00,3009,35,2243,207245,0
Queensland,Australia,4/28/2020 07:00,1033,6,934,101767,0
Victoria,Australia,4/28/2020 07:00,1351,17,1280,109000,0
South Australia,Australia,4/28/2020 07:00,438,4,420,54082,0
Western Australia,Australia,4/28/2020 07:00,550,8,486,35704,0
Tasmania,Australia,4/28/2020 07:00,217,11,135,10052,0
Australian Capital Territory,Australia,4/28/2020 07:00,106,3,101,8348,0
Northern Territory,Australia,4/28/2020 07:00,27,0,23,4245,0
New York,US,4/28/2020 07:00,298442,22668,32805,0,0
New Jersey,US,4/28/2020 07:00,111188,6044,730,0,0
Massachusetts,US,4/28/2020 07:00,56462,3003,1299,0,0
Illinois,US,4/28/2020 07:00,45885,1983,645,0,0
California,US,4/28/2020 07:00,45200,1788,3647,0,0
Pennsylvania,US,4/28/2020 07:00,43648,1906,765,0,0
Michigan,US,4/28/2020 07:00,38211,3407,8342,0,0
Florida,US,4/28/2020 07:00,32138,1088,174,0,0
Louisiana,US,4/28/2020 07:00,27068,1740,14927,0,0
Connecticut,US,4/28/2020 07:00,25997,2012,63,0,0
Texas,US,4/28/2020 07:00,25321,666,9227,0,0
Georgia,US,4/28/2020 07:00,24212,995,340,0,0
