Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/25/2020 22:00,1052,52,42,0
Zhejiang,Mainland China,1/25/2020 22:00,104,0,1,0
Guangdong,Mainland China,1/25/2020 22:00,98,0,2,0
Henan,Mainland China,1/25/2020 22:00,83,1,0,3
Chongqing,Mainland China,1/25/2020 22:00,75,0,0,0
Hunan,Mainland China,1/25/2020 22:00,69,0,0,0
Anhui,Mainland China,1/25/2020 22:00,60,0,0,4
Beijing,Mainland China,1/25/2020 22:00,51,0,2,0
Sichuan,Mainland China,1/25/2020 22:00,44,0,0,4
Shanghai,Mainland China,1/25/2020 22:00,40,1,1,72
Shandong,Mainland China,1/25/2020 22:00,39,0,0,0
Jiangxi,Mainland China,1/25/2020 22:00,36,0,0,0
Guangxi,Mainland China,1/25/2020 22:00,33,0,0,0
Jiangsu,Mainland China,1/25/2020 22:00,31,0,1,0
Hainan,Mainland China,1/25/2020 22:00,19,0,0,0
Liaoning,Mainland China,1/25/2020 22:00,19,0,0,0
Fujian,Mainland China,1/25/2020 22:00,18,0,0,20
Heilongjiang,Mainland China,1/25/2020 22:00,15,1,0,0
Shaanxi,Mainland China,1/25/2020 22:00,15,0,0,0
Tianjin,Mainland China,1/25/2020 22:00,13,0,0,0
Hebei,Mainland China,1/25/2020 22:00,13,1,0,0
Yunnan,Mainland China,1/25/2020 22:00,11,0,0,58
Shanxi,Mainland China,1/25/2020 22:00,9,0,0,0
Inner Mongolia,Mainland China,1/25/2020 22:00,7,0,0,0
Gansu,Mainland China,1/25/2020 22:00,7,0,0,0
Guizhou,Mainland China,1/25/2020 22:00,5,0,0,0
Hong Kong,Hong Kong,1/25/2020 22:00,5,0,0,244
Ningxia,Mainland China,1/25/2020 22:00,4,0,0,1
Jilin,Mainland China,1/25/2020 22:00,4,0,0,0
Xinjiang,Mainland China,1/25/2020 22:00,4,0,0,0
Taiwan,Taiwan,1/25/2020 22:00,3,0,0,0
Macau,Macau,1/25/2020 22:00,2,0,0,0
Qinghai,Mainland China,1/25/2020 22:00,1,0,0,0
WA,US,1/25/2020 22:00,1,0,0,0
Illinois,US,1/25/2020 22:00,1,0,0,0
,Japan,1/25/2020 22:00,2,0,0,0
,Thailand,1/25/2020 22:00,7,0,0,0
,South Korea,1/25/2020 22:00,3,0,0,0
,Singapore,1/25/2020 22:00,3,0,0,0
,Vietnam,1/25/2020 22:00,2,0,0,0
,France,1/25/2020 22:00,3,0,0,0
New South Wales,Australia,1/25/2020 22:00,3,0,0,0
Victoria,Australia,1/25/2020 22:00,1,0,0,0
,Nepal,1/25/2020 22:00,1,0,0,0
,Malaysia,1/25/2020 22:00,3,0,0,0
