Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
Hubei,Mainland China,4/16/2020 20:00,68128,4512,63487,0
Heilongjiang,Mainland China,4/16/2020 20:00,861,13,471,0
Shanghai,Mainland China,4/16/2020 20:00,628,7,489,0
Beijing,Mainland China,4/16/2020 20:00,593,8,503,0
Guangdong,Mainland China,4/16/2020 20:00,1571,8,1471,0
Inner Mongolia,Mainland China,4/16/2020 20:00,193,1,94,0
Fujian,Mainland China,4/16/2020 20:00,353,1,333,0
Shanxi,Mainland China,4/16/2020 20:00,194,0,135,0
Zhejiang,Mainland China,4/16/2020 20:00,1268,1,1244,0
Tianjin,Mainland China,4/16/2020 20:00,185,3,171,0
Shandong,Mainland China,4/16/2020 20:00,784,7,761,0
Jiangsu,Mainland China,4/16/2020 20:00,653,0,642,0
Sichuan,Mainland China,4/16/2020 20:00,560,3,552,0
Liaoning,Mainland China,4/16/2020 20:00,145,2,138,0
Yunnan,Mainland China,4/16/2020 20:00,184,2,176,0
Hebei,Mainland China,4/16/2020 20:00,328,6,315,0
Shaanxi,Mainland China,4/16/2020 20:00,256,3,251,0
Jilin,Mainland China,4/16/2020 20:00,102,1,96,0
Chongqing,Mainland China,4/16/2020 20:00,579,6,570,0
Henan,Mainland China,4/16/2020 20:00,1276,22,1254,0
Gansu,Mainland China,4/16/2020 20:00,139,2,136,0
Hunan,Mainland China,4/16/2020 20:00,1019,4,1014,0
Anhui,Mainland China,4/16/2020 20:00,991,6,984,0
Jiangxi,Mainland China,4/16/2020 20:00,937,1,936,0
Guizhou,Mainland China,4/16/2020 20:00,147,2,144,0
Guangxi,Mainland China,4/16/2020 20:00,254,2,252,0
Hainan,Mainland China,4/16/2020 20:00,168,6,162,0
Xinjiang,Mainland China,4/16/2020 20:00,76,3,73,0
Ningxia,Mainland China,4/16/2020 20:00,75,0,75,0
Qinghai,Mainland China,4/16/2020 20:00,18,0,18,0
Tibet,Mainland China,4/16/2020 20:00,1,0,1,0
New South Wales,Australia,4/16/2020 20:00,2926,25,1351,155302
Queensland,Australia,4/16/2020 20:00,1007,5,442,77727
Victoria,Australia,4/16/2020 20:00,1302,14,1137,73000
South Australia,Australia,4/16/2020 20:00,434,4,308,38389
Western Australia,Australia,4/16/2020 20:00,535,6,340,25623
Tasmania,Australia,4/16/2020 20:00,170,6,67,4810
Australian Capital Territory,Australia,4/16/2020 20:00,103,3,79,6619
Northern Territory,Australia,4/16/2020 20:00,27,0,6,3381
,Artania Cruise,4/16/2020 20:00,41,2,0,0
New York,US,4/16/2020 20:00,223691,12248,28103,0
New Jersey,US,4/16/2020 20:00,75317,3518,470,0
Massachusetts,US,4/16/2020 20:00,32181,1108,729,0
Michigan,US,4/16/2020 20:00,28809,1996,502,0
Pennsylvania,US,4/16/2020 20:00,28258,841,317,0
California,US,4/16/2020 20:00,27677,957,1259,0
Illinois,US,4/16/2020 20:00,25734,1072,429,0
Florida,US,4/16/2020 20:00,23343,668,174,0
Louisiana,US,4/16/2020 20:00,22532,1156,0,0
Texas,US,4/16/2020 20:00,16876,414,3681,0
Connecticut,US,4/16/2020 20:00,15884,971,63,0
Georgia,US,4/16/2020 20:00,15669,587,340,0
WA,US,4/16/2020 20:00,11057,579,1715,0
Maryland,US,4/16/2020 20:00,10784,392,736,0
Indiana,US,4/16/2020 20:00,9542,477,146,0
Ohio,US,4/16/2020 20:00,8414,391,367,0
Colorado,US,4/16/2020 20:00,8286,357,510,0
Virginia,US,4/16/2020 20:00,6889,208,721,0
Tennessee,US,4/16/2020 20:00,6375,136,2196,0
North Carolina,US,4/16/2020 20:00,5639,150,900,0
Missouri,US,4/16/2020 20:00,5174,169,443,0
Alabama,US,4/16/2020 20:00,4345,133,0,0
Arizona,US,4/16/2020 20:00,4237,150,6,0
South Carolina,US,4/16/2020 20:00,3931,112,0,0
Wisconsin,US,4/16/2020 20:00,3875,197,87,0
Mississippi,US,4/16/2020 20:00,3624,129,0,0
Rhode Island,US,4/16/2020 20:00,3529,87,0,0
Nevada,US,4/16/2020 20:00,3214,137,1400,0
Utah,US,4/16/2020 20:00,2683,20,219,0
Kentucky,US,4/16/2020 20:00,2435,129,800,0
Oklahoma,US,4/16/2020 20:00,2357,131,1060,0
Washington DC,US,4/16/2020 20:00,2350,81,552,0
Iowa,US,4/16/2020 20:00,2141,60,908,0
Delaware,US,4/16/2020 20:00,2070,55,354,0
Minnesota,US,4/16/2020 20:00,1809,87,1020,0
Oregon,US,4/16/2020 20:00,1736,64,42,0
Arkansas,US,4/16/2020 20:00,1620,37,548,0
Kansas,US,4/16/2020 20:00,1615,80,391,0
Idaho,US,4/16/2020 20:00,1587,41,0,0
New Mexico,US,4/16/2020 20:00,1484,36,353,0
