Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Inner Mongolia,Mainland China,6/08/2020 06:00,235,1,218,0,0
Sichuan,Mainland China,6/08/2020 06:00,581,3,558,0,0
Shanghai,Mainland China,6/08/2020 06:00,678,7,664,0,0
Shandong,Mainland China,6/08/2020 06:00,792,7,781,0,0
Guangdong,Mainland China,6/08/2020 06:00,1602,8,1585,0,0
Beijing,Mainland China,6/08/2020 06:00,594,9,583,0,0
Fujian,Mainland China,6/08/2020 06:00,359,1,356,0,0
Shaanxi,Mainland China,6/08/2020 06:00,311,3,305,0,0
Hainan,Mainland China,6/08/2020 06:00,170,6,162,0,0
Tianjin,Mainland China,6/08/2020 06:00,193,3,189,0,0
Hubei,Mainland China,6/08/2020 06:00,68135,4512,63623,0,0
Henan,Mainland China,6/08/2020 06:00,1276,22,1254,0,0
Zhejiang,Mainland China,6/08/2020 06:00,1268,1,1267,0,0
Hunan,Mainland China,6/08/2020 06:00,1019,4,1015,0,0
Anhui,Mainland China,6/08/2020 06:00,991,6,985,0,0
Heilongjiang,Mainland China,6/08/2020 06:00,945,13,932,0,0
Jiangxi,Mainland China,6/08/2020 06:00,937,1,936,0,0
Jiangsu,Mainland China,6/08/2020 06:00,653,0,653,0,0
Chongqing,Mainland China,6/08/2020 06:00,579,6,573,0,0
Hebei,Mainland China,6/08/2020 06:00,328,6,322,0,0
Guangxi,Mainland China,6/08/2020 06:00,254,2,252,0,0
Shanxi,Mainland China,6/08/2020 06:00,198,0,198,0,0
Yunnan,Mainland China,6/08/2020 06:00,185,2,183,0,0
Jilin,Mainland China,6/08/2020 06:00,155,2,153,0,0
Liaoning,Mainland China,6/08/2020 06:00,149,2,147,0,0
Guizhou,Mainland China,6/08/2020 06:00,147,2,145,0,0
Gansu,Mainland China,6/08/2020 06:00,139,2,137,0,0
Xinjiang,Mainland China,6/08/2020 06:00,76,3,73,0,0
Ningxia,Mainland China,6/08/2020 06:00,75,0,75,0,0
Qinghai,Mainland China,6/08/2020 06:00,18,0,18,0,0
Tibet,Mainland China,6/08/2020 06:00,1,0,1,0,0
New South Wales,Australia,6/08/2020 06:00,3112,48,2724,571113,0
Queensland,Australia,6/08/2020 06:00,1062,6,1050,221212,0
Victoria,Australia,6/08/2020 06:00,1687,19,1595,543708,0
South Australia,Australia,6/08/2020 06:00,440,4,435,115802,0
Western Australia,Australia,6/08/2020 06:00,599,9,559,118497,0
Tasmania,Australia,6/08/2020 06:00,228,13,211,36594,0
Australian Capital Territory,Australia,6/08/2020 06:00,108,3,104,20683,0
Northern Territory,Australia,6/08/2020 06:00,29,0,29,9477,0
New York,US,6/08/2020 06:00,383198,30374,47715,0,0
New Jersey,US,6/08/2020 06:00,164164,12176,3853,0,0
California,US,6/08/2020 06:00,130615,4633,21601,0,0
Illinois,US,6/08/2020 06:00,127757,5904,70558,0,0
Massachusetts,US,6/08/2020 06:00,103436,7316,30437,0,0
Pennsylvania,US,6/08/2020 06:00,79908,5943,1369,0,0
Texas,US,6/08/2020 06:00,75408,1841,49791,0,0
Michigan,US,6/08/2020 06:00,64413,5895,42041,0,0
Florida,US,6/08/2020 06:00,63938,2700,381,0,0
Maryland,US,6/08/2020 06:00,57973,2749,4240,0,0
Georgia,US,6/08/2020 06:00,51901,2181,340,0,0
Virginia,US,6/08/2020 06:00,49397,1461,6392,0,0
Connecticut,US,6/08/2020 06:00,43968,4071,63,0,0
Louisiana,US,6/08/2020 06:00,42816,2936,31728,0,0
Ohio,US,6/08/2020 06:00,38477,2379,5090,0,0
Indiana,US,6/08/2020 06:00,37397,2303,2159,0,0
North Carolina,US,6/08/2020 06:00,35626,1032,18860,0,0
Colorado,US,6/08/2020 06:00,28018,1527,2319,0,0
Minnesota,US,6/08/2020 06:00,27886,1197,22992,0,0
Tennessee,US,6/08/2020 06:00,26493,418,17196,0,0
WA,US,6/08/2020 06:00,24454,1157,5090,0,0
Arizona,US,6/08/2020 06:00,26989,1051,174,0,0
Iowa,US,6/08/2020 06:00,21712,605,12820,0,0
Wisconsin,US,6/08/2020 06:00,20835,647,14047,0,0
Alabama,US,6/08/2020 06:00,20500,692,11395,0,0
Mississippi,US,6/08/2020 06:00,17270,817,11203,0,0
Rhode Island,US,6/08/2020 06:00,15441,772,1336,0,0
Veteran Affair,US,6/08/2020 06:00,15718,1342,0,0,0
Nebraska,US,6/08/2020 06:00,15664,187,7598,0,0
Missouri,US,6/08/2020 06:00,15023,815,3449,0,0
South Carolina,US,6/08/2020 06:00,14286,546,5076,0,0
Kentucky,US,6/08/2020 06:00,11287,470,3344,0,0
