Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/10/2020 22:30,31728,2222,974,
Guangdong,Mainland China,2/10/2020 22:30,1177,181,1,
Zhejiang,Mainland China,2/10/2020 22:30,1117,250,0,
Henan,Mainland China,2/10/2020 22:30,1105,198,7,
Hunan,Mainland China,2/10/2020 22:30,912,213,1,
Anhui,Mainland China,2/10/2020 22:30,860,105,4,
Jiangxi,Mainland China,2/10/2020 22:30,804,127,1,
Jiangsu,Mainland China,2/10/2020 22:30,515,84,0,
Chongqing,Mainland China,2/10/2020 22:30,486,66,2,
Shandong,Mainland China,2/10/2020 22:30,486,71,1,
Sichuan,Mainland China,2/10/2020 22:30,417,82,1,
Beijing,Mainland China,2/10/2020 22:30,342,48,3,
Heilongjiang,Mainland China,2/10/2020 22:30,360,27,8,
Shanghai,Mainland China,2/10/2020 22:30,302,48,1,
Fujian,Mainland China,2/10/2020 22:30,267,39,0,
Hebei,Mainland China,2/10/2020 22:30,239,41,2,
Shaanxi,Mainland China,2/10/2020 22:30,219,31,0,
Guangxi,Mainland China,2/10/2020 22:30,215,30,1,
Yunnan,Mainland China,2/10/2020 22:30,149,19,0,
Hainan,Mainland China,2/10/2020 22:30,142,19,3,
Yokohama,Japan,2/10/2020 22:30,135,0,0,
Shanxi,Mainland China,2/10/2020 22:30,122,26,0,
Guizhou,Mainland China,2/10/2020 22:30,118,10,1,
Liaoning,Mainland China,2/10/2020 22:30,108,13,0,
Tianjin,Mainland China,2/10/2020 22:30,102,8,1,
Gansu,Mainland China,2/10/2020 22:30,86,21,2,
Jilin,Mainland China,2/10/2020 22:30,81,13,1,
Inner Mongolia,Mainland China,2/10/2020 22:30,58,5,0,
Ningxia,Mainland China,2/10/2020 22:30,53,14,0,
Xinjiang,Mainland China,2/10/2020 22:30,55,0,0,
,Singapore,2/10/2020 22:30,45,7,0,
Hong Kong,Hong Kong,2/10/2020 22:30,42,0,1,
,Thailand,2/10/2020 22:30,32,10,0,
,South Korea,2/10/2020 22:30,28,3,0,
,Japan,2/10/2020 22:30,26,9,0,
Qinghai,Mainland China,2/10/2020 22:30,18,3,0,
Taiwan,Taiwan,2/10/2020 22:30,18,1,0,
,Malaysia,2/10/2020 22:30,18,3,0,
,Germany,2/10/2020 22:30,14,0,0,
,Vietnam,2/10/2020 22:30,14,3,0,
,France,2/10/2020 22:30,11,0,0,
Macau,Macau,2/10/2020 22:30,10,1,0,
,UK,2/10/2020 22:30,8,0,0,
,United Arab Emirates,2/10/2020 22:30,8,0,0,
California,US,2/10/2020 22:30,7,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/10/2020 22:30,5,0,0,
New South Wales,Australia,2/10/2020 22:30,4,3,0,
Victoria,Australia,2/10/2020 22:30,4,2,0,
British Columbia,Canada,2/10/2020 22:30,4,0,0,
Ontario,Canada,2/10/2020 22:30,3,0,0,
,India,2/10/2020 22:30,3,0,0,
,Philippines,2/10/2020 22:30,3,2,1,
,Italy,2/10/2020 22:30,3,0,0,
,Russia,2/10/2020 22:30,2,0,0,
Illinois,US,2/10/2020 22:30,2,2,0,Chicago
South Australia,Australia,2/10/2020 22:30,2,0,0,
,Spain,2/10/2020 22:30,2,0,0,
,Cambodia,2/10/2020 22:30,1,1,0,
,Finland,2/10/2020 22:30,1,1,0,
,Sri Lanka,2/10/2020 22:30,1,1,0,
Tibet,Mainland China,2/10/2020 22:30,1,0,0,
,Nepal,2/10/2020 22:30,1,0,0,
,Sweden,2/10/2020 22:30,1,0,0,
Massachusetts,US,2/10/2020 22:30,1,0,0,Boston
WA,US,2/10/2020 22:30,1,0,0,Seattle
Arizona,US,2/10/2020 22:30,1,0,0,Tempe
Brussels,Belgium,2/10/2020 22:30,1,0,0,
WI,US,2/10/2020 22:30,1,0,0,Madison
