Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/17/2020 23:00,59989,1789,7887,
Guangdong,Mainland China,2/17/2020 23:00,1328,4,533,
Henan,Mainland China,2/17/2020 23:00,1257,19,514,
Zhejiang,Mainland China,2/17/2020 23:00,1172,0,514,
Hunan,Mainland China,2/17/2020 23:00,1007,4,502,
Anhui,Mainland China,2/17/2020 23:00,982,6,298,
Jiangxi,Mainland China,2/17/2020 23:00,933,1,310,
Jiangsu,Mainland China,2/17/2020 23:00,629,0,271,
Chongqing,Mainland China,2/17/2020 23:00,553,5,225,
Shandong,Mainland China,2/17/2020 23:00,543,2,195,
Sichuan,Mainland China,2/17/2020 23:00,508,3,163,
Heilongjiang,Mainland China,2/17/2020 23:00,464,11,87,
Beijing,Mainland China,2/17/2020 23:00,387,4,122,
Yokohama,Japan,2/17/2020 23:00,454,0,3,
Shanghai,Mainland China,2/17/2020 23:00,333,1,161,
Hebei,Mainland China,2/17/2020 23:00,302,4,123,
Fujian,Mainland China,2/17/2020 23:00,292,0,91,
Guangxi,Mainland China,2/17/2020 23:00,242,2,58,
Shaanxi,Mainland China,2/17/2020 23:00,240,0,79,
Yunnan,Mainland China,2/17/2020 23:00,172,0,51,
Hainan,Mainland China,2/17/2020 23:00,163,4,59,
Guizhou,Mainland China,2/17/2020 23:00,146,1,66,
Shanxi,Mainland China,2/17/2020 23:00,130,0,53,
Tianjin,Mainland China,2/17/2020 23:00,127,3,46,
Liaoning,Mainland China,2/17/2020 23:00,121,1,45,
Gansu,Mainland China,2/17/2020 23:00,91,2,58,
Jilin,Mainland China,2/17/2020 23:00,89,1,34,
,Singapore,2/17/2020 23:00,77,0,24,
Xinjiang,Mainland China,2/17/2020 23:00,76,1,12,
Ningxia,Mainland China,2/17/2020 23:00,70,0,35,
Inner Mongolia,Mainland China,2/17/2020 23:00,73,0,8,
Hong Kong,Hong Kong,2/17/2020 23:00,60,1,2,
,Japan,2/17/2020 23:00,66,1,18,
,Thailand,2/17/2020 23:00,35,0,15,
,South Korea,2/17/2020 23:00,31,0,12,
,Malaysia,2/17/2020 23:00,22,0,9,
Qinghai,Mainland China,2/17/2020 23:00,18,0,14,
Taiwan,Taiwan,2/17/2020 23:00,22,1,2,
,Germany,2/17/2020 23:00,16,0,7,
,Vietnam,2/17/2020 23:00,16,0,7,
,France,2/17/2020 23:00,12,1,5,
Macau,Macau,2/17/2020 23:00,10,0,5,
,UK,2/17/2020 23:00,9,0,8,
,United Arab Emirates,2/17/2020 23:00,9,0,3,
California,US,2/17/2020 23:00,8,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/17/2020 23:00,5,0,0,
British Columbia,Canada,2/17/2020 23:00,5,0,0,
New South Wales,Australia,2/17/2020 23:00,4,0,4,
Victoria,Australia,2/17/2020 23:00,4,0,4,
,India,2/17/2020 23:00,3,0,3,
Ontario,Canada,2/17/2020 23:00,3,0,1,
,Philippines,2/17/2020 23:00,3,1,2,
,Italy,2/17/2020 23:00,3,0,0,
,Russia,2/17/2020 23:00,2,0,2,
Illinois,US,2/17/2020 23:00,2,0,2,Chicago
South Australia,Australia,2/17/2020 23:00,2,0,0,
,Spain,2/17/2020 23:00,2,0,2,
,Cambodia,2/17/2020 23:00,1,0,1,
,Finland,2/17/2020 23:00,1,0,1,
,Sri Lanka,2/17/2020 23:00,1,0,1,
Tibet,Mainland China,2/17/2020 23:00,1,0,1,
,Nepal,2/17/2020 23:00,1,0,1,
,Sweden,2/17/2020 23:00,1,0,0,
Massachusetts,US,2/17/2020 23:00,1,0,0,Boston
WA,US,2/17/2020 23:00,1,0,1,Seattle
Arizona,US,2/17/2020 23:00,1,0,0,Tempe
Brussels,Belgium,2/17/2020 23:00,1,0,0,
WI,US,2/17/2020 23:00,1,0,0,Madison
Texas,US,2/17/2020 23:00,1,0,0,
,Egypt,2/17/2020 23:00,1,0,0,
