Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
Hubei,Mainland China,4/17/2020 02:00,68128,4512,63487,0
Heilongjiang,Mainland China,4/17/2020 02:00,872,13,471,0
Shanghai,Mainland China,4/17/2020 02:00,628,7,489,0
Beijing,Mainland China,4/17/2020 02:00,593,8,509,0
Guangdong,Mainland China,4/17/2020 02:00,1577,8,1475,0
Inner Mongolia,Mainland China,4/17/2020 02:00,193,1,103,0
Fujian,Mainland China,4/17/2020 02:00,354,1,334,0
Shanxi,Mainland China,4/17/2020 02:00,197,0,135,0
Zhejiang,Mainland China,4/17/2020 02:00,1268,1,1246,0
Tianjin,Mainland China,4/17/2020 02:00,186,3,172,0
Shandong,Mainland China,4/17/2020 02:00,787,7,761,0
Jiangsu,Mainland China,4/17/2020 02:00,653,0,643,0
Sichuan,Mainland China,4/17/2020 02:00,560,3,552,0
Liaoning,Mainland China,4/17/2020 02:00,146,2,140,0
Yunnan,Mainland China,4/17/2020 02:00,184,2,177,0
Hebei,Mainland China,4/17/2020 02:00,328,6,316,0
Shaanxi,Mainland China,4/17/2020 02:00,256,3,252,0
Jilin,Mainland China,4/17/2020 02:00,102,1,97,0
Chongqing,Mainland China,4/17/2020 02:00,579,6,570,0
Henan,Mainland China,4/17/2020 02:00,1276,22,1254,0
Gansu,Mainland China,4/17/2020 02:00,139,2,136,0
Hunan,Mainland China,4/17/2020 02:00,1019,4,1014,0
Anhui,Mainland China,4/17/2020 02:00,991,6,984,0
Jiangxi,Mainland China,4/17/2020 02:00,937,1,936,0
Guizhou,Mainland China,4/17/2020 02:00,147,2,144,0
Guangxi,Mainland China,4/17/2020 02:00,254,2,252,0
Hainan,Mainland China,4/17/2020 02:00,168,6,162,0
Xinjiang,Mainland China,4/17/2020 02:00,76,3,73,0
Ningxia,Mainland China,4/17/2020 02:00,75,0,75,0
Qinghai,Mainland China,4/17/2020 02:00,18,0,18,0
Tibet,Mainland China,4/17/2020 02:00,1,0,1,0
New South Wales,Australia,4/17/2020 02:00,2926,25,1420,155302
Queensland,Australia,4/17/2020 02:00,1007,5,442,77727
Victoria,Australia,4/17/2020 02:00,1302,14,1137,73000
South Australia,Australia,4/17/2020 02:00,435,4,308,38389
Western Australia,Australia,4/17/2020 02:00,541,7,340,25623
Tasmania,Australia,4/17/2020 02:00,170,7,67,4810
Australian Capital Territory,Australia,4/17/2020 02:00,103,3,79,6619
Northern Territory,Australia,4/17/2020 02:00,27,0,6,3381
,Artania Cruise,4/17/2020 02:00,41,2,0,0
New York,US,4/17/2020 02:00,223691,12248,28103,0
New Jersey,US,4/17/2020 02:00,75317,3518,470,0
Massachusetts,US,4/17/2020 02:00,32181,1245,729,0
Michigan,US,4/17/2020 02:00,29263,2093,502,0
Pennsylvania,US,4/17/2020 02:00,28314,848,317,0
California,US,4/17/2020 02:00,28157,973,1473,0
Illinois,US,4/17/2020 02:00,25733,1073,465,0
Florida,US,4/17/2020 02:00,23340,668,174,0
Louisiana,US,4/17/2020 02:00,22532,1156,0,0
Texas,US,4/17/2020 02:00,17263,429,3677,0
Georgia,US,4/17/2020 02:00,16368,617,340,0
Connecticut,US,4/17/2020 02:00,15884,971,63,0
WA,US,4/17/2020 02:00,11285,587,1719,0
Maryland,US,4/17/2020 02:00,10784,392,736,0
Indiana,US,4/17/2020 02:00,9549,480,150,0
Colorado,US,4/17/2020 02:00,8675,374,510,0
Ohio,US,4/17/2020 02:00,8414,391,367,0
Virginia,US,4/17/2020 02:00,6889,208,721,0
Tennessee,US,4/17/2020 02:00,6263,141,2196,0
North Carolina,US,4/17/2020 02:00,5668,155,964,0
Missouri,US,4/17/2020 02:00,5239,175,472,0
Alabama,US,4/17/2020 02:00,4404,137,0,0
Arizona,US,4/17/2020 02:00,4241,150,6,0
South Carolina,US,4/17/2020 02:00,3931,109,0,0
Wisconsin,US,4/17/2020 02:00,3889,197,93,0
Rhode Island,US,4/17/2020 02:00,3838,105,0,0
Mississippi,US,4/17/2020 02:00,3624,129,0,0
Nevada,US,4/17/2020 02:00,3321,142,1531,0
Utah,US,4/17/2020 02:00,2689,21,219,0
Kentucky,US,4/17/2020 02:00,2435,129,956,0
Oklahoma,US,4/17/2020 02:00,2357,131,1060,0
Washington DC,US,4/17/2020 02:00,2350,81,552,0
Iowa,US,4/17/2020 02:00,2141,60,987,0
Delaware,US,4/17/2020 02:00,2075,52,378,0
Minnesota,US,4/17/2020 02:00,1912,95,1020,0
Oregon,US,4/17/2020 02:00,1736,64,42,0
Arkansas,US,4/17/2020 02:00,1620,37,548,0
Kansas,US,4/17/2020 02:00,1617,80,391,0
