Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
Northwest Territories,Canada,4/17/2020 16:30,5,0,3,0
,US,4/17/2020 16:30,0,0,0,3506906
,Canada,4/17/2020 16:30,0,0,0,503003
,Spain,4/17/2020 16:30,188093,19613,74797,930230
,Italy,4/17/2020 16:30,172434,22745,42727,1244108
,France,4/17/2020 16:30,147969,18681,34420,463662
,Germany,4/17/2020 16:30,139702,4203,81800,1728357
,UK,4/17/2020 16:30,108692,14576,626,438991
,Iran,4/17/2020 16:30,79494,4958,54064,319879
,Turkey,4/17/2020 16:30,78546,1769,8631,558413
Brussels,Belgium,4/17/2020 16:30,36138,5163,7961,139387
,Brazil,4/17/2020 16:30,33682,2141,14026,62985
,Russia,4/17/2020 16:30,32008,273,2590,1718019
,Netherlands,4/17/2020 16:30,30449,3459,250,154911
,Switzerland,4/17/2020 16:30,27078,1327,16400,206400
,Portugal,4/17/2020 16:30,19022,657,519,221049
,Austria,4/17/2020 16:30,14586,431,9704,169272
,Ireland,4/17/2020 16:30,13980,530,77,90646
,India,4/17/2020 16:30,13835,452,1777,335123
,Peru,4/17/2020 16:30,13489,300,6541,127513
,Sweden,4/17/2020 16:30,13216,1400,550,74600
,Israel,4/17/2020 16:30,12982,151,3126,187250
,South Korea,4/17/2020 16:30,10635,230,7829,546463
,Chile,4/17/2020 16:30,9252,116,3621,103873
,Japan,4/17/2020 16:30,9231,190,935,100703
,Ecuador,4/17/2020 16:30,8450,421,838,27868
,Poland,4/17/2020 16:30,8379,332,866,179654
,Romania,4/17/2020 16:30,8067,411,1508,85805
,Saudi Arabia,4/17/2020 16:30,7142,87,1049,150000
,Denmark,4/17/2020 16:30,7073,336,3389,87024
,Pakistan,4/17/2020 16:30,7025,135,1765,84704
,Norway,4/17/2020 16:30,6937,161,32,136236
,Czechia,4/17/2020 16:30,6499,173,1174,154307
,United Arab Emirates,4/17/2020 16:30,6302,37,1188,767000
,Mexico,4/17/2020 16:30,6297,486,2125,40091
,Indonesia,4/17/2020 16:30,5923,520,607,37134
,Philippines,4/17/2020 16:30,5878,387,487,48171
,Serbia,4/17/2020 16:30,5690,110,534,32566
,Malaysia,4/17/2020 16:30,5251,86,2967,96695
,Singapore,4/17/2020 16:30,5050,11,708,94796
,Belarus,4/17/2020 16:30,4779,42,342,86813
,Qatar,4/17/2020 16:30,4663,7,464,58328
,Ukraine,4/17/2020 16:30,4662,125,246,47096
,Dominican Republic,4/17/2020 16:30,4126,200,268,13282
,Panama,4/17/2020 16:30,4016,109,98,17850
,Finland,4/17/2020 16:30,3489,82,1700,52500
,Luxembourg,4/17/2020 16:30,3480,72,579,32394
,Colombia,4/17/2020 16:30,3233,144,550,52085
,Egypt,4/17/2020 16:30,2844,205,646,25000
,South Africa,4/17/2020 16:30,2783,50,903,100827
,Thailand,4/17/2020 16:30,2700,47,1689,100498
,Argentina,4/17/2020 16:30,2669,123,666,28650
,Morocco,4/17/2020 16:30,2564,135,281,12952
,Algeria,4/17/2020 16:30,2418,364,846,3359
,Moldova,4/17/2020 16:30,2264,56,276,9848
,Greece,4/17/2020 16:30,2224,108,269,50771
,Bangladesh,4/17/2020 16:30,1838,75,58,19193
,Croatia,4/17/2020 16:30,1814,36,600,20953
,Hungary,4/17/2020 16:30,1763,156,207,41590
,Iceland,4/17/2020 16:30,1754,9,1224,39536
,Bahrain,4/17/2020 16:30,1740,7,725,79564
,Kuwait,4/17/2020 16:30,1658,5,258,0
,Kazakhstan,4/17/2020 16:30,1546,17,347,85735
,Iraq,4/17/2020 16:30,1482,81,906,51737
,Estonia,4/17/2020 16:30,1459,38,145,37594
,New Zealand,4/17/2020 16:30,1409,11,816,74401
,Uzbekistan,4/17/2020 16:30,1405,4,156,136000
,Azerbaijan,4/17/2020 16:30,1340,15,528,86607
,Slovenia,4/17/2020 16:30,1304,66,174,39330
,Bosnia and Herzegovina,4/17/2020 16:30,1214,46,320,15751
,Armenia,4/17/2020 16:30,1201,19,402,10793
,Lithuania,4/17/2020 16:30,1149,33,210,53101
,North Macedonia,4/17/2020 16:30,1117,49,139,10859
,Oman,4/17/2020 16:30,1069,6,176,0
,Slovakia,4/17/2020 16:30,1049,9,175,37732
Hong Kong,Hong Kong,4/17/2020 16:30,1022,4,533,131786
,Cameroon,4/17/2020 16:30,996,22,164,0
,Cuba,4/17/2020 16:30,923,31,192,23317
,Afghanistan,4/17/2020 16:30,906,30,99,0
,Bulgaria,4/17/2020 16:30,846,41,141,18502
,Tunisia,4/17/2020 16:30,822,37,43,13930
,Cyprus,4/17/2020 16:30,750,12,77,29075
,Djibouti,4/17/2020 16:30,732,2,76,7486
Yokohama,Japan,4/17/2020 16:30,712,13,644,0
,Andorra,4/17/2020 16:30,696,35,191,1673
,Ivory Coast,4/17/2020 16:30,688,6,193,0
,Latvia,4/17/2020 16:30,682,5,88,32837
,Lebanon,4/17/2020 16:30,668,21,86,19185
,Costa Rica,4/17/2020 16:30,649,4,88,9752
,Ghana,4/17/2020 16:30,641,8,83,50719
,Niger,4/17/2020 16:30,627,18,110,4688
,Burkina Faso,4/17/2020 16:30,546,32,257,0
,Albania,4/17/2020 16:30,539,26,283,5080
,Uruguay,4/17/2020 16:30,502,9,286,11239
,Kyrgyzstan,4/17/2020 16:30,489,5,114,26147
,Guinea,4/17/2020 16:30,477,3,59,0
,Channel Islands,4/17/2020 16:30,470,20,73,3320
,Bolivia,4/17/2020 16:30,465,31,26,2185
,Honduras,4/17/2020 16:30,442,41,10,2012
,Nigeria,4/17/2020 16:30,442,13,152,6649
,San Marino,4/17/2020 16:30,435,39,57,846
,Malta,4/17/2020 16:30,422,3,91,21164
,Jordan,4/17/2020 16:30,407,7,265,20500
,Palestine,4/17/2020 16:30,402,2,69,17329
,Reunion,4/17/2020 16:30,402,0,237,0
Taiwan,Taiwan,4/17/2020 16:30,395,6,166,51603
,Georgia,4/17/2020 16:30,370,3,79,5027
,Senegal,4/17/2020 16:30,342,2,198,0
,Mauritius,4/17/2020 16:30,324,9,108,9755
,Montenegro,4/17/2020 16:30,303,5,55,3874
,Isle of Man,4/17/2020 16:30,291,4,169,2375
,DRC,4/17/2020 16:30,287,23,25,0
,Vietnam,4/17/2020 16:30,268,0,198,206253
,Kenya,4/17/2020 16:30,246,11,53,10784
,Mayotte,4/17/2020 16:30,245,4,117,1700
,Sri Lanka,4/17/2020 16:30,244,7,77,4768
,Guatemala,4/17/2020 16:30,214,7,21,7200
,Venezuela,4/17/2020 16:30,204,9,111,268503
,Paraguay,4/17/2020 16:30,199,8,30,4612
,Faeroe Islands,4/17/2020 16:30,184,0,171,5846
,El Salvador,4/17/2020 16:30,177,7,38,9267
,Mali,4/17/2020 16:30,171,13,34,0
,Martinique,4/17/2020 16:30,158,8,73,0
,Tanzania,4/17/2020 16:30,147,5,11,0
,Guadeloupe,4/17/2020 16:30,145,8,67,0
,Congo,4/17/2020 16:30,143,6,11,0
,Jamaica,4/17/2020 16:30,143,5,25,1424
,Rwanda,4/17/2020 16:30,143,0,65,6237
,Brunei,4/17/2020 16:30,136,1,112,11089
,Gibraltar,4/17/2020 16:30,132,0,105,1760
,Cambodia,4/17/2020 16:30,122,0,98,5768
,Madagascar,4/17/2020 16:30,117,0,33,2357
,Somalia,4/17/2020 16:30,116,6,2,0
,Trinidad and Tobago,4/17/2020 16:30,114,8,20,1298
,Gabon,4/17/2020 16:30,108,1,7,572
,Ethiopia,4/17/2020 16:30,96,3,15,6231
,Aruba,4/17/2020 16:30,96,2,43,1298
,French Guiana,4/17/2020 16:30,96,0,61,0
,Monaco,4/17/2020 16:30,94,3,20,0
,Myanmar,4/17/2020 16:30,88,4,5,3236
,Bermuda,4/17/2020 16:30,83,5,35,552
,Togo,4/17/2020 16:30,83,5,48,3926
,Liechtenstein,4/17/2020 16:30,79,1,55,900
,Equatorial Guinea,4/17/2020 16:30,79,0,4,854
,Liberia,4/17/2020 16:30,76,7,7,0
,Barbados,4/17/2020 16:30,75,5,15,965
,Cayman Islands,4/17/2020 16:30,61,1,7,690
,Sint Maarten,4/17/2020 16:30,57,9,12,163
,Guyana,4/17/2020 16:30,57,6,9,260
,Cabo Verde,4/17/2020 16:30,56,1,1,0
,French Polynesia,4/17/2020 16:30,55,0,0,920
,Uganda,4/17/2020 16:30,55,0,20,8855
,Bahamas,4/17/2020 16:30,54,9,6,0
,Zambia,4/17/2020 16:30,52,2,30,2191
,Libya,4/17/2020 16:30,49,1,11,699
Macau,Macau,4/17/2020 16:30,45,0,16,0
,Haiti,4/17/2020 16:30,43,3,0,365
,Guinea-Bissau,4/17/2020 16:30,43,0,0,1500
,Syria,4/17/2020 16:30,38,2,5,0
,Saint Martin,4/17/2020 16:30,35,2,13,0
,Benin,4/17/2020 16:30,35,1,18,0
,Eritrea,4/17/2020 16:30,35,0,0,0
,Mozambique,4/17/2020 16:30,34,0,2,898
,Sudan,4/17/2020 16:30,33,6,4,0
,Mongolia,4/17/2020 16:30,31,0,5,1450
,Nepal,4/17/2020 16:30,30,0,2,15800
,Maldives,4/17/2020 16:30,28,0,16,3497
,Chad,4/17/2020 16:30,27,0,5,0
,Sierra Leone,4/17/2020 16:30,26,0,0,0
,Zimbabwe,4/17/2020 16:30,24,3,2,1299
,Antigua and Barbuda,4/17/2020 16:30,23,3,3,73
,Angola,4/17/2020 16:30,19,2,5,0
,Laos,4/17/2020 16:30,19,0,2,1288
,Belize,4/17/2020 16:30,18,2,0,651
,New Caledonia,4/17/2020 16:30,18,0,14,3316
,Timor-Leste,4/17/2020 16:30,18,0,1,0
,Malawi,4/17/2020 16:30,17,2,3,417
,Fiji,4/17/2020 16:30,17,0,0,0
,Eswatini,4/17/2020 16:30,16,1,8,714
,Dominica,4/17/2020 16:30,16,0,8,345
,Namibia,4/17/2020 16:30,16,0,4,362
,Botswana,4/17/2020 16:30,15,1,0,3602
,Saint Lucia,4/17/2020 16:30,15,0,11,319
,Curacao,4/17/2020 16:30,14,1,10,269
,Grenada,4/17/2020 16:30,14,0,6,92
,Saint Kitts and Nevis,4/17/2020 16:30,14,0,0,234
,CAR,4/17/2020 16:30,12,0,4,0
,St. Vincent Grenadines,4/17/2020 16:30,12,0,1,87
,Turks and Caicos,4/17/2020 16:30,11,1,0,83
,Falkland Islands,4/17/2020 16:30,11,0,1,137
,Greenland,4/17/2020 16:30,11,0,11,1019
,Montserrat,4/17/2020 16:30,11,0,1,36
,Seychelles,4/17/2020 16:30,11,0,5,0
,Suriname,4/17/2020 16:30,10,1,6,0
,MS Zaandam,4/17/2020 16:30,9,2,0,0
,Gambia,4/17/2020 16:30,9,1,2,281
,Nicaragua,4/17/2020 16:30,9,1,4,0
,Vatican City,4/17/2020 16:30,8,0,2,0
,Mauritania,4/17/2020 16:30,7,1,2,713
,Papua New Guinea,4/17/2020 16:30,7,0,0,167
,St. Barth,4/17/2020 16:30,6,0,4,0
,Western Sahara,4/17/2020 16:30,6,0,0,0
,Burundi,4/17/2020 16:30,5,1,0,80
,Bhutan,4/17/2020 16:30,5,0,2,7913
,British Virgin Islands,4/17/2020 16:30,4,0,2,0
,Sao Tome and Principe,4/17/2020 16:30,4,0,0,19
,South Sudan,4/17/2020 16:30,4,0,0,0
,Anguilla,4/17/2020 16:30,3,0,1,0
,Caribbean Netherlands,4/17/2020 16:30,3,0,0,10
,Saint Pierre Miquelon,4/17/2020 16:30,1,0,0,0
,Yemen,4/17/2020 16:30,1,0,0,0
