Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Quebec,Canada,4/29/2020 07:00,25761,1683,5841,0,0
Ontario,Canada,4/29/2020 07:00,16500,1072,8964,0,0
Alberta,Canada,4/29/2020 07:00,4850,80,1800,0,0
British Columbia,Canada,4/29/2020 07:00,2053,106,1231,0,0
Nova Scotia,Canada,4/29/2020 07:00,915,27,522,0,0
Saskatchewan,Canada,4/29/2020 07:00,366,5,291,0,0
Manitoba,Canada,4/29/2020 07:00,273,6,209,0,0
Newfoundland and Labrador,Canada,4/29/2020 07:00,258,3,222,0,0
New Brunswick,Canada,4/29/2020 07:00,118,0,114,0,0
Prince Edward Island,Canada,4/29/2020 07:00,27,0,24,0,0
Yukon,Canada,4/29/2020 07:00,11,0,8,0,0
Northwest Territories,Canada,4/29/2020 07:00,5,0,5,0,0
,Spain,4/29/2020 07:00,232128,23822,123903,1345560,7764
,Italy,4/29/2020 07:00,201505,27359,68941,1846934,1863
,France,4/29/2020 07:00,165911,23660,46886,463662,4387
,UK,4/29/2020 07:00,161145,21678,787,763387,1559
,Germany,4/29/2020 07:00,160059,6314,120400,2072669,2409
,Turkey,4/29/2020 07:00,114653,2992,38809,948115,1621
,Russia,4/29/2020 07:00,99399,972,10286,3303717,2300
,Iran,4/29/2020 07:00,93657,5957,73791,453386,2965
,Brazil,4/29/2020 07:00,73235,5083,32544,339552,8318
Brussels,Belgium,4/29/2020 07:00,47859,7501,11283,226724,797
,Netherlands,4/29/2020 07:00,38416,4566,322,209726,861
,India,4/29/2020 07:00,31332,1008,7747,770764,0
,Peru,4/29/2020 07:00,31190,854,9179,267612,600
,Switzerland,4/29/2020 07:00,29407,1699,22600,260500,185
,Portugal,4/29/2020 07:00,24322,948,1389,379551,172
,Ecuador,4/29/2020 07:00,24258,871,1557,61529,146
,Saudi Arabia,4/29/2020 07:00,20077,152,2784,200000,118
,Ireland,4/29/2020 07:00,19877,1159,9233,153954,141
,Sweden,4/29/2020 07:00,19621,2355,1005,119500,524
,Mexico,4/29/2020 07:00,16752,1569,11423,77005,378
,Israel,4/29/2020 07:00,15782,212,7929,313135,120
,Singapore,4/29/2020 07:00,15641,14,1128,121774,20
,Austria,4/29/2020 07:00,15402,580,12779,247754,131
,Pakistan,4/29/2020 07:00,14885,327,3425,165911,111
,Chile,4/29/2020 07:00,14365,207,7710,166165,426
,Japan,4/29/2020 07:00,13736,394,1899,160546,300
,Belarus,4/29/2020 07:00,13181,84,2072,168986,92
,Qatar,4/29/2020 07:00,12564,10,1243,88607,72
,Poland,4/29/2020 07:00,12415,606,3025,310744,160
,Romania,4/29/2020 07:00,11978,681,3569,166993,247
,United Arab Emirates,4/29/2020 07:00,11380,89,2181,1122000,1
,South Korea,4/29/2020 07:00,10761,246,8922,614197,55
,Ukraine,4/29/2020 07:00,9866,250,1103,104544,129
,Indonesia,4/29/2020 07:00,9771,784,1391,86985,0
,Denmark,4/29/2020 07:00,9008,434,6121,180062,66
,Serbia,4/29/2020 07:00,8497,168,1260,73363,79
,Philippines,4/29/2020 07:00,8212,558,1023,98941,31
,Norway,4/29/2020 07:00,7660,206,32,165951,44
,Czechia,4/29/2020 07:00,7504,227,2960,234985,73
,Bangladesh,4/29/2020 07:00,7103,163,150,59701,1
,Dominican Republic,4/29/2020 07:00,6416,286,1165,23979,144
,Panama,4/29/2020 07:00,6200,176,484,28795,89
,Colombia,4/29/2020 07:00,5949,269,1268,90899,118
,Malaysia,4/29/2020 07:00,5945,100,4087,152142,40
,Egypt,4/29/2020 07:00,5042,359,1304,90000,0
,South Africa,4/29/2020 07:00,4996,93,2073,185497,36
,Finland,4/29/2020 07:00,4906,199,2800,89784,56
,Morocco,4/29/2020 07:00,4289,167,890,32076,1
,Argentina,4/29/2020 07:00,4127,207,1162,53600,144
,Luxembourg,4/29/2020 07:00,3741,89,3123,39741,19
,Kuwait,4/29/2020 07:00,3740,24,1389,179000,66
,Algeria,4/29/2020 07:00,3649,437,1651,6500,22
,Moldova,4/29/2020 07:00,3638,107,975,11763,212
,Kazakhstan,4/29/2020 07:00,3079,25,774,232415,41
,Thailand,4/29/2020 07:00,2947,54,2665,178083,61
,Bahrain,4/29/2020 07:00,2811,8,1310,121706,2
,Hungary,4/29/2020 07:00,2727,300,536,70300,50
,Greece,4/29/2020 07:00,2566,138,577,69833,40
,Oman,4/29/2020 07:00,2274,10,364,0,3
,Croatia,4/29/2020 07:00,2047,63,1232,33577,21
,Uzbekistan,4/29/2020 07:00,1969,8,1055,242536,8
,Armenia,4/29/2020 07:00,1932,30,900,20189,10
,Iraq,4/29/2020 07:00,1928,90,1319,73782,0
,Afghanistan,4/29/2020 07:00,1828,58,228,9000,7
,Cameroon,4/29/2020 07:00,1806,59,915,0,12
,Iceland,4/29/2020 07:00,1795,10,1636,46377,1
,Azerbaijan,4/29/2020 07:00,1717,22,1221,132640,15
,Bosnia and Herzegovina,4/29/2020 07:00,1677,65,710,29130,4
,Ghana,4/29/2020 07:00,1671,16,188,100622,4
,Estonia,4/29/2020 07:00,1666,50,236,51188,10
,Nigeria,4/29/2020 07:00,1532,44,255,10918,2
,New Zealand,4/29/2020 07:00,1474,19,1229,128703,1
,Bulgaria,4/29/2020 07:00,1437,61,243,45208,39
,Cuba,4/29/2020 07:00,1437,58,575,43508,12
,North Macedonia,4/29/2020 07:00,1421,71,589,15771,13
,Slovenia,4/29/2020 07:00,1418,89,230,51607,25
,Slovakia,4/29/2020 07:00,1391,22,484,81338,8
,Lithuania,4/29/2020 07:00,1375,45,563,118201,17
,Guinea,4/29/2020 07:00,1240,7,269,0,0
,Ivory Coast,4/29/2020 07:00,1183,14,525,0,0
,Djibouti,4/29/2020 07:00,1072,2,498,12571,0
,Bolivia,4/29/2020 07:00,1053,55,110,5791,3
Hong Kong,Hong Kong,4/29/2020 07:00,1038,4,830,145640,4
,Tunisia,4/29/2020 07:00,975,40,279,21477,18
,Latvia,4/29/2020 07:00,849,15,348,54811,4
,Cyprus,4/29/2020 07:00,837,15,148,53219,15
,Senegal,4/29/2020 07:00,823,9,296,466,1
,Albania,4/29/2020 07:00,750,30,431,7758,4
,Andorra,4/29/2020 07:00,743,41,398,1673,17
,Honduras,4/29/2020 07:00,738,66,73,3643,10
,Kyrgyzstan,4/29/2020 07:00,729,8,437,50775,10
,Lebanon,4/29/2020 07:00,721,24,150,32446,44
Yokohama,Japan,4/29/2020 07:00,712,13,645,0,4
,Niger,4/29/2020 07:00,709,31,403,5116,0
,Costa Rica,4/29/2020 07:00,705,6,306,12729,8
,Burkina Faso,4/29/2020 07:00,638,42,476,0,0
,Uruguay,4/29/2020 07:00,625,15,394,18140,11
,Sri Lanka,4/29/2020 07:00,622,7,134,17715,2
,San Marino,4/29/2020 07:00,563,41,69,2235,6
,Guatemala,4/29/2020 07:00,557,16,62,7200,5
,Channel Islands,4/29/2020 07:00,530,36,352,5342,0
,Somalia,4/29/2020 07:00,528,28,19,0,2
,Georgia,4/29/2020 07:00,517,6,168,12593,6
,DRC,4/29/2020 07:00,491,30,59,0,0
,Malta,4/29/2020 07:00,463,4,339,31736,1
,Mayotte,4/29/2020 07:00,460,4,235,2700,4
,Jordan,4/29/2020 07:00,449,8,348,63737,5
Taiwan,Taiwan,4/29/2020 07:00,429,6,311,62368,0
,Mali,4/29/2020 07:00,424,24,122,2172,0
,Reunion,4/29/2020 07:00,418,0,300,0,2
,Jamaica,4/29/2020 07:00,381,7,29,3621,3
,El Salvador,4/29/2020 07:00,377,9,106,22593,3
,Kenya,4/29/2020 07:00,374,14,124,17992,2
,Palestine,4/29/2020 07:00,343,2,71,27000,0
,Mauritius,4/29/2020 07:00,334,10,303,14445,3
,Venezuela,4/29/2020 07:00,329,10,142,440966,3
,Montenegro,4/29/2020 07:00,321,7,199,6864,7
,Sudan,4/29/2020 07:00,318,25,31,0,0
,Equatorial Guinea,4/29/2020 07:00,315,1,9,854,0
,Isle of Man,4/29/2020 07:00,309,21,252,2986,22
,Tanzania,4/29/2020 07:00,306,10,48,0,7
,Vietnam,4/29/2020 07:00,270,0,222,212965,8
,Maldives,4/29/2020 07:00,256,0,17,5296,2
,Paraguay,4/29/2020 07:00,239,9,102,8444,1
,Gabon,4/29/2020 07:00,238,3,53,724,1
,Rwanda,4/29/2020 07:00,212,0,95,8464,0
,Congo,4/29/2020 07:00,207,8,19,0,0
,Faeroe Islands,4/29/2020 07:00,187,0,181,6851,0
,Martinique,4/29/2020 07:00,175,14,83,0,5
,Myanmar,4/29/2020 07:00,150,6,16,7608,0
,Guadeloupe,4/29/2020 07:00,149,12,82,0,11
,Liberia,4/29/2020 07:00,141,16,45,0,0
,Gibraltar,4/29/2020 07:00,141,0,131,2198,0
,Brunei,4/29/2020 07:00,138,1,124,13428,2
,Ethiopia,4/29/2020 07:00,130,3,58,16434,0
,Madagascar,4/29/2020 07:00,128,0,90,3107,1
,French Guiana,4/29/2020 07:00,125,1,93,0,0
,Cambodia,4/29/2020 07:00,122,0,119,11905,1
,Trinidad and Tobago,4/29/2020 07:00,116,8,59,1642,0
,Cabo Verde,4/29/2020 07:00,114,1,2,791,0
,Bermuda,4/29/2020 07:00,110,6,44,1682,10
,Sierra Leone,4/29/2020 07:00,104,4,12,0,0
,Aruba,4/29/2020 07:00,100,2,73,1649,4
,Togo,4/29/2020 07:00,99,6,63,6234,0
,Monaco,4/29/2020 07:00,95,4,50,0,1
,Zambia,4/29/2020 07:00,95,3,42,5284,1
,Liechtenstein,4/29/2020 07:00,82,1,55,900,0
,Bahamas,4/29/2020 07:00,80,11,23,0,1
,Barbados,4/29/2020 07:00,80,6,39,1930,4
,Uganda,4/29/2020 07:00,79,0,52,27432,0
,Haiti,4/29/2020 07:00,76,6,8,776,0
,Mozambique,4/29/2020 07:00,76,0,12,1688,0
,Sint Maarten,4/29/2020 07:00,75,13,33,302,7
,Guyana,4/29/2020 07:00,74,8,15,464,5
,Guinea-Bissau,4/29/2020 07:00,73,1,18,1500,0
,Eswatini,4/29/2020 07:00,71,1,10,714,0
,Cayman Islands,4/29/2020 07:00,70,1,10,1148,3
,Benin,4/29/2020 07:00,64,1,33,0,0
,Libya,4/29/2020 07:00,61,2,18,1623,0
,French Polynesia,4/29/2020 07:00,58,0,49,2345,1
,Nepal,4/29/2020 07:00,57,0,16,57189,0
,Chad,4/29/2020 07:00,52,2,19,0,0
,CAR,4/29/2020 07:00,50,0,10,0,0
Macau,Macau,4/29/2020 07:00,45,0,34,0,1
,Syria,4/29/2020 07:00,43,3,21,0,0
