Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/05/2020 19:00,19665,633,549,
Zhejiang,Mainland China,2/05/2020 19:00,895,77,0,
Guangdong,Mainland China,2/05/2020 19:00,895,42,0,
Henan,Mainland China,2/05/2020 19:00,764,50,2,
Hunan,Mainland China,2/05/2020 19:00,661,44,0,
Jiangxi,Mainland China,2/05/2020 19:00,548,27,0,
Anhui,Mainland China,2/05/2020 19:00,530,23,0,
Chongqing,Mainland China,2/05/2020 19:00,389,15,2,
Jiangsu,Mainland China,2/05/2020 19:00,341,25,0,
Shandong,Mainland China,2/05/2020 19:00,307,15,0,
Sichuan,Mainland China,2/05/2020 19:00,301,24,1,
Beijing,Mainland China,2/05/2020 19:00,253,24,1,
Shanghai,Mainland China,2/05/2020 19:00,254,15,1,
Fujian,Mainland China,2/05/2020 19:00,205,11,0,
Heilongjiang,Mainland China,2/05/2020 19:00,190,8,2,
Shaanxi,Mainland China,2/05/2020 19:00,165,6,0,
Guangxi,Mainland China,2/05/2020 19:00,150,14,0,
Hebei,Mainland China,2/05/2020 19:00,157,7,1,
Yunnan,Mainland China,2/05/2020 19:00,128,5,0,
Hainan,Mainland China,2/05/2020 19:00,99,5,1,
Liaoning,Mainland China,2/05/2020 19:00,89,4,0,
Shanxi,Mainland China,2/05/2020 19:00,90,6,0,
Tianjin,Mainland China,2/05/2020 19:00,69,2,1,
Guizhou,Mainland China,2/05/2020 19:00,64,6,1,
Gansu,Mainland China,2/05/2020 19:00,62,4,0,
Jilin,Mainland China,2/05/2020 19:00,59,2,0,
Inner Mongolia,Mainland China,2/05/2020 19:00,42,3,0,
,Japan,2/05/2020 19:00,35,1,0,
Ningxia,Mainland China,2/05/2020 19:00,34,1,0,
Xinjiang,Mainland China,2/05/2020 19:00,32,0,0,
,Singapore,2/05/2020 19:00,28,1,0,
,Thailand,2/05/2020 19:00,25,8,0,
Hong Kong,Hong Kong,2/05/2020 19:00,21,0,1,
,South Korea,2/05/2020 19:00,19,1,0,
Qinghai,Mainland China,2/05/2020 19:00,17,3,0,
,Germany,2/05/2020 19:00,12,0,0,
,Malaysia,2/05/2020 19:00,12,1,0,
Taiwan,Taiwan,2/05/2020 19:00,11,0,0,
Macau,Macau,2/05/2020 19:00,10,0,0,
,Vietnam,2/05/2020 19:00,10,3,0,
,France,2/05/2020 19:00,6,0,0,
California,US,2/05/2020 19:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
,United Arab Emirates,2/05/2020 19:00,5,0,0,
New South Wales,Australia,2/05/2020 19:00,4,3,0,
Victoria,Australia,2/05/2020 19:00,4,0,0,
Queensland,Australia,2/05/2020 19:00,4,0,0,
Ontario,Canada,2/05/2020 19:00,3,0,0,
,India,2/05/2020 19:00,3,0,0,
,Philippines,2/05/2020 19:00,3,0,1,
,Italy,2/05/2020 19:00,2,0,0,
,Russia,2/05/2020 19:00,2,0,0,
,UK,2/05/2020 19:00,2,0,0,
Illinois,US,2/05/2020 19:00,2,0,0,Chicago
South Australia,Australia,2/05/2020 19:00,2,0,0,
British Columbia,Canada,2/05/2020 19:00,2,0,0,
,Cambodia,2/05/2020 19:00,1,0,0,
,Finland,2/05/2020 19:00,1,1,0,
Tibet,Mainland China,2/05/2020 19:00,1,0,0,
,Nepal,2/05/2020 19:00,1,0,0,
,Spain,2/05/2020 19:00,1,0,0,
,Sri Lanka,2/05/2020 19:00,1,1,0,
,Sweden,2/05/2020 19:00,1,0,0,
Massachusetts,US,2/05/2020 19:00,1,0,0,Boston
WA,US,2/05/2020 19:00,1,0,0,Seattle
Arizona,US,2/05/2020 19:00,1,0,0,Tempe
,Belgium,2/05/2020 19:00,1,0,0,
WI,US,2/05/2020 19:00,1,0,0,Madison
