Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Heilongjiang,Mainland China,5/15/2020 22:00,945,13,930,0,0
Shanghai,Mainland China,5/15/2020 22:00,660,7,640,0,0
Inner Mongolia,Mainland China,5/15/2020 22:00,209,1,194,0,0
Shaanxi,Mainland China,5/15/2020 22:00,308,3,300,0,0
Hubei,Mainland China,5/15/2020 22:00,68134,4512,63616,0,0
Beijing,Mainland China,5/15/2020 22:00,593,9,574,0,0
Guangdong,Mainland China,5/15/2020 22:00,1589,8,1579,0,0
Shandong,Mainland China,5/15/2020 22:00,788,7,778,0,0
Jilin,Mainland China,5/15/2020 22:00,138,1,108,0,0
Fujian,Mainland China,5/15/2020 22:00,356,1,354,0,0
Tianjin,Mainland China,5/15/2020 22:00,191,3,187,0,0
Hebei,Mainland China,5/15/2020 22:00,328,6,321,0,0
Liaoning,Mainland China,5/15/2020 22:00,149,2,144,0,0
Henan,Mainland China,5/15/2020 22:00,1276,22,1254,0,0
Zhejiang,Mainland China,5/15/2020 22:00,1268,1,1267,0,0
Hunan,Mainland China,5/15/2020 22:00,1019,4,1015,0,0
Anhui,Mainland China,5/15/2020 22:00,991,6,985,0,0
Jiangxi,Mainland China,5/15/2020 22:00,937,1,936,0,0
Jiangsu,Mainland China,5/15/2020 22:00,653,0,653,0,0
Chongqing,Mainland China,5/15/2020 22:00,579,6,573,0,0
Sichuan,Mainland China,5/15/2020 22:00,561,3,558,0,0
Guangxi,Mainland China,5/15/2020 22:00,254,2,252,0,0
Shanxi,Mainland China,5/15/2020 22:00,198,0,198,0,0
Yunnan,Mainland China,5/15/2020 22:00,185,2,183,0,0
Hainan,Mainland China,5/15/2020 22:00,168,6,162,0,0
Guizhou,Mainland China,5/15/2020 22:00,147,2,145,0,0
Gansu,Mainland China,5/15/2020 22:00,139,2,137,0,0
Xinjiang,Mainland China,5/15/2020 22:00,76,3,73,0,0
Ningxia,Mainland China,5/15/2020 22:00,75,0,75,0,0
Qinghai,Mainland China,5/15/2020 22:00,18,0,18,0,0
Tibet,Mainland China,5/15/2020 22:00,1,0,1,0,0
New South Wales,Australia,5/15/2020 22:00,3071,45,2605,345846,0
Queensland,Australia,5/15/2020 22:00,1054,6,1031,148607,0
Victoria,Australia,5/15/2020 22:00,1543,18,1406,309459,0
South Australia,Australia,5/15/2020 22:00,439,4,434,75958,0
Western Australia,Australia,5/15/2020 22:00,554,9,538,63248,0
Tasmania,Australia,5/15/2020 22:00,227,13,187,20957,0
Australian Capital Territory,Australia,5/15/2020 22:00,107,3,104,13493,0
Northern Territory,Australia,5/15/2020 22:00,29,0,28,5940,0
New York,US,5/15/2020 22:00,351442,27444,39524,0,0
New Jersey,US,5/15/2020 22:00,143984,10148,3274,0,0
Illinois,US,5/15/2020 22:00,90369,4059,2032,0,0
Massachusetts,US,5/15/2020 22:00,83421,5482,12842,0,0
California,US,5/15/2020 22:00,76354,3128,11686,0,0
Pennsylvania,US,5/15/2020 22:00,64136,4422,1120,0,0
Michigan,US,5/15/2020 22:00,50079,4825,22686,0,0
Florida,US,5/15/2020 22:00,43210,1875,371,0,0
Texas,US,5/15/2020 22:00,45208,1271,25015,0,0
Connecticut,US,5/15/2020 22:00,36085,3285,63,0,0
Louisiana,US,5/15/2020 22:00,33837,2448,22608,0,0
Georgia,US,5/15/2020 22:00,36681,1558,340,0,0
Maryland,US,5/15/2020 22:00,36986,1911,2685,0,0
Indiana,US,5/15/2020 22:00,26656,1691,1883,0,0
Ohio,US,5/15/2020 22:00,26956,1581,4168,0,0
Virginia,US,5/15/2020 22:00,28672,978,3805,0,0
