Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/14/2020 06:00,51986,1318,3900,
Guangdong,Mainland China,2/14/2020 06:00,1261,2,344,
Henan,Mainland China,2/14/2020 06:00,1184,11,346,
Zhejiang,Mainland China,2/14/2020 06:00,1155,0,392,
Hunan,Mainland China,2/14/2020 06:00,988,2,364,
Anhui,Mainland China,2/14/2020 06:00,934,6,184,
Jiangxi,Mainland China,2/14/2020 06:00,900,1,187,
Jiangsu,Mainland China,2/14/2020 06:00,593,0,157,
Chongqing,Mainland China,2/14/2020 06:00,532,5,139,
Shandong,Mainland China,2/14/2020 06:00,523,2,126,
Sichuan,Mainland China,2/14/2020 06:00,463,1,112,
Heilongjiang,Mainland China,2/14/2020 06:00,418,11,46,
Beijing,Mainland China,2/14/2020 06:00,372,3,80,
Shanghai,Mainland China,2/14/2020 06:00,318,1,90,
Hebei,Mainland China,2/14/2020 06:00,283,3,85,
Fujian,Mainland China,2/14/2020 06:00,281,0,62,
Shaanxi,Mainland China,2/14/2020 06:00,230,0,49,
Guangxi,Mainland China,2/14/2020 06:00,226,2,35,
Yokohama,Japan,2/14/2020 06:00,218,0,0,
Hainan,Mainland China,2/14/2020 06:00,158,4,36,
Yunnan,Mainland China,2/14/2020 06:00,162,0,35,
Guizhou,Mainland China,2/14/2020 06:00,140,1,28,
Shanxi,Mainland China,2/14/2020 06:00,126,0,38,
Tianjin,Mainland China,2/14/2020 06:00,120,3,21,
Liaoning,Mainland China,2/14/2020 06:00,117,1,29,
Gansu,Mainland China,2/14/2020 06:00,90,2,39,
Jilin,Mainland China,2/14/2020 06:00,86,1,25,
Ningxia,Mainland China,2/14/2020 06:00,67,0,24,
Xinjiang,Mainland China,2/14/2020 06:00,65,1,6,
Inner Mongolia,Mainland China,2/14/2020 06:00,65,0,6,
,Singapore,2/14/2020 06:00,58,0,15,
Hong Kong,Hong Kong,2/14/2020 06:00,56,1,1,
,Thailand,2/14/2020 06:00,33,0,12,
,Japan,2/14/2020 06:00,35,1,10,
,South Korea,2/14/2020 06:00,28,0,7,
,Malaysia,2/14/2020 06:00,19,0,7,
Qinghai,Mainland China,2/14/2020 06:00,18,0,11,
Taiwan,Taiwan,2/14/2020 06:00,18,0,2,
,Germany,2/14/2020 06:00,16,0,1,
,Vietnam,2/14/2020 06:00,16,0,7,
,France,2/14/2020 06:00,11,0,2,
Macau,Macau,2/14/2020 06:00,10,0,3,
,UK,2/14/2020 06:00,9,0,1,
,United Arab Emirates,2/14/2020 06:00,8,0,1,
California,US,2/14/2020 06:00,8,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/14/2020 06:00,5,0,0,
,India,2/14/2020 06:00,3,0,1,
New South Wales,Australia,2/14/2020 06:00,4,0,4,
Victoria,Australia,2/14/2020 06:00,4,0,4,
British Columbia,Canada,2/14/2020 06:00,4,0,0,
Ontario,Canada,2/14/2020 06:00,3,0,1,
,Philippines,2/14/2020 06:00,3,1,2,
,Italy,2/14/2020 06:00,3,0,0,
,Russia,2/14/2020 06:00,2,0,2,
Illinois,US,2/14/2020 06:00,2,0,2,Chicago
South Australia,Australia,2/14/2020 06:00,2,0,0,
,Spain,2/14/2020 06:00,2,0,0,
,Cambodia,2/14/2020 06:00,1,0,1,
,Finland,2/14/2020 06:00,1,0,1,
,Sri Lanka,2/14/2020 06:00,1,0,1,
Tibet,Mainland China,2/14/2020 06:00,1,0,1,
,Nepal,2/14/2020 06:00,1,0,1,
,Sweden,2/14/2020 06:00,1,0,0,
Massachusetts,US,2/14/2020 06:00,1,0,0,Boston
WA,US,2/14/2020 06:00,1,0,1,Seattle
Arizona,US,2/14/2020 06:00,1,0,0,Tempe
Brussels,Belgium,2/14/2020 06:00,1,0,0,
WI,US,2/14/2020 06:00,1,0,0,Madison
Texas,US,2/14/2020 06:00,1,0,0,
