Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
Hubei,Mainland China,4/18/2020 01:00,68128,4512,63494,0
Heilongjiang,Mainland China,4/18/2020 01:00,892,13,472,0
Shanghai,Mainland China,4/18/2020 01:00,628,7,512,0
Beijing,Mainland China,4/18/2020 01:00,593,8,509,0
Guangdong,Mainland China,4/18/2020 01:00,1579,8,1482,0
Inner Mongolia,Mainland China,4/18/2020 01:00,193,1,104,0
Fujian,Mainland China,4/18/2020 01:00,355,1,336,0
Shanxi,Mainland China,4/18/2020 01:00,197,0,135,0
Zhejiang,Mainland China,4/18/2020 01:00,1268,1,1246,0
Tianjin,Mainland China,4/18/2020 01:00,189,3,173,0
Shandong,Mainland China,4/18/2020 01:00,787,7,765,0
Jiangsu,Mainland China,4/18/2020 01:00,653,0,643,0
Sichuan,Mainland China,4/18/2020 01:00,561,3,553,0
Liaoning,Mainland China,4/18/2020 01:00,146,2,142,0
Yunnan,Mainland China,4/18/2020 01:00,184,2,177,0
Hebei,Mainland China,4/18/2020 01:00,328,6,316,0
Shaanxi,Mainland China,4/18/2020 01:00,256,3,252,0
Jilin,Mainland China,4/18/2020 01:00,102,1,97,0
Chongqing,Mainland China,4/18/2020 01:00,579,6,570,0
Henan,Mainland China,4/18/2020 01:00,1276,22,1254,0
Gansu,Mainland China,4/18/2020 01:00,139,2,137,0
Hunan,Mainland China,4/18/2020 01:00,1019,4,1015,0
Anhui,Mainland China,4/18/2020 01:00,991,6,984,0
Jiangxi,Mainland China,4/18/2020 01:00,937,1,936,0
Guizhou,Mainland China,4/18/2020 01:00,147,2,144,0
Guangxi,Mainland China,4/18/2020 01:00,254,2,252,0
Hainan,Mainland China,4/18/2020 01:00,168,6,162,0
Xinjiang,Mainland China,4/18/2020 01:00,76,3,73,0
Ningxia,Mainland China,4/18/2020 01:00,75,0,75,0
Qinghai,Mainland China,4/18/2020 01:00,18,0,18,0
Tibet,Mainland China,4/18/2020 01:00,1,0,1,0
New South Wales,Australia,4/18/2020 01:00,2936,26,1420,160454
Queensland,Australia,4/18/2020 01:00,1014,6,738,77727
Victoria,Australia,4/18/2020 01:00,1319,14,1159,75000
South Australia,Australia,4/18/2020 01:00,435,4,331,53752
Western Australia,Australia,4/18/2020 01:00,542,7,377,26225
Tasmania,Australia,4/18/2020 01:00,184,8,67,4810
Australian Capital Territory,Australia,4/18/2020 01:00,103,3,88,6856
Northern Territory,Australia,4/18/2020 01:00,27,0,6,3381
,Artania Cruise,4/18/2020 01:00,41,2,0,0
New York,US,4/18/2020 01:00,230624,12825,28089,0
New Jersey,US,4/18/2020 01:00,78467,3840,470,0
Massachusetts,US,4/18/2020 01:00,34402,1404,729,0
Pennsylvania,US,4/18/2020 01:00,30031,921,340,0
Michigan,US,4/18/2020 01:00,30023,2227,502,0
California,US,4/18/2020 01:00,29198,1041,2560,0
Illinois,US,4/18/2020 01:00,27577,1132,465,0
Florida,US,4/18/2020 01:00,24759,726,174,0
Louisiana,US,4/18/2020 01:00,23118,1213,0,0
Texas,US,4/18/2020 01:00,18074,456,4190,0
Georgia,US,4/18/2020 01:00,17432,668,340,0
Connecticut,US,4/18/2020 01:00,16809,1036,63,0
WA,US,4/18/2020 01:00,11707,610,1757,0
Maryland,US,4/18/2020 01:00,11572,493,736,0
Indiana,US,4/18/2020 01:00,10154,519,150,0
Ohio,US,4/18/2020 01:00,9107,418,448,0
Colorado,US,4/18/2020 01:00,9047,391,510,0
Virginia,US,4/18/2020 01:00,7491,231,721,0
Tennessee,US,4/18/2020 01:00,6589,142,3018,0
North Carolina,US,4/18/2020 01:00,6198,181,997,0
Missouri,US,4/18/2020 01:00,5371,184,472,0
Alabama,US,4/18/2020 01:00,4572,151,0,0
Arizona,US,4/18/2020 01:00,4511,169,6,0
Rhode Island,US,4/18/2020 01:00,4177,118,0,0
South Carolina,US,4/18/2020 01:00,4086,116,0,0
Wisconsin,US,4/18/2020 01:00,4053,206,135,0
Mississippi,US,4/18/2020 01:00,3793,140,0,0
Nevada,US,4/18/2020 01:00,3524,142,1664,0
Utah,US,4/18/2020 01:00,2810,23,220,0
Kentucky,US,4/18/2020 01:00,2522,137,956,0
Washington DC,US,4/18/2020 01:00,2476,86,573,0
Oklahoma,US,4/18/2020 01:00,2465,136,1060,0
Iowa,US,4/18/2020 01:00,2333,64,1007,0
Delaware,US,4/18/2020 01:00,2323,61,378,0
Minnesota,US,4/18/2020 01:00,2070,111,1066,0
Oregon,US,4/18/2020 01:00,1785,70,42,0
