Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/25/2020 12:00,761,40,32,0
Guangdong,Mainland China,1/25/2020 12:00,78,0,2,0
Zhejiang,Mainland China,1/25/2020 12:00,62,0,1,0
Chongqing,Mainland China,1/25/2020 12:00,57,0,0,0
Hunan,Mainland China,1/25/2020 12:00,43,0,0,0
Beijing,Mainland China,1/25/2020 12:00,41,0,2,0
Anhui,Mainland China,1/25/2020 12:00,39,0,0,4
Shanghai,Mainland China,1/25/2020 12:00,33,0,1,72
Henan,Mainland China,1/25/2020 12:00,32,0,0,1
Sichuan,Mainland China,1/25/2020 12:00,28,0,0,4
Shandong,Mainland China,1/25/2020 12:00,27,0,0,0
Guangxi,Mainland China,1/25/2020 12:00,23,0,0,0
Hainan,Mainland China,1/25/2020 12:00,19,0,0,0
Jiangxi,Mainland China,1/25/2020 12:00,18,0,0,0
Fujian,Mainland China,1/25/2020 12:00,18,0,0,20
Jiangsu,Mainland China,1/25/2020 12:00,18,0,1,0
Liaoning,Mainland China,1/25/2020 12:00,17,0,0,0
Shaanxi,Mainland China,1/25/2020 12:00,15,0,0,0
Yunnan,Mainland China,1/25/2020 12:00,11,0,0,58
Tianjin,Mainland China,1/25/2020 12:00,10,0,0,0
Heilongjiang,Mainland China,1/25/2020 12:00,9,1,0,0
Hebei,Mainland China,1/25/2020 12:00,8,1,0,0
Inner Mongolia,Mainland China,1/25/2020 12:00,7,0,0,0
Shanxi,Mainland China,1/25/2020 12:00,6,0,0,0
Hong Kong,Hong Kong,1/25/2020 12:00,5,0,0,244
Guizhou,Mainland China,1/25/2020 12:00,4,0,0,0
Jilin,Mainland China,1/25/2020 12:00,4,0,0,0
Gansu,Mainland China,1/25/2020 12:00,4,0,0,0
Ningxia,Mainland China,1/25/2020 12:00,3,0,0,1
Taiwan,Taiwan,1/25/2020 12:00,3,0,0,0
Xinjiang,Mainland China,1/25/2020 12:00,3,0,0,0
Macau,Macau,1/25/2020 12:00,2,0,0,0
Qinghai,Mainland China,1/25/2020 12:00,1,0,0,0
WA,US,1/25/2020 12:00,1,0,0,0
Illinois,US,1/25/2020 12:00,1,0,0,0
,Japan,1/25/2020 12:00,2,0,0,0
,Thailand,1/25/2020 12:00,7,0,0,0
,South Korea,1/25/2020 12:00,2,0,0,0
,Singapore,1/25/2020 12:00,3,0,0,0
,Vietnam,1/25/2020 12:00,2,0,0,0
,France,1/25/2020 12:00,3,0,0,0
New South Wales,Australia,1/25/2020 12:00,3,0,0,0
Victoria,Australia,1/25/2020 12:00,1,0,0,0
,Nepal,1/25/2020 12:00,1,0,0,0
,Malaysia,1/25/2020 12:00,3,0,0,0
