Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/23/2020 00:00,9,0,0,4
Beijing,Mainland China,1/23/2020 00:00,22,0,0,0
Chongqing,Mainland China,1/23/2020 00:00,9,0,0,0
Fujian,Mainland China,1/23/2020 00:00,5,0,0,2
Gansu,Mainland China,1/23/2020 00:00,2,0,0,0
Guangdong,Mainland China,1/23/2020 00:00,32,0,2,1
Guangxi,Mainland China,1/23/2020 00:00,5,0,0,0
Guizhou,Mainland China,1/23/2020 00:00,3,0,0,0
Hainan,Mainland China,1/23/2020 00:00,5,0,0,32
Hebei,Mainland China,1/23/2020 00:00,1,1,0,0
Heilongjiang,Mainland China,1/23/2020 00:00,2,0,0,0
Henan,Mainland China,1/23/2020 00:00,5,0,0,0
Hong Kong,Hong Kong,1/23/2020 00:00,2,0,0,65
Hubei,Mainland China,1/23/2020 00:00,444,17,28,0
Hunan,Mainland China,1/23/2020 00:00,9,0,0,0
Inner Mongolia,Mainland China,1/23/2020 00:00,0,0,0,1
Jiangsu,Mainland China,1/23/2020 00:00,5,0,0,0
Jiangxi,Mainland China,1/23/2020 00:00,7,0,0,0
Jilin,Mainland China,1/23/2020 00:00,1,0,0,0
Liaoning,Mainland China,1/23/2020 00:00,3,0,0,0
Macau,Macau,1/23/2020 00:00,2,0,0,0
Ningxia,Mainland China,1/23/2020 00:00,1,0,0,0
Qinghai,Mainland China,1/23/2020 00:00,0,0,0,0
Shaanxi,Mainland China,1/23/2020 00:00,3,0,0,1
Shandong,Mainland China,1/23/2020 00:00,6,0,0,2
Shanghai,Mainland China,1/23/2020 00:00,16,0,0,22
Shanxi,Mainland China,1/23/2020 00:00,1,0,0,0
Sichuan,Mainland China,1/23/2020 00:00,8,0,0,2
Taiwan,Taiwan,1/23/2020 00:00,1,0,0,0
Tianjin,Mainland China,1/23/2020 00:00,4,0,0,0
Tibet,Mainland China,1/23/2020 00:00,0,0,0,0
WA,US,1/23/2020 00:00,1,0,0,0
Xinjiang,Mainland China,1/23/2020 00:00,2,0,0,0
Yunnan,Mainland China,1/23/2020 00:00,2,0,0,0
Zhejiang,Mainland China,1/23/2020 00:00,27,0,0,0
,Japan,1/23/2020 00:00,2,0,0,0
,Thailand,1/23/2020 00:00,3,0,0,0
,South Korea,1/23/2020 00:00,1,0,0,0
,Singapore,1/23/2020 00:00,1,0,0,0
,Vietnam,1/23/2020 00:00,2,0,0,0
