Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/06/2020 06:00,19665,679,549,
Zhejiang,Mainland China,2/06/2020 06:00,954,91,0,
Guangdong,Mainland China,2/06/2020 06:00,970,58,0,
Henan,Mainland China,2/06/2020 06:00,851,59,2,
Hunan,Mainland China,2/06/2020 06:00,711,67,0,
Jiangxi,Mainland China,2/06/2020 06:00,600,37,0,
Anhui,Mainland China,2/06/2020 06:00,591,34,0,
Chongqing,Mainland China,2/06/2020 06:00,400,24,2,
Jiangsu,Mainland China,2/06/2020 06:00,373,36,0,
Shandong,Mainland China,2/06/2020 06:00,347,24,0,
Sichuan,Mainland China,2/06/2020 06:00,321,28,1,
Beijing,Mainland China,2/06/2020 06:00,274,33,1,
Shanghai,Mainland China,2/06/2020 06:00,257,25,1,
Heilongjiang,Mainland China,2/06/2020 06:00,227,8,3,
Fujian,Mainland China,2/06/2020 06:00,215,12,0,
Shaanxi,Mainland China,2/06/2020 06:00,173,7,0,
Guangxi,Mainland China,2/06/2020 06:00,168,14,0,
Hebei,Mainland China,2/06/2020 06:00,157,11,1,
Yunnan,Mainland China,2/06/2020 06:00,133,6,0,
Hainan,Mainland China,2/06/2020 06:00,106,8,1,
Shanxi,Mainland China,2/06/2020 06:00,90,8,0,
Liaoning,Mainland China,2/06/2020 06:00,91,4,0,
Tianjin,Mainland China,2/06/2020 06:00,78,2,1,
Guizhou,Mainland China,2/06/2020 06:00,71,6,1,
Gansu,Mainland China,2/06/2020 06:00,62,6,0,
Jilin,Mainland China,2/06/2020 06:00,59,3,0,
Inner Mongolia,Mainland China,2/06/2020 06:00,46,4,0,
,Japan,2/06/2020 20:00,25,1,0,
Yokohama,Japan,2/06/2020 21:30,20,0,0,
Ningxia,Mainland China,2/06/2020 06:00,40,1,0,
Xinjiang,Mainland China,2/06/2020 06:00,36,0,0,
,Singapore,2/06/2020 06:00,28,1,0,
,Thailand,2/06/2020 06:00,25,8,0,
,South Korea,2/06/2020 06:00,23,1,0,
Hong Kong,Hong Kong,2/06/2020 06:00,22,0,1,
Qinghai,Mainland China,2/06/2020 06:00,18,3,0,
Taiwan,Taiwan,2/06/2020 06:00,13,0,0,
,Germany,2/06/2020 06:00,12,0,0,
,Malaysia,2/06/2020 06:00,14,1,0,
Macau,Macau,2/06/2020 06:00,10,1,0,
,Vietnam,2/06/2020 06:00,10,3,0,
,France,2/06/2020 06:00,6,0,0,
California,US,2/06/2020 06:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
,United Arab Emirates,2/06/2020 06:00,5,0,0,
New South Wales,Australia,2/06/2020 06:00,4,3,0,
Victoria,Australia,2/06/2020 06:00,4,0,0,
Queensland,Australia,2/06/2020 06:00,4,0,0,
Ontario,Canada,2/06/2020 06:00,3,0,0,
,India,2/06/2020 06:00,3,0,0,
,Philippines,2/06/2020 06:00,3,0,1,
,Italy,2/06/2020 06:00,2,0,0,
,Russia,2/06/2020 06:00,2,0,0,
,UK,2/06/2020 06:00,2,0,0,
Illinois,US,2/06/2020 06:00,2,0,0,Chicago
South Australia,Australia,2/06/2020 06:00,2,0,0,
British Columbia,Canada,2/06/2020 06:00,2,0,0,
,Cambodia,2/06/2020 06:00,1,0,0,
,Finland,2/06/2020 06:00,1,1,0,
Tibet,Mainland China,2/06/2020 06:00,1,0,0,
,Nepal,2/06/2020 06:00,1,0,0,
,Spain,2/06/2020 06:00,1,0,0,
,Sri Lanka,2/06/2020 06:00,1,1,0,
,Sweden,2/06/2020 06:00,1,0,0,
Massachusetts,US,2/06/2020 06:00,1,0,0,Boston
WA,US,2/06/2020 06:00,1,0,0,Seattle
Arizona,US,2/06/2020 06:00,1,0,0,Tempe
,Belgium,2/06/2020 06:00,1,0,0,
WI,US,2/06/2020 06:00,1,0,0,Madison
