Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/06/2020 18:00,22112,817,618,
Guangdong,Mainland China,2/06/2020 18:00,970,59,0,
Zhejiang,Mainland China,2/06/2020 18:00,954,97,0,
Henan,Mainland China,2/06/2020 18:00,851,63,2,
Hunan,Mainland China,2/06/2020 18:00,711,69,0,
Jiangxi,Mainland China,2/06/2020 18:00,600,37,0,
Anhui,Mainland China,2/06/2020 18:00,591,34,0,
Chongqing,Mainland China,2/06/2020 18:00,400,24,2,
Jiangsu,Mainland China,2/06/2020 18:00,373,36,0,
Shandong,Mainland China,2/06/2020 18:00,347,30,0,
Sichuan,Mainland China,2/06/2020 18:00,321,28,1,
Beijing,Mainland China,2/06/2020 18:00,274,33,1,
Shanghai,Mainland China,2/06/2020 18:00,257,25,1,
Heilongjiang,Mainland China,2/06/2020 18:00,227,8,3,
Fujian,Mainland China,2/06/2020 18:00,215,14,0,
Shaanxi,Mainland China,2/06/2020 18:00,173,9,0,
Guangxi,Mainland China,2/06/2020 18:00,168,14,0,
Hebei,Mainland China,2/06/2020 18:00,157,16,1,
Yunnan,Mainland China,2/06/2020 18:00,135,7,0,
Hainan,Mainland China,2/06/2020 18:00,106,8,1,
Shanxi,Mainland China,2/06/2020 18:00,96,12,0,
Liaoning,Mainland China,2/06/2020 18:00,94,5,0,
Tianjin,Mainland China,2/06/2020 18:00,79,2,1,
Guizhou,Mainland China,2/06/2020 18:00,71,6,1,
Gansu,Mainland China,2/06/2020 18:00,67,9,0,
Jilin,Mainland China,2/06/2020 18:00,60,4,0,
Inner Mongolia,Mainland China,2/06/2020 18:00,46,4,0,
,Japan,2/06/2020 20:00,25,1,0,
Yokohama,Japan,2/06/2020 21:30,20,0,0,
Ningxia,Mainland China,2/06/2020 18:00,40,1,0,
Xinjiang,Mainland China,2/06/2020 18:00,36,0,0,
,Singapore,2/06/2020 18:00,30,1,0,
,Thailand,2/06/2020 18:00,25,8,0,
Hong Kong,Hong Kong,2/06/2020 18:00,24,0,1,
,South Korea,2/06/2020 18:00,23,1,0,
Qinghai,Mainland China,2/06/2020 18:00,18,3,0,
Taiwan,Taiwan,2/06/2020 18:00,16,1,0,
,Malaysia,2/06/2020 18:00,14,1,0,
,Germany,2/06/2020 18:00,13,0,0,
,Vietnam,2/06/2020 18:00,12,3,0,
Macau,Macau,2/06/2020 18:00,10,1,0,"San Benito, Los Angeles, Orange, Santa Clara"
,France,2/06/2020 18:00,6,0,0,
California,US,2/06/2020 18:00,6,0,0,
,United Arab Emirates,2/06/2020 18:00,5,0,0,
Queensland,Australia,2/06/2020 18:00,5,0,0,
New South Wales,Australia,2/06/2020 18:00,4,3,0,
Victoria,Australia,2/06/2020 18:00,4,0,0,
Ontario,Canada,2/06/2020 18:00,3,0,0,
,India,2/06/2020 18:00,3,0,0,
,Philippines,2/06/2020 18:00,3,0,1,
,UK,2/06/2020 18:00,3,0,0,
,Italy,2/06/2020 18:00,2,0,0,Chicago
,Russia,2/06/2020 18:00,2,0,0,
Illinois,US,2/06/2020 18:00,2,0,0,
South Australia,Australia,2/06/2020 18:00,2,0,0,
British Columbia,Canada,2/06/2020 18:00,2,0,0,
,Cambodia,2/06/2020 18:00,1,0,0,
,Finland,2/06/2020 18:00,1,1,0,
Tibet,Mainland China,2/06/2020 18:00,1,0,0,
,Nepal,2/06/2020 18:00,1,0,0,
,Spain,2/06/2020 18:00,1,0,0,
,Sri Lanka,2/06/2020 18:00,1,1,0,Boston
,Sweden,2/06/2020 18:00,1,0,0,Seattle
Massachusetts,US,2/06/2020 18:00,1,0,0,Tempe
WA,US,2/06/2020 18:00,1,0,0,
Arizona,US,2/06/2020 18:00,1,0,0,Madison
,Belgium,2/06/2020 18:00,1,0,0,
WI,US,2/06/2020 18:00,1,0,0,
