Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/07/2020 03:00,22112,618,832,
Guangdong,Mainland China,2/07/2020 03:00,1018,1,75,
Zhejiang,Mainland China,2/07/2020 03:00,1006,0,104,
Henan,Mainland China,2/07/2020 03:00,914,3,70,
Hunan,Mainland China,2/07/2020 03:00,772,0,104,
Anhui,Mainland China,2/07/2020 03:00,665,0,47,
Jiangxi,Mainland China,2/07/2020 03:00,661,0,45,
Chongqing,Mainland China,2/07/2020 03:00,411,2,24,
Jiangsu,Mainland China,2/07/2020 03:00,408,0,38,
Shandong,Mainland China,2/07/2020 03:00,386,0,31,
Sichuan,Mainland China,2/07/2020 03:00,344,1,42,
Beijing,Mainland China,2/07/2020 03:00,297,1,33,
Heilongjiang,Mainland China,2/07/2020 03:00,277,3,12,
Shanghai,Mainland China,2/07/2020 03:00,277,1,30,
Fujian,Mainland China,2/07/2020 03:00,224,0,15,
Shaanxi,Mainland China,2/07/2020 03:00,184,0,17,
Guangxi,Mainland China,2/07/2020 03:00,172,0,17,
Hebei,Mainland China,2/07/2020 03:00,171,1,16,
Yunnan,Mainland China,2/07/2020 03:00,136,0,7,
Hainan,Mainland China,2/07/2020 03:00,115,2,8,
Shanxi,Mainland China,2/07/2020 03:00,96,0,12,
Liaoning,Mainland China,2/07/2020 03:00,95,0,7,
Tianjin,Mainland China,2/07/2020 03:00,81,1,2,
Guizhou,Mainland China,2/07/2020 03:00,77,1,6,
Gansu,Mainland China,2/07/2020 03:00,67,0,9,
Jilin,Mainland China,2/07/2020 03:00,65,1,4,
Yokohama,Japan,2/07/2020 03:00,61,0,0,
Inner Mongolia,Mainland China,2/07/2020 03:00,50,0,4,
Ningxia,Mainland China,2/07/2020 03:00,43,0,3,
Xinjiang,Mainland China,2/07/2020 03:00,39,0,0,
,Singapore,2/07/2020 03:00,30,0,1,
,Japan,2/07/2020 03:00,25,0,1,
,Thailand,2/07/2020 03:00,25,0,8,
Hong Kong,Hong Kong,2/07/2020 03:00,24,1,0,
,South Korea,2/07/2020 03:00,24,0,1,
Qinghai,Mainland China,2/07/2020 03:00,18,0,3,
Taiwan,Taiwan,2/07/2020 03:00,16,0,1,
,Malaysia,2/07/2020 03:00,14,0,1,
,Germany,2/07/2020 03:00,13,0,0,
,Vietnam,2/07/2020 03:00,12,0,3,
Macau,Macau,2/07/2020 03:00,10,0,1,
,France,2/07/2020 03:00,6,0,0,
California,US,2/07/2020 03:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
,United Arab Emirates,2/07/2020 03:00,5,0,0,
Queensland,Australia,2/07/2020 03:00,5,0,0,
New South Wales,Australia,2/07/2020 03:00,4,0,3,
Victoria,Australia,2/07/2020 03:00,4,0,0,
British Columbia,Canada,2/07/2020 03:00,4,0,0,
Ontario,Canada,2/07/2020 03:00,3,0,0,
,India,2/07/2020 03:00,3,0,0,
,Philippines,2/07/2020 03:00,3,1,0,
,UK,2/07/2020 03:00,3,0,0,
,Italy,2/07/2020 03:00,3,0,0,
,Russia,2/07/2020 03:00,2,0,0,
Illinois,US,2/07/2020 03:00,2,0,0,Chicago
South Australia,Australia,2/07/2020 03:00,2,0,0,
,Cambodia,2/07/2020 03:00,1,0,0,
,Finland,2/07/2020 03:00,1,0,1,
Tibet,Mainland China,2/07/2020 03:00,1,0,0,
,Nepal,2/07/2020 03:00,1,0,0,
,Spain,2/07/2020 03:00,1,0,0,
,Sri Lanka,2/07/2020 03:00,1,0,1,
,Sweden,2/07/2020 03:00,1,0,0,
Massachusetts,US,2/07/2020 03:00,1,0,0,Boston
WA,US,2/07/2020 03:00,1,0,0,Seattle
Arizona,US,2/07/2020 03:00,1,0,0,Tempe
Brussels,Belgium,2/07/2020 03:00,1,0,0,
WI,US,2/07/2020 03:00,1,0,0,Madison
