Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
1407269,141,35873,31680,597,20485,848868,2020-06-09 22:00:00,2020-06-09,141
1375589,140,35276,32341,609,18349,828383,2020-06-08 22:00:00,2020-06-08,140
1343248,139,34667,35419,726,19924,810034,2020-06-07 22:00:00,2020-06-07,139
1307829,138,33941,31395,640,16406,790110,2020-06-06 22:00:00,2020-06-06,138
1276434,137,33301,32437,609,18151,773704,2020-06-05 22:00:00,2020-06-05,137
1243997,136,32692,33370,589,17867,755553,2020-06-04 22:00:00,2020-06-04,136
1210627,135,32103,30126,578,18409,737686,2020-06-03 22:00:00,2020-06-03,135
1180501,134,31525,28748,523,15274,719277,2020-06-02 22:00:00,2020-06-02,134
1151753,133,31002,27455,536,20598,704003,2020-06-01 22:00:00,2020-06-01,133
1124298,132,30466,29440,564,20773,683405,2020-05-31 22:00:00,2020-05-31,132
1094858,131,29902,27602,524,30006,662632,2020-05-30 22:00:00,2020-05-30,131
1067256,130,29378,28753,503,23200,632626,2020-05-29 22:00:00,2020-05-29,130
1038503,129,28875,22379,442,14087,609426,2020-05-28 22:00:00,2020-05-28,129
1016124,128,28433,23435,454,16571,595339,2020-05-27 22:00:00,2020-05-27,128
992689,127,27979,21989,378,15065,578768,2020-05-26 22:00:00,2020-05-26,127
970700,126,27601,22172,347,12840,563703,2020-05-25 22:00:00,2020-05-25,126
948528,125,27254,24527,386,13483,550863,2020-05-24 22:00:00,2020-05-24,125
924001,124,26868,24784,401,15856,537380,2020-05-23 22:00:00,2020-05-23,124
899217,123,26467,25938,443,16708,521524,2020-05-22 22:00:00,2020-05-22,123
873279,122,26024,21548,361,13840,504816,2020-05-21 22:00:00,2020-05-21,122
851731,121,25663,19376,371,12938,490976,2020-05-20 22:00:00,2020-05-20,121
832355,120,25292,27721,448,17707,478038,2020-05-19 22:00:00,2020-05-19,120
804634,119,24844,16895,332,10307,460331,2020-05-18 22:00:00,2020-05-18,119
787739,118,24512,20909,417,13875,450024,2020-05-17 22:00:00,2020-05-17,118
766830,117,24095,21608,376,15386,436149,2020-05-16 22:00:00,2020-05-16,117
745222,116,23719,15194,314,10153,420763,2020-05-15 22:00:00,2020-05-15,116
730028,115,23405,19215,399,12864,410610,2020-05-14 22:00:00,2020-05-14,115
710813,114,23006,18159,355,11505,397746,2020-05-13 22:00:00,2020-05-13,114
