Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
19,0,0,0,0,0,2,2020-02-09 21:00:00,2020-02-09,0
19,0,0,0,0,2,2,2020-02-08 21:00:00,2020-02-08,0
19,0,0,2,0,0,0,2020-02-07 21:00:00,2020-02-07,0
17,0,0,2,0,0,0,2020-02-06 21:00:00,2020-02-06,0
15,0,0,2,0,0,0,2020-02-05 21:00:00,2020-02-05,0
13,0,0,0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
13,0,0,1,0,0,0,2020-02-03 20:00:00,2020-02-03,0
12,0,0,2,0,0,0,2020-02-02 20:00:00,2020-02-02,0
10,0,0,1,0,0,0,2020-02-01 10:00:00,2020-02-01,0
9,0,0,1,0,0,0,2020-01-31 12:30:00,2020-01-31,0
8,0,0,1,0,0,0,2020-01-30 12:00:00,2020-01-30,0
7,0,0,1,0,0,0,2020-01-29 14:00:00,2020-01-29,0
6,0,0,0,0,0,0,2020-01-28 11:30:00,2020-01-28,0
6,0,0,4,0,0,0,2020-01-27 14:00:00,2020-01-27,0
2,0,0,0,0,0,0,2020-01-26 13:00:00,2020-01-26,0
2,0,0,1,0,0,0,2020-01-25 15:00:00,2020-01-25,0
1,0,0,0,0,0,0,2020-01-24 15:00:00,2020-01-24,0
1,0,0,0,0,0,0,2020-01-23 15:00:00,2020-01-23,0
1,0,0,0,0,0,0,2020-01-22 15:00:00,2020-01-22,0
1,0,0,0,0,0,0,2020-01-21 15:00:00,2020-01-21,0
