Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
New York,US,4/17/2020 16:41,223691,12248,28103,0
New Jersey,US,4/17/2020 16:41,75317,3518,470,0
Massachusetts,US,4/17/2020 16:41,32181,1245,729,0
Michigan,US,4/17/2020 16:41,29263,2093,502,0
Pennsylvania,US,4/17/2020 16:41,28314,848,317,0
California,US,4/17/2020 16:41,28157,973,1473,0
Illinois,US,4/17/2020 16:41,25733,1073,465,0
Florida,US,4/17/2020 16:41,23340,668,174,0
Louisiana,US,4/17/2020 16:41,22532,1156,0,0
Texas,US,4/17/2020 16:41,17263,429,3677,0
Georgia,US,4/17/2020 16:41,16368,617,340,0
Connecticut,US,4/17/2020 16:41,15884,971,63,0
WA,US,4/17/2020 16:41,11285,587,1719,0
Maryland,US,4/17/2020 16:41,10784,392,736,0
Indiana,US,4/17/2020 16:41,9549,480,150,0
Colorado,US,4/17/2020 16:41,8675,374,510,0
Ohio,US,4/17/2020 16:41,8414,391,367,0
Virginia,US,4/17/2020 16:41,6889,208,721,0
Tennessee,US,4/17/2020 16:41,6263,141,2196,0
North Carolina,US,4/17/2020 16:41,5668,155,964,0
Missouri,US,4/17/2020 16:41,5239,175,472,0
Alabama,US,4/17/2020 16:41,4404,137,0,0
Arizona,US,4/17/2020 16:41,4241,150,6,0
South Carolina,US,4/17/2020 16:41,3931,109,0,0
Wisconsin,US,4/17/2020 16:41,3889,197,93,0
Rhode Island,US,4/17/2020 16:41,3838,105,0,0
Mississippi,US,4/17/2020 16:41,3624,129,0,0
Nevada,US,4/17/2020 16:41,3321,142,1531,0
Utah,US,4/17/2020 16:41,2689,21,219,0
Kentucky,US,4/17/2020 16:41,2435,129,956,0
Oklahoma,US,4/17/2020 16:41,2357,131,1060,0
Washington DC,US,4/17/2020 16:41,2350,81,552,0
Iowa,US,4/17/2020 16:41,2141,60,987,0
Delaware,US,4/17/2020 16:41,2075,52,378,0
Minnesota,US,4/17/2020 16:41,1912,95,1020,0
Oregon,US,4/17/2020 16:41,1736,64,42,0
Arkansas,US,4/17/2020 16:41,1620,37,548,0
Kansas,US,4/17/2020 16:41,1617,80,391,0
Idaho,US,4/17/2020 16:41,1609,41,390,0
New Mexico,US,4/17/2020 16:41,1597,44,353,0
South Dakota,US,4/17/2020 16:41,1311,7,373,0
New Hampshire,US,4/17/2020 16:41,1211,34,455,0
Nebraska,US,4/17/2020 16:41,1066,24,0,0
Puerto Rico,US,4/17/2020 16:41,1043,56,0,0
Navajo Nation,US,4/17/2020 16:41,1042,41,0,0
Maine,US,4/17/2020 16:41,796,27,333,0
Vermont,US,4/17/2020 16:41,768,35,0,0
West Virginia,US,4/17/2020 16:41,739,13,223,0
Hawaii,US,4/17/2020 16:41,541,9,374,0
Montana,US,4/17/2020 16:41,415,7,218,0
North Dakota,US,4/17/2020 16:41,393,9,163,0
Alaska,US,4/17/2020 16:41,300,9,106,0
Wyoming,US,4/17/2020 16:41,296,2,164,0
Guam,US,4/17/2020 16:41,135,5,66,0
Grand Princess,US,4/17/2020 16:41,103,3,0,0
US Virgin Islands,US,4/17/2020 16:41,51,1,43,0
Diamond Princess,US,4/17/2020 16:41,49,0,0,0
Quebec,Canada,4/17/2020 16:41,15857,630,2841,0
Ontario,Canada,4/17/2020 16:41,9828,459,4194,0
Alberta,Canada,4/17/2020 16:41,2158,50,914,0
British Columbia,Canada,4/17/2020 16:41,1575,77,983,0
Nova Scotia,Canada,4/17/2020 16:41,579,3,176,0
Saskatchewan,Canada,4/17/2020 16:41,305,4,219,0
Newfoundland and Labrador,Canada,4/17/2020 16:41,252,3,170,0
Manitoba,Canada,4/17/2020 16:41,250,5,121,0
New Brunswick,Canada,4/17/2020 16:41,117,0,80,0
Prince Edward Island,Canada,4/17/2020 16:41,26,0,23,0
Yukon,Canada,4/17/2020 16:41,8,0,6,0
Northwest Territories,Canada,4/17/2020 16:41,5,0,2,0
,US,4/17/2020 16:41,0,0,0,3411394
,Canada,4/17/2020 16:41,0,0,0,487625
,Spain,4/17/2020 16:41,184948,19315,74797,930230
,Italy,4/17/2020 16:41,168941,22170,40164,1178403
,France,4/17/2020 16:41,165027,17920,32812,333807
,Germany,4/17/2020 16:41,137698,4052,81800,1728357
,UK,4/17/2020 16:41,103093,13729,626,417649
,Iran,4/17/2020 16:41,77995,4869,52229,310340
,Turkey,4/17/2020 16:41,74193,1643,7089,518143
Brussels,Belgium,4/17/2020 16:41,34809,4857,7562,134303
,Brazil,4/17/2020 16:41,30891,1952,14026,62985
,Netherlands,4/17/2020 16:41,29214,3315,250,147948
,Russia,4/17/2020 16:41,27938,232,2304,1613413
,Switzerland,4/17/2020 16:41,26732,1281,15900,206400
,Portugal,4/17/2020 16:41,18841,629,493,221049
,Austria,4/17/2020 16:41,14476,410,8986,162816
,India,4/17/2020 16:41,13495,448,1777,302956
,Ireland,4/17/2020 16:41,13271,486,77,90646
,Israel,4/17/2020 16:41,12855,148,2967,187250
,Sweden,4/17/2020 16:41,12540,1333,550,74600
,Peru,4/17/2020 16:41,12491,274,6120,121468
,South Korea,4/17/2020 16:41,10635,230,7829,546463
,Japan,4/17/2020 16:41,9231,190,935,100703
,Chile,4/17/2020 16:41,8807,105,3299,98424
,Ecuador,4/17/2020 16:41,8225,403,838,27868
,Poland,4/17/2020 16:41,7918,314,774,169071
,Romania,4/17/2020 16:41,7707,400,1357,79629
,Pakistan,4/17/2020 16:41,7025,135,1765,84704
,Norway,4/17/2020 16:41,6905,152,32,133707
,Denmark,4/17/2020 16:41,6879,321,3023,82380
,Czechia,4/17/2020 16:41,6433,169,972,146004
,Saudi Arabia,4/17/2020 16:41,6380,83,990,150000
,Mexico,4/17/2020 16:41,6297,486,2125,40091
,United Arab Emirates,4/17/2020 16:41,5825,35,1095,767000
,Philippines,4/17/2020 16:41,5660,362,435,48171
,Indonesia,4/17/2020 16:41,5516,496,548,36000
,Serbia,4/17/2020 16:41,5318,103,443,29472
,Malaysia,4/17/2020 16:41,5182,84,2766,90562
,Ukraine,4/17/2020 16:41,4662,125,246,42823
,Singapore,4/17/2020 16:41,4427,10,683,94796
,Belarus,4/17/2020 16:41,4204,40,203,81246
,Qatar,4/17/2020 16:41,4103,7,415,56381
,Panama,4/17/2020 16:41,4016,109,98,17850
,Dominican Republic,4/17/2020 16:41,3755,196,215,12229
,Luxembourg,4/17/2020 16:41,3444,69,552,31660
,Finland,4/17/2020 16:41,3369,75,1700,49700
,Colombia,4/17/2020 16:41,3233,144,550,52085
,Thailand,4/17/2020 16:41,2700,47,1689,100498
,Egypt,4/17/2020 16:41,2673,196,596,25000
,Argentina,4/17/2020 16:41,2669,122,631,26457
,South Africa,4/17/2020 16:41,2605,48,903,95060
,Morocco,4/17/2020 16:41,2283,130,249,11996
,Algeria,4/17/2020 16:41,2268,348,783,3359
,Greece,4/17/2020 16:41,2207,105,269,50771
,Moldova,4/17/2020 16:41,2154,54,235,9208
,Croatia,4/17/2020 16:41,1791,35,529,20158
,Hungary,4/17/2020 16:41,1763,156,207,41590
,Iceland,4/17/2020 16:41,1739,8,1144,38204
,Bahrain,4/17/2020 16:41,1700,7,703,76630
,Bangladesh,4/17/2020 16:41,1572,60,49,17003
,Kuwait,4/17/2020 16:41,1524,3,225,0
,Kazakhstan,4/17/2020 16:41,1470,17,285,85735
,Iraq,4/17/2020 16:41,1434,80,856,49260
,Estonia,4/17/2020 16:41,1434,36,133,36024
,New Zealand,4/17/2020 16:41,1409,11,816,74401
,Uzbekistan,4/17/2020 16:41,1380,4,129,100000
,Azerbaijan,4/17/2020 16:41,1283,15,460,75397
,Slovenia,4/17/2020 16:41,1268,61,174,38137
,Bosnia and Herzegovina,4/17/2020 16:41,1167,43,277,14743
,Armenia,4/17/2020 16:41,1159,18,358,9632
,Lithuania,4/17/2020 16:41,1149,32,210,53101
,North Macedonia,4/17/2020 16:41,1081,46,121,10422
,Oman,4/17/2020 16:41,1019,5,176,0
Hong Kong,Hong Kong,4/17/2020 16:41,1018,4,485,116273
,Cameroon,4/17/2020 16:41,996,22,164,0
,Slovakia,4/17/2020 16:41,977,8,167,34458
,Cuba,4/17/2020 16:41,862,27,171,21837
,Afghanistan,4/17/2020 16:41,840,30,54,0
,Bulgaria,4/17/2020 16:41,825,40,141,18502
,Tunisia,4/17/2020 16:41,822,37,43,13930
,Cyprus,4/17/2020 16:41,735,12,77,25734
Yokohama,Japan,4/17/2020 16:41,712,13,644,0
,Ivory Coast,4/17/2020 16:41,688,6,193,0
,Andorra,4/17/2020 16:41,682,33,169,1673
,Latvia,4/17/2020 16:41,675,5,57,31302
,Lebanon,4/17/2020 16:41,663,21,86,18115
,Costa Rica,4/17/2020 16:41,642,4,74,9396
,Ghana,4/17/2020 16:41,641,8,83,50719
,Niger,4/17/2020 16:41,609,15,105,4427
,Djibouti,4/17/2020 16:41,591,2,73,6430
,Burkina Faso,4/17/2020 16:41,546,32,257,0
,Albania,4/17/2020 16:41,518,26,277,4827
,Uruguay,4/17/2020 16:41,502,9,286,11239
,Kyrgyzstan,4/17/2020 16:41,489,5,114,26147
,Bolivia,4/17/2020 16:41,465,31,26,2185
,Channel Islands,4/17/2020 16:41,457,19,73,3320
,Honduras,4/17/2020 16:41,442,41,9,2012
,Nigeria,4/17/2020 16:41,442,13,152,5000
,Guinea,4/17/2020 16:41,438,1,49,0
,San Marino,4/17/2020 16:41,426,38,55,846
,Malta,4/17/2020 16:41,412,3,82,21164
,Jordan,4/17/2020 16:41,402,7,259,20500
Taiwan,Taiwan,4/17/2020 16:41,395,6,166,51603
,Reunion,4/17/2020 16:41,394,0,237,0
,Palestine,4/17/2020 16:41,374,2,63,17329
,Georgia,4/17/2020 16:41,370,3,77,5027
,Senegal,4/17/2020 16:41,335,2,194,0
,Mauritius,4/17/2020 16:41,324,9,81,8279
,Montenegro,4/17/2020 16:41,303,4,55,3874
,Isle of Man,4/17/2020 16:41,284,4,154,2261
,Vietnam,4/17/2020 16:41,268,0,194,206253
,DRC,4/17/2020 16:41,267,22,23,0
,Sri Lanka,4/17/2020 16:41,238,7,68,4768
,Kenya,4/17/2020 16:41,234,11,53,9630
,Mayotte,4/17/2020 16:41,233,3,69,1500
,Guatemala,4/17/2020 16:41,214,7,21,7200
,Venezuela,4/17/2020 16:41,204,9,111,268503
,Paraguay,4/17/2020 16:41,199,8,30,4267
,Faeroe Islands,4/17/2020 16:41,184,0,169,5765
,El Salvador,4/17/2020 16:41,177,7,33,9267
,Mali,4/17/2020 16:41,171,13,34,0
,Martinique,4/17/2020 16:41,158,8,73,0
,Guadeloupe,4/17/2020 16:41,145,8,67,0
,Jamaica,4/17/2020 16:41,143,5,21,1424
,Rwanda,4/17/2020 16:41,138,0,60,6237
,Brunei,4/17/2020 16:41,136,1,108,10826
,Gibraltar,4/17/2020 16:41,132,0,105,1760
,Cambodia,4/17/2020 16:41,122,0,98,5768
,Congo,4/17/2020 16:41,117,5,11,0
,Trinidad and Tobago,4/17/2020 16:41,114,8,20,1282
,Madagascar,4/17/2020 16:41,111,0,33,0
,Aruba,4/17/2020 16:41,95,2,39,1237
,Gabon,4/17/2020 16:41,95,1,6,0
,Tanzania,4/17/2020 16:41,94,4,11,0
,Monaco,4/17/2020 16:41,93,3,12,0
,Ethiopia,4/17/2020 16:41,92,3,15,5389
,French Guiana,4/17/2020 16:41,86,0,51,0
,Myanmar,4/17/2020 16:41,85,4,2,3236
,Bermuda,4/17/2020 16:41,81,5,33,527
,Togo,4/17/2020 16:41,81,5,45,3618
,Somalia,4/17/2020 16:41,80,5,2,0
,Liechtenstein,4/17/2020 16:41,79,1,55,900
,Barbados,4/17/2020 16:41,75,5,15,900
,Cayman Islands,4/17/2020 16:41,61,1,7,690
,Liberia,4/17/2020 16:41,59,6,4,0
,Sint Maarten,4/17/2020 16:41,57,9,12,163
,Cabo Verde,4/17/2020 16:41,56,1,1,0
,Guyana,4/17/2020 16:41,55,6,8,213
,French Polynesia,4/17/2020 16:41,55,0,0,920
,Uganda,4/17/2020 16:41,55,0,20,7693
,Bahamas,4/17/2020 16:41,53,8,6,0
,Equatorial Guinea,4/17/2020 16:41,51,0,4,854
,Libya,4/17/2020 16:41,49,1,11,699
,Zambia,4/17/2020 16:41,48,2,30,1696
Macau,Macau,4/17/2020 16:41,45,0,16,0
,Guinea-Bissau,4/17/2020 16:41,43,0,0,1500
,Haiti,4/17/2020 16:41,41,3,0,365
,Saint Martin,4/17/2020 16:41,35,2,13,0
,Benin,4/17/2020 16:41,35,1,18,0
,Eritrea,4/17/2020 16:41,35,0,0,0
,Syria,4/17/2020 16:41,33,2,5,0
,Sudan,4/17/2020 16:41,32,5,4,0
,Mongolia,4/17/2020 16:41,31,0,5,1450
,Mozambique,4/17/2020 16:41,31,0,2,855
,Chad,4/17/2020 16:41,27,0,5,0
,Maldives,4/17/2020 16:41,25,0,16,3432
,Zimbabwe,4/17/2020 16:41,24,3,2,1299
,Antigua and Barbuda,4/17/2020 16:41,23,3,3,73
,Angola,4/17/2020 16:41,19,2,5,0
,Laos,4/17/2020 16:41,19,0,2,1288
,Belize,4/17/2020 16:41,18,2,0,567
,New Caledonia,4/17/2020 16:41,18,0,1,3002
,Timor-Leste,4/17/2020 16:41,18,0,1,0
,Fiji,4/17/2020 16:41,17,0,0,0
,Malawi,4/17/2020 16:41,16,2,0,343
,Eswatini,4/17/2020 16:41,16,1,8,714
,Nepal,4/17/2020 16:41,16,0,2,15800
,Dominica,4/17/2020 16:41,16,0,8,345
,Namibia,4/17/2020 16:41,16,0,4,362
,Botswana,4/17/2020 16:41,15,1,0,3441
,Saint Lucia,4/17/2020 16:41,15,0,11,319
,Sierra Leone,4/17/2020 16:41,15,0,0,0
,Curacao,4/17/2020 16:41,14,1,10,230
,Grenada,4/17/2020 16:41,14,0,0,92
,Saint Kitts and Nevis,4/17/2020 16:41,14,0,0,234
,CAR,4/17/2020 16:41,12,0,4,0
,St. Vincent Grenadines,4/17/2020 16:41,12,0,1,87
,Turks and Caicos,4/17/2020 16:41,11,1,0,83
,Falkland Islands,4/17/2020 16:41,11,0,1,137
,Greenland,4/17/2020 16:41,11,0,11,912
,Montserrat,4/17/2020 16:41,11,0,1,36
,Seychelles,4/17/2020 16:41,11,0,0,0
,Suriname,4/17/2020 16:41,10,1,6,0
,MS Zaandam,4/17/2020 16:41,9,2,0,0
,Gambia,4/17/2020 16:41,9,1,2,281
,Nicaragua,4/17/2020 16:41,9,1,4,0
,Vatican City,4/17/2020 16:41,8,0,2,0
,Mauritania,4/17/2020 16:41,7,1,2,713
,Papua New Guinea,4/17/2020 16:41,7,0,0,167
,St. Barth,4/17/2020 16:41,6,0,4,0
,Western Sahara,4/17/2020 16:41,6,0,0,0
,Burundi,4/17/2020 16:41,5,1,0,0
,Bhutan,4/17/2020 16:41,5,0,2,1166
,British Virgin Islands,4/17/2020 16:41,4,0,2,0
,Sao Tome and Principe,4/17/2020 16:41,4,0,0,19
,South Sudan,4/17/2020 16:41,4,0,0,0
