Confirmed,Country/Region,Deaths,Last Update,Province/State,Recovered
595,Costa Rica,3,,,56
574,Ivory Coast,5,,,85
566,Ghana,8,,,4
529,Niger,12,,,75
497,Burkina Faso,27,,,161
480,Uruguay,7,,,231
446,Albania,23,,,217
431,Channel Islands,9,,,48
393,Honduras,25,,,7
389,Jordan,7,,,201
389,Réunion,0,,,40
388,Taiwan,6,,,109
378,Malta,3,,,44
377,Kyrgyzstan,5,,,54
356,San Marino,35,,,53
324,Mauritius,9,,,42
323,Nigeria,10,,,85
300,Bolivia,24,,,2
290,Palestine,2,,,58
280,Senegal,2,,,171
272,Montenegro,3,,,5
262,Vietnam,0,,,144
257,Georgia,3,,,67
250,Guinea,0,,,17
234,DRC,20,,,16
228,Isle of Man,2,,,112
214,Djibouti,2,,,36
210,Sri Lanka,7,,,56
197,Kenya,8,,,25
196,Mayotte,3,,,59
184,Faeroe Islands,0,,,157
181,Venezuela,9,,,93
155,Martinique,6,,,50
155,Guatemala,5,,,19
143,Guadeloupe,8,,,67
136,Brunei,1,,,106
134,Paraguay,6,,,22
129,Gibraltar,0,,,84
126,Rwanda,0,,,25
125,El Salvador,6,,,21
122,Cambodia,0,,,77
113,Trinidad and Tobago,8,,,16
106,Madagascar,0,,,20
105,Mali,9,,,22
93,Monaco,1,,,6
92,Aruba,0,,,32
86,French Guiana,0,,,51
79,Liechtenstein,1,,,55
76,Togo,3,,,29
72,Jamaica,4,,,16
71,Barbados,4,,,11
71,Ethiopia,3,,,10
60,Congo,5,,,5
57,Bermuda,4,,,29
54,Uganda,0,,,4
53,Cayman Islands,1,,,6
53,French Polynesia,0,,,0
50,Sint Maarten,9,,,5
50,Liberia,5,,,3
49,Gabon,1,,,1
46,Bahamas,8,,,5
45,Guyana,6,,,8
45,Macao,0,,,10
43,Zambia,2,,,30
41,Myanmar,4,,,2
38,Guinea-Bissau,0,,,0
35,Benin,1,,,5
34,Eritrea,0,,,0
33,Haiti,3,,,0
32,Tanzania,3,,,5
32,Saint Martin,2,,,11
25,Syria,2,,,5
25,Libya,1,,,9
25,Somalia,1,,,2
21,Antigua and Barbuda,2,,,0
21,Equatorial Guinea,0,,,3
21,Mozambique,0,,,2
20,Maldives,0,,,14
