Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
New York,US,4/02/2020 07:09,83948,1941,0.0
New Jersey,US,4/02/2020 07:09,22255,355,1.0
Michigan,US,4/02/2020 07:09,9334,337,0.0
California,US,4/02/2020 07:09,8813,187,6.0
Florida,US,4/02/2020 07:09,6955,87,0.0
Massachusetts,US,4/02/2020 07:09,6620,89,1.0
Louisiana,US,4/02/2020 07:09,6424,273,0.0
Pennsylvania,US,4/02/2020 07:09,6009,74,0.0
Illinois,US,4/02/2020 07:09,5998,100,2.0
WA,US,4/02/2020 07:09,5514,226,1.0
Georgia,US,4/02/2020 07:09,4638,139,0.0
Texas,US,4/02/2020 07:09,4080,66,0.0
Connecticut,US,4/02/2020 07:09,3128,69,0.0
Colorado,US,4/02/2020 07:09,2982,69,0.0
Indiana,US,4/02/2020 07:09,2565,65,0.0
Ohio,US,4/02/2020 07:09,2547,65,0.0
Tennessee,US,4/02/2020 07:09,2534,24,0.0
Maryland,US,4/02/2020 07:09,1986,31,3.0
North Carolina,US,4/02/2020 07:09,1657,14,0.0
Missouri,US,4/02/2020 07:09,1581,18,0.0
Wisconsin,US,4/02/2020 07:09,1555,28,1.0
Virginia,US,4/02/2020 07:09,1484,34,0.0
Arizona,US,4/02/2020 07:09,1413,29,1.0
Nevada,US,4/02/2020 07:09,1141,26,0.0
South Carolina,US,4/02/2020 07:09,1083,22,0.0
Mississippi,US,4/02/2020 07:09,1073,22,0.0
Alabama,US,4/02/2020 07:09,1060,27,0.0
Utah,US,4/02/2020 07:09,888,5,0.0
Oklahoma,US,4/02/2020 07:09,721,30,0.0
Oregon,US,4/02/2020 07:09,692,18,0.0
Kentucky,US,4/02/2020 07:09,632,18,1.0
Minnesota,US,4/02/2020 07:09,629,12,0.0
Washington DC,US,4/02/2020 07:09,586,9,0.0
Rhode Island,US,4/02/2020 07:09,566,10,0.0
Arkansas,US,4/02/2020 07:09,564,8,0.0
Iowa,US,4/02/2020 07:09,549,9,0.0
Idaho,US,4/02/2020 07:09,525,9,0.0
Kansas,US,4/02/2020 07:09,485,10,0.0
New Hampshire,US,4/02/2020 07:09,367,3,0.0
Vermont,US,4/02/2020 07:09,321,16,0.0
Delaware,US,4/02/2020 07:09,319,10,0.0
New Mexico,US,4/02/2020 07:09,316,5,0.0
Maine,US,4/02/2020 07:09,303,5,0.0
Puerto Rico,US,4/02/2020 07:09,286,11,1.0
Hawaii,US,4/02/2020 07:09,224,1,0.0
Montana,US,4/02/2020 07:09,208,5,0.0
Nebraska,US,4/02/2020 07:09,177,4,0.0
West Virginia,US,4/02/2020 07:09,162,1,0.0
North Dakota,US,4/02/2020 07:09,142,3,0.0
Alaska,US,4/02/2020 07:09,133,3,0.0
Wyoming,US,4/02/2020 07:09,130,0,0.0
South Dakota,US,4/02/2020 07:09,129,2,0.0
Grand Princess,US,4/02/2020 07:09,103,3,0.0
