Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
New York,US,4/14/2020 10:38,195749,10058,26183
New Jersey,US,4/14/2020 10:38,64584,2443,355
Massachusetts,US,4/14/2020 10:38,26867,844,729
Michigan,US,4/14/2020 10:38,25635,1602,433
Pennsylvania,US,4/14/2020 10:38,24292,589,219
California,US,4/14/2020 10:38,24176,728,1107
Illinois,US,4/14/2020 10:38,22025,798,251
Florida,US,4/14/2020 10:38,21019,499,0
Louisiana,US,4/14/2020 10:38,21016,884,0
Texas,US,4/14/2020 10:38,14583,314,2393
Georgia,US,4/14/2020 10:38,13621,480,340
Connecticut,US,4/14/2020 10:38,13381,602,34
WA,US,4/14/2020 10:38,10838,522,1410
Maryland,US,4/14/2020 10:38,8936,262,594
Indiana,US,4/14/2020 10:38,8368,353,105
Colorado,US,4/14/2020 10:38,7696,308,116
Ohio,US,4/14/2020 10:38,6975,274,12
Virginia,US,4/14/2020 10:38,5747,149,2
Tennessee,US,4/14/2020 10:38,5610,109,1671
North Carolina,US,4/14/2020 10:38,4887,96,325
Missouri,US,4/14/2020 10:38,4515,123,191
Alabama,US,4/14/2020 10:38,3803,103,0
Arizona,US,4/14/2020 10:38,3705,122,3
South Carolina,US,4/14/2020 10:38,3439,87,0
Wisconsin,US,4/14/2020 10:38,3428,154,84
Nevada,US,4/14/2020 10:38,3029,114,1169
Rhode Island,US,4/14/2020 10:38,2976,73,0
Mississippi,US,4/14/2020 10:38,2942,98,0
Utah,US,4/14/2020 10:38,2363,18,218
Oklahoma,US,4/14/2020 10:38,2069,99,409
Kentucky,US,4/14/2020 10:38,2018,113,306
Washington DC,US,4/14/2020 10:38,1955,52,507
Delaware,US,4/14/2020 10:38,1758,41,277
Iowa,US,4/14/2020 10:38,1710,43,674
Minnesota,US,4/14/2020 10:38,1650,70,842
Oregon,US,4/14/2020 10:38,1584,53,0
Arkansas,US,4/14/2020 10:38,1475,30,391
Idaho,US,4/14/2020 10:38,1426,27,0
Kansas,US,4/14/2020 10:38,1390,62,53
New Mexico,US,4/14/2020 10:38,1345,31,235
New Hampshire,US,4/14/2020 10:38,1020,23,249
Puerto Rico,US,4/14/2020 10:38,903,45,0
South Dakota,US,4/14/2020 10:38,868,6,207
Nebraska,US,4/14/2020 10:38,831,17,0
Navajo Nation,US,4/14/2020 10:38,813,28,0
Vermont,US,4/14/2020 10:38,748,28,0
Maine,US,4/14/2020 10:38,698,19,273
West Virginia,US,4/14/2020 10:38,633,9,57
Hawaii,US,4/14/2020 10:38,504,9,310
Montana,US,4/14/2020 10:38,394,7,171
North Dakota,US,4/14/2020 10:38,331,8,127
Alaska,US,4/14/2020 10:38,277,8,66
Wyoming,US,4/14/2020 10:38,275,1,137
Guam,US,4/14/2020 10:38,133,5,58
Grand Princess,US,4/14/2020 10:38,103,3,0
US Virgin Islands,US,4/14/2020 10:38,51,1,43
Diamond Princess,US,4/14/2020 10:38,49,0,0
Quebec,Canada,4/14/2020 10:38,13557,360,1982
Ontario,Canada,4/14/2020 10:38,7470,291,3357
Alberta,Canada,4/14/2020 10:38,1732,46,877
British Columbia,Canada,4/14/2020 10:38,1490,69,926
Nova Scotia,Canada,4/14/2020 10:38,474,3,101
Saskatchewan,Canada,4/14/2020 10:38,300,4,178
Manitoba,Canada,4/14/2020 10:38,246,4,99
Newfoundland and Labrador,Canada,4/14/2020 10:38,244,3,133
New Brunswick,Canada,4/14/2020 10:38,116,0,74
Prince Edward Island,Canada,4/14/2020 10:38,25,0,23
Yukon,Canada,4/14/2020 10:38,8,0,6
Northwest Territories,Canada,4/14/2020 10:38,5,0,2
,Spain,4/14/2020 10:38,170099,17756,64727
,Italy,4/14/2020 10:38,159516,20465,35435
,France,4/14/2020 10:38,136779,14967,27718
,Germany,4/14/2020 10:38,130072,3194,64300
,UK,4/14/2020 10:38,88621,11329,344
,Iran,4/14/2020 10:38,73303,4585,45983
,Turkey,4/14/2020 10:38,61049,1296,3957
Brussels,Belgium,4/14/2020 10:38,30589,3903,6707
,Netherlands,4/14/2020 10:38,26551,2823,250
,Switzerland,4/14/2020 10:38,25688,1138,13700
,Brazil,4/14/2020 10:38,23430,1328,173
,Russia,4/14/2020 10:38,18328,148,1470
,Portugal,4/14/2020 10:38,16934,535,277
,Austria,4/14/2020 10:38,14041,368,7343
,Israel,4/14/2020 10:38,11586,116,1855
,Sweden,4/14/2020 10:38,10948,919,381
,Ireland,4/14/2020 10:38,10647,365,25
,South Korea,4/14/2020 10:38,10537,217,7447
,India,4/14/2020 10:38,10453,358,1181
,Peru,4/14/2020 10:38,9784,216,2642
,Japan,4/14/2020 10:38,7618,143,799
,Ecuador,4/14/2020 10:38,7529,355,597
,Chile,4/14/2020 10:38,7525,82,2367
,Poland,4/14/2020 10:38,6934,245,487
,Romania,4/14/2020 10:38,6633,331,914
,Norway,4/14/2020 10:38,6603,134,32
,Denmark,4/14/2020 10:38,6318,285,2235
,Czechia,4/14/2020 10:38,6059,143,519
,Pakistan,4/14/2020 10:38,5496,93,1095
,Saudi Arabia,4/14/2020 10:38,4934,65,805
,Philippines,4/14/2020 10:38,4932,315,242
,Malaysia,4/14/2020 10:38,4817,77,2276
,Mexico,4/14/2020 10:38,4661,296,1843
,Indonesia,4/14/2020 10:38,4557,399,380
,United Arab Emirates,4/14/2020 10:38,4521,25,852
,Serbia,4/14/2020 10:38,4054,85,400
,Panama,4/14/2020 10:38,3472,94,61
,Luxembourg,4/14/2020 10:38,3292,69,500
,Qatar,4/14/2020 10:38,3231,7,334
,Dominican Republic,4/14/2020 10:38,3167,177,152
,Ukraine,4/14/2020 10:38,3102,93,97
,Finland,4/14/2020 10:38,3064,59,300
,Belarus,4/14/2020 10:38,2919,29,203
,Singapore,4/14/2020 10:38,2918,9,586
,Colombia,4/14/2020 10:38,2852,112,319
,Thailand,4/14/2020 10:38,2579,40,1288
,Argentina,4/14/2020 10:38,2277,98,515
,South Africa,4/14/2020 10:38,2272,27,410
,Egypt,4/14/2020 10:38,2190,164,589
,Greece,4/14/2020 10:38,2145,99,269
,Algeria,4/14/2020 10:38,1983,313,601
,Morocco,4/14/2020 10:38,1763,126,203
,Moldova,4/14/2020 10:38,1712,35,107
,Iceland,4/14/2020 10:38,1711,8,933
,Croatia,4/14/2020 10:38,1650,25,400
,Hungary,4/14/2020 10:38,1458,109,120
,Iraq,4/14/2020 10:38,1378,78,717
,Bahrain,4/14/2020 10:38,1361,6,591
,New Zealand,4/14/2020 10:38,1349,5,546
,Estonia,4/14/2020 10:38,1332,28,102
,Kuwait,4/14/2020 10:38,1300,2,150
,Slovenia,4/14/2020 10:38,1212,55,152
,Azerbaijan,4/14/2020 10:38,1148,12,289
,Kazakhstan,4/14/2020 10:38,1091,12,138
,Lithuania,4/14/2020 10:38,1062,24,101
,Armenia,4/14/2020 10:38,1039,14,211
,Bosnia and Herzegovina,4/14/2020 10:38,1037,39,206
