Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
New York,US,4/21/2020 08:28,253060,18780,29459,0,0
New Jersey,US,4/21/2020 08:28,88722,4496,730,0,0
Massachusetts,US,4/21/2020 08:28,38077,1706,1299,0,0
Pennsylvania,US,4/21/2020 08:28,33914,1348,466,0,0
California,US,4/21/2020 08:28,33404,1205,3053,0,0
Michigan,US,4/21/2020 08:28,32000,2468,3237,0,0
Illinois,US,4/21/2020 08:28,31513,1349,606,0,0
Florida,US,4/21/2020 08:28,27059,821,174,0,0
Louisiana,US,4/21/2020 08:28,24523,1328,0,0,0
Connecticut,US,4/21/2020 08:28,19815,1331,63,0,0
Texas,US,4/21/2020 08:28,19751,507,5706,0,0
Georgia,US,4/21/2020 08:28,18947,733,340,0,0
Maryland,US,4/21/2020 08:28,13684,516,914,0,0
Ohio,US,4/21/2020 08:28,12919,509,448,0,0
WA,US,4/21/2020 08:28,12114,643,1782,0,0
Indiana,US,4/21/2020 08:28,11686,569,1557,0,0
Colorado,US,4/21/2020 08:28,9730,422,559,0,0
Virginia,US,4/21/2020 08:28,8990,300,721,0,0
Tennessee,US,4/21/2020 08:28,7238,152,3575,0,0
North Carolina,US,4/21/2020 08:28,6869,216,1181,0,0
Missouri,US,4/21/2020 08:28,5890,200,547,0,0
Rhode Island,US,4/21/2020 08:28,5090,155,0,0,0
Arizona,US,4/21/2020 08:28,5068,191,6,0,0
Alabama,US,4/21/2020 08:28,5058,169,0,0,0
Mississippi,US,4/21/2020 08:28,4512,169,0,0,0
Wisconsin,US,4/21/2020 08:28,4499,230,196,0,0
South Carolina,US,4/21/2020 08:28,4446,123,0,0,0
Nevada,US,4/21/2020 08:28,3830,159,1957,0,0
Utah,US,4/21/2020 08:28,3213,28,218,0,0
Iowa,US,4/21/2020 08:28,3159,79,1171,0,0
Kentucky,US,4/21/2020 08:28,3050,154,1174,0,0
Washington DC,US,4/21/2020 08:28,2927,105,630,0,0
Delaware,US,4/21/2020 08:28,2745,72,495,0,0
Oklahoma,US,4/21/2020 08:28,2680,143,1614,0,0
Minnesota,US,4/21/2020 08:28,2470,143,1160,0,0
Kansas,US,4/21/2020 08:28,2045,102,444,0,0
New Mexico,US,4/21/2020 08:28,1971,57,465,0,0
Oregon,US,4/21/2020 08:28,1957,75,42,0,0
Arkansas,US,4/21/2020 08:28,1923,41,726,0,0
South Dakota,US,4/21/2020 08:28,1685,7,709,0,0
Idaho,US,4/21/2020 08:28,1672,45,520,0,0
Nebraska,US,4/21/2020 08:28,1511,28,0,0,0
New Hampshire,US,4/21/2020 08:28,1392,41,513,0,0
Puerto Rico,US,4/21/2020 08:28,1252,63,0,0,0
Navajo Nation,US,4/21/2020 08:28,1197,44,0,0,0
West Virginia,US,4/21/2020 08:28,902,24,265,0,0
Maine,US,4/21/2020 08:28,875,35,393,0,0
Vermont,US,4/21/2020 08:28,816,38,0,0,0
North Dakota,US,4/21/2020 08:28,627,13,189,0,0
Hawaii,US,4/21/2020 08:28,584,10,414,0,0
Montana,US,4/21/2020 08:28,433,10,243,0,0
Alaska,US,4/21/2020 08:28,321,9,153,0,0
Wyoming,US,4/21/2020 08:28,317,2,233,0,0
Guam,US,4/21/2020 08:28,136,5,97,0,0
Grand Princess,US,4/21/2020 08:28,103,3,0,0,0
US Virgin Islands,US,4/21/2020 08:28,53,3,46,0,0
Diamond Princess,US,4/21/2020 08:28,49,0,0,0,0
Quebec,Canada,4/21/2020 08:28,19319,939,3847,0,0
Ontario,Canada,4/21/2020 08:28,12063,624,5515,0,0
Alberta,Canada,4/21/2020 08:28,2908,59,1230,0,0
British Columbia,Canada,4/21/2020 08:28,1647,82,996,0,0
Nova Scotia,Canada,4/21/2020 08:28,721,9,248,0,0
Saskatchewan,Canada,4/21/2020 08:28,316,4,238,0,0
Newfoundland and Labrador,Canada,4/21/2020 08:28,257,3,191,0,0
Manitoba,Canada,4/21/2020 08:28,254,6,144,0,0
New Brunswick,Canada,4/21/2020 08:28,118,0,98,0,0
Prince Edward Island,Canada,4/21/2020 08:28,26,0,23,0,0
Yukon,Canada,4/21/2020 08:28,9,0,8,0,0
Northwest Territories,Canada,4/21/2020 08:28,5,0,5,0,0
,US,4/21/2020 08:28,0,0,0,3997013,13634
,Canada,4/21/2020 08:28,0,0,0,549349,557
,Spain,4/21/2020 08:28,200210,20852,80587,930230,7371
,Italy,4/21/2020 08:28,181228,24114,48877,1398024,2573
,France,4/21/2020 08:28,155383,20265,37409,463662,5683
,Germany,4/21/2020 08:28,146653,4706,91500,1728357,2889
,UK,4/21/2020 08:28,124743,16509,626,501379,1559
,Turkey,4/21/2020 08:28,90980,2140,13430,673980,1909
,Iran,4/21/2020 08:28,83505,5209,59273,353012,3389
,Russia,4/21/2020 08:28,47121,405,3446,2053319,700
,Brazil,4/21/2020 08:28,40581,2575,22130,62985,7919
Brussels,Belgium,4/21/2020 08:28,39983,5828,8895,161896,1071
,Netherlands,4/21/2020 08:28,33405,3751,250,171415,1158
,Switzerland,4/21/2020 08:28,27944,1429,18600,224442,386
,Portugal,4/21/2020 08:28,20863,735,610,235878,215
,India,4/21/2020 08:28,18539,592,3273,401586,0
,Peru,4/21/2020 08:28,16325,445,6968,148011,385
,Ireland,4/21/2020 08:28,15652,687,77,90646,294
,Austria,4/21/2020 08:28,14795,470,10631,182949,194
,Sweden,4/21/2020 08:28,14777,1580,550,74600,521
,Israel,4/21/2020 08:28,13713,177,4049,240303,149
,Japan,4/21/2020 08:28,10797,236,1159,112816,217
,South Korea,4/21/2020 08:28,10674,236,8114,563035,55
,Chile,4/21/2020 08:28,10507,139,4676,118827,377
,Saudi Arabia,4/21/2020 08:28,10484,103,1490,180000,88
,Ecuador,4/21/2020 08:28,10128,507,1150,32453,124
,Poland,4/21/2020 08:28,9593,380,1133,214236,160
,Romania,4/21/2020 08:28,8936,478,2017,98491,261
,Pakistan,4/21/2020 08:28,8418,176,1970,104302,46
