Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
,Qatar,4/18/2020 07:21,4663,7,464,58328
,Ukraine,4/18/2020 07:21,4662,125,246,47096
,Dominican Republic,4/18/2020 07:21,4126,200,268,13282
,Panama,4/18/2020 07:21,4016,109,98,17850
,Finland,4/18/2020 07:21,3489,82,1700,52500
,Luxembourg,4/18/2020 07:21,3480,72,579,32394
,Colombia,4/18/2020 07:21,3233,144,550,52085
,Egypt,4/18/2020 07:21,2844,205,646,25000
,South Africa,4/18/2020 07:21,2783,50,903,100827
,Thailand,4/18/2020 07:21,2700,47,1689,100498
,Argentina,4/18/2020 07:21,2669,123,666,28650
,Morocco,4/18/2020 07:21,2564,135,281,12952
,Algeria,4/18/2020 07:21,2418,364,846,3359
,Moldova,4/18/2020 07:21,2264,56,276,9848
,Greece,4/18/2020 07:21,2224,108,269,50771
,Bangladesh,4/18/2020 07:21,1838,75,58,19193
,Croatia,4/18/2020 07:21,1814,36,600,20953
,Hungary,4/18/2020 07:21,1763,156,207,41590
,Iceland,4/18/2020 07:21,1754,9,1224,39536
,Bahrain,4/18/2020 07:21,1740,7,725,79564
,Kuwait,4/18/2020 07:21,1658,5,258,0
,Kazakhstan,4/18/2020 07:21,1546,17,347,85735
,Iraq,4/18/2020 07:21,1482,81,906,51737
,Estonia,4/18/2020 07:21,1459,38,145,37594
,New Zealand,4/18/2020 07:21,1409,11,816,74401
,Uzbekistan,4/18/2020 07:21,1405,4,156,136000
,Azerbaijan,4/18/2020 07:21,1340,15,528,86607
,Slovenia,4/18/2020 07:21,1304,66,174,39330
,Bosnia and Herzegovina,4/18/2020 07:21,1214,46,320,15751
,Armenia,4/18/2020 07:21,1201,19,402,10793
,Lithuania,4/18/2020 07:21,1149,33,210,53101
,North Macedonia,4/18/2020 07:21,1117,49,139,10859
,Oman,4/18/2020 07:21,1069,6,176,0
,Slovakia,4/18/2020 07:21,1049,9,175,37732
Hong Kong,Hong Kong,4/18/2020 07:21,1022,4,533,131786
,Cameroon,4/18/2020 07:21,996,22,164,0
,Cuba,4/18/2020 07:21,923,31,192,23317
,Afghanistan,4/18/2020 07:21,906,30,99,0
,Bulgaria,4/18/2020 07:21,846,41,141,18502
,Tunisia,4/18/2020 07:21,822,37,43,13930
,Cyprus,4/18/2020 07:21,750,12,77,29075
,Djibouti,4/18/2020 07:21,732,2,76,7486
Yokohama,Japan,4/18/2020 07:21,712,13,644,0
,Andorra,4/18/2020 07:21,696,35,191,1673
,Ivory Coast,4/18/2020 07:21,688,6,193,0
,Latvia,4/18/2020 07:21,682,5,88,32837
,Lebanon,4/18/2020 07:21,668,21,86,19185
,Costa Rica,4/18/2020 07:21,649,4,88,9752
,Ghana,4/18/2020 07:21,641,8,83,50719
,Niger,4/18/2020 07:21,627,18,110,4688
,Burkina Faso,4/18/2020 07:21,546,32,257,0
,Albania,4/18/2020 07:21,539,26,283,5080
,Uruguay,4/18/2020 07:21,502,9,286,11239
,Kyrgyzstan,4/18/2020 07:21,489,5,114,26147
,Guinea,4/18/2020 07:21,477,3,59,0
,Channel Islands,4/18/2020 07:21,470,20,73,3320
,Bolivia,4/18/2020 07:21,465,31,26,2185
,Honduras,4/18/2020 07:21,442,41,10,2012
,Nigeria,4/18/2020 07:21,442,13,152,6649
,San Marino,4/18/2020 07:21,435,39,57,846
,Malta,4/18/2020 07:21,422,3,91,21164
,Jordan,4/18/2020 07:21,407,7,265,20500
,Palestine,4/18/2020 07:21,402,2,69,17329
,Reunion,4/18/2020 07:21,402,0,237,0
Taiwan,Taiwan,4/18/2020 07:21,395,6,166,51603
,Georgia,4/18/2020 07:21,370,3,79,5027
,Senegal,4/18/2020 07:21,342,2,198,0
,Mauritius,4/18/2020 07:21,324,9,108,9755
,Montenegro,4/18/2020 07:21,303,5,55,3874
,Isle of Man,4/18/2020 07:21,291,4,169,2375
,DRC,4/18/2020 07:21,287,23,25,0
,Vietnam,4/18/2020 07:21,268,0,198,206253
,Kenya,4/18/2020 07:21,246,11,53,10784
,Mayotte,4/18/2020 07:21,245,4,117,1700
,Sri Lanka,4/18/2020 07:21,244,7,77,4768
,Guatemala,4/18/2020 07:21,214,7,21,7200
,Venezuela,4/18/2020 07:21,204,9,111,268503
,Paraguay,4/18/2020 07:21,199,8,30,4612
