Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
New York,US,4/17/2020 14:45,223691,12248,28103,0
New Jersey,US,4/17/2020 14:45,75317,3518,470,0
Massachusetts,US,4/17/2020 14:45,32181,1245,729,0
Michigan,US,4/17/2020 14:45,29263,2093,502,0
Pennsylvania,US,4/17/2020 14:45,28314,848,317,0
California,US,4/17/2020 14:45,28157,973,1473,0
Illinois,US,4/17/2020 14:45,25733,1073,465,0
Florida,US,4/17/2020 14:45,23340,668,174,0
Louisiana,US,4/17/2020 14:45,22532,1156,0,0
Texas,US,4/17/2020 14:45,17263,429,3677,0
Georgia,US,4/17/2020 14:45,16368,617,340,0
Connecticut,US,4/17/2020 14:45,15884,971,63,0
WA,US,4/17/2020 14:45,11285,587,1719,0
Maryland,US,4/17/2020 14:45,10784,392,736,0
Indiana,US,4/17/2020 14:45,9549,480,150,0
Colorado,US,4/17/2020 14:45,8675,374,510,0
Ohio,US,4/17/2020 14:45,8414,391,367,0
Virginia,US,4/17/2020 14:45,6889,208,721,0
Tennessee,US,4/17/2020 14:45,6263,141,2196,0
North Carolina,US,4/17/2020 14:45,5668,155,964,0
Missouri,US,4/17/2020 14:45,5239,175,472,0
Alabama,US,4/17/2020 14:45,4404,137,0,0
Arizona,US,4/17/2020 14:45,4241,150,6,0
South Carolina,US,4/17/2020 14:45,3931,109,0,0
Wisconsin,US,4/17/2020 14:45,3889,197,93,0
Rhode Island,US,4/17/2020 14:45,3838,105,0,0
Mississippi,US,4/17/2020 14:45,3624,129,0,0
Nevada,US,4/17/2020 14:45,3321,142,1531,0
Utah,US,4/17/2020 14:45,2689,21,219,0
Kentucky,US,4/17/2020 14:45,2435,129,956,0
Oklahoma,US,4/17/2020 14:45,2357,131,1060,0
Washington DC,US,4/17/2020 14:45,2350,81,552,0
Iowa,US,4/17/2020 14:45,2141,60,987,0
Delaware,US,4/17/2020 14:45,2075,52,378,0
Minnesota,US,4/17/2020 14:45,1912,95,1020,0
Oregon,US,4/17/2020 14:45,1736,64,42,0
Arkansas,US,4/17/2020 14:45,1620,37,548,0
Kansas,US,4/17/2020 14:45,1617,80,391,0
Idaho,US,4/17/2020 14:45,1609,41,390,0
New Mexico,US,4/17/2020 14:45,1597,44,353,0
South Dakota,US,4/17/2020 14:45,1311,7,373,0
New Hampshire,US,4/17/2020 14:45,1211,34,455,0
Nebraska,US,4/17/2020 14:45,1066,24,0,0
Puerto Rico,US,4/17/2020 14:45,1043,56,0,0
Navajo Nation,US,4/17/2020 14:45,1042,41,0,0
Maine,US,4/17/2020 14:45,796,27,333,0
Vermont,US,4/17/2020 14:45,768,35,0,0
West Virginia,US,4/17/2020 14:45,739,13,223,0
Hawaii,US,4/17/2020 14:45,541,9,374,0
Montana,US,4/17/2020 14:45,415,7,218,0
North Dakota,US,4/17/2020 14:45,393,9,163,0
Alaska,US,4/17/2020 14:45,300,9,106,0
Wyoming,US,4/17/2020 14:45,296,2,164,0
Guam,US,4/17/2020 14:45,135,5,66,0
Grand Princess,US,4/17/2020 14:45,103,3,0,0
US Virgin Islands,US,4/17/2020 14:45,51,1,43,0
Diamond Princess,US,4/17/2020 14:45,49,0,0,0
Quebec,Canada,4/17/2020 14:45,15857,630,2841,0
Ontario,Canada,4/17/2020 14:45,9828,459,4194,0
Alberta,Canada,4/17/2020 14:45,2158,50,914,0
British Columbia,Canada,4/17/2020 14:45,1575,77,983,0
Nova Scotia,Canada,4/17/2020 14:45,579,3,176,0
Saskatchewan,Canada,4/17/2020 14:45,305,4,219,0
Newfoundland and Labrador,Canada,4/17/2020 14:45,252,3,170,0
Manitoba,Canada,4/17/2020 14:45,250,5,121,0
New Brunswick,Canada,4/17/2020 14:45,117,0,80,0
Prince Edward Island,Canada,4/17/2020 14:45,26,0,23,0
Yukon,Canada,4/17/2020 14:45,8,0,6,0
Northwest Territories,Canada,4/17/2020 14:45,5,0,2,0
,US,4/17/2020 14:45,0,0,0,3411394
,Canada,4/17/2020 14:45,0,0,0,487625
,Spain,4/17/2020 14:45,184948,19315,74797,930230
,Italy,4/17/2020 14:45,168941,22170,40164,1178403
,France,4/17/2020 14:45,165027,17920,32812,333807
,Germany,4/17/2020 14:45,137698,4052,77000,1728357
,UK,4/17/2020 14:45,103093,13729,626,417649
,Iran,4/17/2020 14:45,77995,4869,52229,310340
,Turkey,4/17/2020 14:45,74193,1643,7089,518143
Brussels,Belgium,4/17/2020 14:45,34809,4857,7562,134303
,Brazil,4/17/2020 14:45,30683,1947,14026,62985
,Netherlands,4/17/2020 14:45,29214,3315,250,147948
,Russia,4/17/2020 14:45,27938,232,2304,1613413
,Switzerland,4/17/2020 14:45,26732,1281,15900,206400
,Portugal,4/17/2020 14:45,18841,629,493,221049
,Austria,4/17/2020 14:45,14476,410,8986,162816
,India,4/17/2020 14:45,13430,448,1768,302956
,Ireland,4/17/2020 14:45,13271,486,77,90646
,Israel,4/17/2020 14:45,12758,142,2818,187250
,Sweden,4/17/2020 14:45,12540,1333,550,74600
,Peru,4/17/2020 14:45,12491,274,6120,121468
,South Korea,4/17/2020 14:45,10635,230,7829,546463
,Japan,4/17/2020 14:45,9231,190,935,100703
,Chile,4/17/2020 14:45,8807,105,3299,98424
