Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
,Norway,4/23/2020 08:44,7275,187,32,148656,54
,Qatar,4/23/2020 08:44,7141,10,689,70012,37
,Serbia,4/23/2020 08:44,7114,134,1025,48636,101
,Czechia,4/23/2020 08:44,7087,208,1989,186918,80
,Philippines,4/23/2020 08:44,6710,446,693,68532,1
,Ukraine,4/23/2020 08:44,6592,174,424,67520,45
,Malaysia,4/23/2020 08:44,5532,93,3452,113755,43
,Dominican Republic,4/23/2020 08:44,5300,260,581,18261,135
,Panama,4/23/2020 08:44,4821,141,231,21902,94
,Colombia,4/23/2020 08:44,4356,206,870,68428,98
,Finland,4/23/2020 08:44,4129,149,2000,68552,63
,Bangladesh,4/23/2020 08:44,3772,120,92,32630,1
,Egypt,4/23/2020 08:44,3659,276,935,55000,0
,Luxembourg,4/23/2020 08:44,3654,80,711,36087,32
,South Africa,4/23/2020 08:44,3635,65,1055,133774,36
,Morocco,4/23/2020 08:44,3446,149,417,19885,1
,Argentina,4/23/2020 08:44,3144,152,872,39228,123
,Algeria,4/23/2020 08:44,2910,402,1204,6500,40
,Thailand,4/23/2020 08:44,2826,49,2352,142589,61
,Moldova,4/23/2020 08:44,2778,75,560,11763,212
,Greece,4/23/2020 08:44,2408,121,577,56944,55
,Kuwait,4/23/2020 08:44,2248,13,443,0,50
,Hungary,4/23/2020 08:44,2168,225,295,52702,82
,Kazakhstan,4/23/2020 08:44,2135,19,515,139207,32
,Bahrain,4/23/2020 08:44,2027,7,1026,97796,2
,Croatia,4/23/2020 08:44,1950,48,869,27614,19
,Iceland,4/23/2020 08:44,1785,10,1462,44468,5
,Uzbekistan,4/23/2020 08:44,1716,7,450,150000,8
,Iraq,4/23/2020 08:44,1631,83,1146,62880,0
,Oman,4/23/2020 08:44,1614,8,238,0,3
,Estonia,4/23/2020 08:44,1559,44,184,43637,7
,Azerbaijan,4/23/2020 08:44,1518,20,907,108221,14
,Armenia,4/23/2020 08:44,1473,24,633,14966,30
