Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
New York,US,4/23/2020 16:40,263754,20248,29831,0,0
New Jersey,US,4/23/2020 16:40,95914,5150,730,0,0
Massachusetts,US,4/23/2020 16:40,42944,2182,1299,0,0
California,US,4/23/2020 16:40,37701,1439,3580,0,0
Pennsylvania,US,4/23/2020 16:40,36212,1673,586,0,0
Illinois,US,4/23/2020 16:40,35109,1565,645,0,0
Michigan,US,4/23/2020 16:40,33966,2813,3272,0,0
Florida,US,4/23/2020 16:40,28586,927,174,0,0
Louisiana,US,4/23/2020 16:40,25258,1473,0,0,0
Connecticut,US,4/23/2020 16:40,22469,1544,63,0,0
Texas,US,4/23/2020 16:40,21774,569,7359,0,0
Georgia,US,4/23/2020 16:40,21102,846,340,0,0
Maryland,US,4/23/2020 16:40,14775,698,981,0,0
Ohio,US,4/23/2020 16:40,14117,610,448,0,0
WA,US,4/23/2020 16:40,12865,695,1798,0,0
Indiana,US,4/23/2020 16:40,12438,666,1559,0,0
Colorado,US,4/23/2020 16:40,10891,508,559,0,0
Virginia,US,4/23/2020 16:40,10266,349,721,0,0
Tennessee,US,4/23/2020 16:40,7842,166,4012,0,0
North Carolina,US,4/23/2020 16:40,7545,267,1302,0,0
Missouri,US,4/23/2020 16:40,6306,242,1257,0,0
Rhode Island,US,4/23/2020 16:40,5841,181,0,0,0
Alabama,US,4/23/2020 16:40,5610,201,0,0,0
Arizona,US,4/23/2020 16:40,5473,231,6,0,0
Mississippi,US,4/23/2020 16:40,4894,193,0,0,0
Wisconsin,US,4/23/2020 16:40,4845,248,196,0,0
South Carolina,US,4/23/2020 16:40,4761,140,0,0,0
Nevada,US,4/23/2020 16:40,4081,187,2209,0,0
Iowa,US,4/23/2020 16:40,3748,90,1171,0,0
Utah,US,4/23/2020 16:40,3445,34,218,0,0
Kentucky,US,4/23/2020 16:40,3373,185,1174,0,0
Washington DC,US,4/23/2020 16:40,3206,127,645,0,0
Delaware,US,4/23/2020 16:40,3200,89,599,0,0
Oklahoma,US,4/23/2020 16:40,2894,170,1774,0,0
Minnesota,US,4/23/2020 16:40,2722,179,1160,0,0
Kansas,US,4/23/2020 16:40,2418,112,444,0,0
Arkansas,US,4/23/2020 16:40,2392,44,726,0,0
New Mexico,US,4/23/2020 16:40,2210,71,529,0,0
Oregon,US,4/23/2020 16:40,2059,78,595,0,0
South Dakota,US,4/23/2020 16:40,1858,9,937,0,0
Nebraska,US,4/23/2020 16:40,1813,38,0,0,0
Idaho,US,4/23/2020 16:40,1802,54,767,0,0
New Hampshire,US,4/23/2020 16:40,1588,48,550,0,0
Puerto Rico,US,4/23/2020 16:40,1378,67,0,0,0
Navajo Nation,US,4/23/2020 16:40,1366,45,0,0,0
West Virginia,US,4/23/2020 16:40,963,29,360,0,0
Maine,US,4/23/2020 16:40,907,39,455,0,0
Vermont,US,4/23/2020 16:40,823,40,0,0,0
North Dakota,US,4/23/2020 16:40,679,14,229,0,0
Hawaii,US,4/23/2020 16:40,592,12,444,0,0
Wyoming,US,4/23/2020 16:40,447,6,290,0,0
Montana,US,4/23/2020 16:40,439,14,296,0,0
Alaska,US,4/23/2020 16:40,335,9,168,0,0
Guam,US,4/23/2020 16:40,136,5,97,0,0
Grand Princess,US,4/23/2020 16:40,103,3,0,0,0
US Virgin Islands,US,4/23/2020 16:40,54,3,48,0,0
Diamond Princess,US,4/23/2020 16:40,49,0,0,0,0
Quebec,Canada,4/23/2020 16:40,20965,1134,4291,0,0
Ontario,Canada,4/23/2020 16:40,13718,762,6689,0,0
Alberta,Canada,4/23/2020 16:40,3401,66,1310,0,0
British Columbia,Canada,4/23/2020 16:40,1795,93,1115,0,0
Nova Scotia,Canada,4/23/2020 16:40,772,12,330,0,0
Saskatchewan,Canada,4/23/2020 16:40,326,4,261,0,0
Manitoba,Canada,4/23/2020 16:40,257,6,154,0,0
Newfoundland and Labrador,Canada,4/23/2020 16:40,256,3,199,0,0
New Brunswick,Canada,4/23/2020 16:40,118,0,104,0,0
Prince Edward Island,Canada,4/23/2020 16:40,26,0,24,0,0
Yukon,Canada,4/23/2020 16:40,11,0,8,0,0
Northwest Territories,Canada,4/23/2020 16:40,5,0,5,0,0
,US,4/23/2020 16:40,0,0,0,4326648,14016
,Canada,4/23/2020 16:40,0,0,0,612192,557
,Spain,4/23/2020 16:40,208389,21717,85915,930230,7705
,Italy,4/23/2020 16:40,187327,25085,54543,1513251,2384
,France,4/23/2020 16:40,159877,21340,40657,463662,5218
,Germany,4/23/2020 16:40,150648,5315,103300,2072669,2908
,UK,4/23/2020 16:40,133495,18100,626,559935,1559
,Turkey,4/23/2020 16:40,98674,2376,16477,750944,1814
,Iran,4/23/2020 16:40,85996,5391,63113,377396,3311
,Russia,4/23/2020 16:40,57999,513,4420,2250000,2300
,Brazil,4/23/2020 16:40,46182,2924,25318,291922,8318
Brussels,Belgium,4/23/2020 16:40,41889,6262,9433,171400,1020
,Netherlands,4/23/2020 16:40,34842,4054,322,171415,1050
,Switzerland,4/23/2020 16:40,28268,1509,19900,227554,386
,Portugal,4/23/2020 16:40,21982,785,1143,284741,207
,India,4/23/2020 16:40,21797,681,4376,500542,0
,Peru,4/23/2020 16:40,19250,530,7027,170400,396
,Ireland,4/23/2020 16:40,16671,769,9233,111584,147
,Sweden,4/23/2020 16:40,16004,1937,550,94500,515
,Austria,4/23/2020 16:40,14925,510,11328,201794,176
,Israel,4/23/2020 16:40,14592,191,5334,240303,136
,Saudi Arabia,4/23/2020 16:40,12772,114,1812,200000,82
,Japan,4/23/2020 16:40,11950,299,1424,130587,241
,Chile,4/23/2020 16:40,11296,160,5386,128722,399
,Ecuador,4/23/2020 16:40,10850,537,1262,34840,141
,South Korea,4/23/2020 16:40,10702,240,8411,583971,55
,Mexico,4/23/2020 16:40,10544,970,2627,49570,378
,Pakistan,4/23/2020 16:40,10513,224,2337,124549,60
,Poland,4/23/2020 16:40,10169,426,1513,238799,160
,Singapore,4/23/2020 16:40,10141,12,896,94796,27
,Romania,4/23/2020 16:40,9710,524,2406,106357,288
,United Arab Emirates,4/23/2020 16:40,8238,52,1546,790000,1
,Denmark,4/23/2020 16:40,7912,384,5087,108465,80
,Indonesia,4/23/2020 16:40,7418,635,913,55732,0
,Norway,4/23/2020 16:40,7338,187,32,148656,54
,Belarus,4/23/2020 16:40,7281,58,769,114955,92
,Ukraine,4/23/2020 16:40,7170,187,504,67520,45
,Qatar,4/23/2020 16:40,7141,10,689,70012,37
,Czechia,4/23/2020 16:40,7136,210,2002,195725,76
,Serbia,4/23/2020 16:40,7114,134,1025,48636,101
,Philippines,4/23/2020 16:40,6710,446,693,68532,1
,Malaysia,4/23/2020 16:40,5532,93,3452,113755,43
,Dominican Republic,4/23/2020 16:40,5300,260,581,18261,135
,Panama,4/23/2020 16:40,4992,144,255,22702,97
,Colombia,4/23/2020 16:40,4356,206,870,71500,98
,Finland,4/23/2020 16:40,4129,149,2000,68552,63
,Bangladesh,4/23/2020 16:40,3772,120,92,32630,1
,Egypt,4/23/2020 16:40,3659,276,935,55000,0
,Luxembourg,4/23/2020 16:40,3654,80,711,36087,32
,South Africa,4/23/2020 16:40,3635,65,1055,133774,36
,Morocco,4/23/2020 16:40,3446,149,417,19885,1
,Argentina,4/23/2020 16:40,3288,159,872,39228,123
,Algeria,4/23/2020 16:40,2910,402,1204,6500,40
,Thailand,4/23/2020 16:40,2839,50,2430,142589,61
,Moldova,4/23/2020 16:40,2778,75,560,11763,212
,Greece,4/23/2020 16:40,2408,121,577,56944,55
,Hungary,4/23/2020 16:40,2284,239,390,55390,61
,Kuwait,4/23/2020 16:40,2248,13,443,0,50
,Kazakhstan,4/23/2020 16:40,2191,19,515,153492,29
,Bahrain,4/23/2020 16:40,2027,7,1026,97796,2
,Croatia,4/23/2020 16:40,1950,48,869,27614,19
,Iceland,4/23/2020 16:40,1785,10,1462,44468,5
,Uzbekistan,4/23/2020 16:40,1716,7,450,150000,8
,Iraq,4/23/2020 16:40,1631,83,1146,62880,0
,Oman,4/23/2020 16:40,1614,8,238,0,3
,Estonia,4/23/2020 16:40,1559,44,184,43637,7
,Azerbaijan,4/23/2020 16:40,1518,20,907,108221,14
,Armenia,4/23/2020 16:40,1473,24,633,14966,30
,New Zealand,4/23/2020 16:40,1451,16,1065,101277,2
,Lithuania,4/23/2020 16:40,1398,38,399,83591,17
,Bosnia and Herzegovina,4/23/2020 16:40,1368,53,460,20125,4
,Slovenia,4/23/2020 16:40,1353,79,205,44435,24
,North Macedonia,4/23/2020 16:40,1259,56,272,13000,8
,Slovakia,4/23/2020 16:40,1244,14,284,52649,8
,Cuba,4/23/2020 16:40,1189,40,341,30416,16
,Afghanistan,4/23/2020 16:40,1176,40,166,6422,7
,Cameroon,4/23/2020 16:40,1163,43,397,0,33
,Ghana,4/23/2020 16:40,1154,9,99,68591,4
,Bulgaria,4/23/2020 16:40,1081,50,190,27000,37
Hong Kong,Hong Kong,4/23/2020 16:40,1034,4,678,131786,8
,Djibouti,4/23/2020 16:40,974,2,183,10272,0
,Ivory Coast,4/23/2020 16:40,952,14,310,0,0
,Tunisia,4/23/2020 16:40,909,38,190,18861,32
,Nigeria,4/23/2020 16:40,873,28,197,8003,2
,Cyprus,4/23/2020 16:40,790,13,98,37081,15
,Latvia,4/23/2020 16:40,761,11,133,39336,5
,Guinea,4/23/2020 16:40,761,6,164,0,0
,Andorra,4/23/2020 16:40,723,37,309,1673,17
Yokohama,Japan,4/23/2020 16:40,712,13,645,0,4
,Lebanon,4/23/2020 16:40,682,22,113,22853,26
,Costa Rica,4/23/2020 16:40,681,6,180,11766,6
,Bolivia,4/23/2020 16:40,672,40,44,4420,3
,Niger,4/23/2020 16:40,662,22,193,4832,0
,Albania,4/23/2020 16:40,634,27,356,6269,4
,Kyrgyzstan,4/23/2020 16:40,612,7,254,26147,5
,Burkina Faso,4/23/2020 16:40,609,39,389,0,0
,Uruguay,4/23/2020 16:40,549,12,337,14532,10
,Honduras,4/23/2020 16:40,519,47,31,2535,10
,Channel Islands,4/23/2020 16:40,498,28,285,3320,0
,San Marino,4/23/2020 16:40,488,40,62,1872,4
,Palestine,4/23/2020 16:40,474,4,71,17329,0
,Malta,4/23/2020 16:40,444,3,165,26148,2
,Senegal,4/23/2020 16:40,442,6,253,466,1
,Jordan,4/23/2020 16:40,435,7,315,36000,5
Taiwan,Taiwan,4/23/2020 16:40,427,6,253,58003,0
,Georgia,4/23/2020 16:40,420,5,107,8375,6
