Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
the-devils-wilderness,2758,0,60+,THE DEVILS WILDERNESS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.255
dharruk,2770,2765,20 to 39,DHARRUK,,,373.0,0.52,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.498
dolans-bay,2229,602,40 to 59,DOLANS BAY,,,800.0,1.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4277
dolls-point,2219,1658,40 to 59,DOLLS POINT,0.72,460.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.822
doonside,2767,13461,20 to 39,DOONSIDE,0.52,350.0,400.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2196
double-bay,2028,4636,20 to 39,DOUBLE BAY,1.3,730.0,1600.0,3.95,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2304
dover-heights,2030,3799,40 to 59,DOVER HEIGHTS,0.81,630.0,1350.0,3.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.35
drummoyne,2047,11941,20 to 39,DRUMMOYNE,0.99,600.0,820.0,1.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2359
duffys-forest,2084,474,40 to 59,DUFFYS FOREST,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3695
dulwich-hill,2203,13712,20 to 39,DULWICH HILL,0.7,460.0,725.0,1.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4294
dundas-valley,2117,5402,20 to 39,DUNDAS VALLEY,0.82,550.0,550.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.48
dundas,2117,4729,20 to 39,DUNDAS,0.61,440.0,425.0,1.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.565
dural,2158,7560,40 to 59,DURAL,0.78,445.0,650.0,1.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3123
eagle-vale,2558,5794,20 to 39,EAGLE VALE,,373.0,400.0,0.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2544
earlwood,2206,17744,40 to 59,EARLWOOD,0.76,500.0,670.0,1.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.676
east-hills,2213,3205,40 to 59,EAST HILLS,,425.0,550.0,0.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2241
east-killara,2071,2979,40 to 59,EAST KILLARA,,,1050.0,2.38,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.148
east-kurrajong,2758,2202,40 to 59,EAST KURRAJONG,,,465.0,1.17,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.133
east-lindfield,2070,3731,40 to 59,EAST LINDFIELD,,,1100.0,2.44,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.835
east-ryde,2113,2440,40 to 59,EAST RYDE,,,850.0,1.5,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.312
eastern-creek,2766,824,20 to 39,EASTERN CREEK,,,410.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3465
eastgardens,2036,858,60+,EASTGARDENS,0.88,,808.0,1.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1900
eastlakes,2018,6922,20 to 39,EASTLAKES,0.59,450.0,700.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2447
eastwood,2122,17852,20 to 39,EASTWOOD,0.66,450.0,665.0,1.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3832
ebenezer,2756,984,40 to 59,EBENEZER,,,490.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3658
edensor-park,2176,9764,40 to 59,EDENSOR PARK,,400.0,460.0,0.79,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3872
edgecliff,2027,2576,20 to 39,EDGECLIFF,1.23,550.0,900.0,1.97,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3394
edmondson-park,2174,2269,20 to 39,EDMONDSON PARK,,385.0,563.0,0.87,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1813
elanora-heights,2101,4353,40 to 59,ELANORA HEIGHTS,,420.0,830.0,1.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1758
elderslie,2570,6020,20 to 39,ELDERSLIE,,350.0,490.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2097
elizabeth-bay,2011,5218,20 to 39,ELIZABETH BAY,0.9,500.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.728
elizabeth-hills,2171,0,,ELIZABETH HILLS,,,565.0,0.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3290
ellis-lane,2570,837,40 to 59,ELLIS LANE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.667
elvina-bay,2105,79,40 to 59,ELVINA BAY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2122
emerton,2770,2251,20 to 39,EMERTON,,,350.0,0.45,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3179
emu-heights,2750,3282,40 to 59,EMU HEIGHTS,,,465.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.581
emu-plains,2750,8411,60+,EMU PLAINS,0.54,433.0,460.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2684
enfield,2136,2825,20 to 39,ENFIELD,0.62,450.0,580.0,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4432
engadine,2233,17373,40 to 59,ENGADINE,0.62,440.0,650.0,0.89,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.50
englorie-park,2560,417,20 to 39,ENGLORIE PARK,,,420.0,0.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1016
enmore,2042,3886,20 to 39,ENMORE,0.66,425.0,843.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1970
epping,2121,23692,20 to 39,EPPING,0.75,550.0,650.0,1.53,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3831
ermington,2115,10735,20 to 39,ERMINGTON,0.73,500.0,495.0,1.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2862
erskine-park,2759,6443,40 to 59,ERSKINE PARK,,,430.0,0.71,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.321
erskineville,2043,8001,20 to 39,ERSKINEVILLE,0.86,650.0,750.0,1.29,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3045
eschol-park,2558,2565,20 to 39,ESCHOL PARK,,,420.0,0.55,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3142
eveleigh,2015,667,20 to 39,EVELEIGH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2367
fairfield-east,2165,5273,20 to 39,FAIRFIELD EAST,,275.0,430.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.737
fairfield-heights,2165,7524,20 to 39,FAIRFIELD HEIGHTS,,450.0,500.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.839
fairfield-west,2165,11561,20 to 39,FAIRFIELD WEST,,406.0,460.0,0.69,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.734
fairfield,2165,18078,20 to 39,FAIRFIELD,0.39,350.0,450.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.588
fairlight,2094,5839,20 to 39,FAIRLIGHT,1.19,700.0,1050.0,2.11,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2652
fernances,2775,10,20 to 39,FERNANCES,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2814
fiddletown,2159,241,40 to 59,FIDDLETOWN,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1719
five-dock,2046,9362,40 to 59,FIVE DOCK,0.83,590.0,750.0,1.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3296
forest-glen,2157,69,60+,FOREST GLEN,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4057
forest-lodge,2037,4584,20 to 39,FOREST LODGE,0.88,600.0,920.0,1.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2864
forestville,2087,8323,40 to 59,FORESTVILLE,0.9,573.0,800.0,1.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3604
freemans-reach,2756,1969,40 to 59,FREEMANS REACH,,,500.0,0.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1083
frenchs-forest,2086,13481,40 to 59,FRENCHS FOREST,,440.0,875.0,1.42,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3148
freshwater,2096,8859,20 to 39,FRESHWATER,0.79,590.0,1200.0,2.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3886
galston,2159,3143,40 to 59,GALSTON,,,590.0,1.2,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4439
georges-hall,2198,9041,20 to 39,GEORGES HALL,,470.0,550.0,0.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.555
gilead,2560,413,60+,GILEAD,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3040
girraween,2145,5577,20 to 39,GIRRAWEEN,0.63,460.0,480.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4244
gladesville,2111,11825,40 to 59,GLADESVILLE,0.67,465.0,700.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2040
glebe,2037,11537,20 to 39,GLEBE,0.72,570.0,900.0,1.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3435
gledswood-hills,2557,14,60+,GLEDSWOOD HILLS,,310.0,520.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2020
glen-alpine,2560,4566,40 to 59,GLEN ALPINE,,,550.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2051
glendenning,2761,5135,20 to 39,GLENDENNING,,,420.0,0.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1826
glenfield,2167,9639,20 to 39,GLENFIELD,0.44,370.0,480.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1392
glenhaven,2156,6501,60+,GLENHAVEN,,,670.0,1.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2208
glenmore-park,2745,23005,20 to 39,GLENMORE PARK,0.53,390.0,510.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1872
glenorie,2157,3497,40 to 59,GLENORIE,,,550.0,1.25,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2082
glenwood,2768,16135,40 to 59,GLENWOOD,,,580.0,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3983
