Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
carlingford,2118,24401,40 to 59,CARLINGFORD,0.69,485.0,600.0,1.32,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1973
carlton,2218,10731,20 to 39,CARLTON,0.65,450.0,583.0,1.21,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3414
carnes-hill,2171,0,,CARNES HILL,,,595.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1496
carramar,2163,3547,20 to 39,CARRAMAR,0.35,300.0,400.0,0.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.744
carss-park,2221,1259,40 to 59,CARSS PARK,,,695.0,1.26,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1820
cartwright,2168,2386,40 to 59,CARTWRIGHT,,250.0,400.0,0.54,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3680
castle-cove,2069,2552,40 to 59,CASTLE COVE,,,1100.0,2.54,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4054
castle-hill,2154,39610,40 to 59,CASTLE HILL,0.81,520.0,650.0,1.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.690
castlecrag,2068,2944,40 to 59,CASTLECRAG,,,970.0,2.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2553
castlereagh,2749,1164,40 to 59,CASTLEREAGH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2603
casula,2170,15667,20 to 39,CASULA,0.57,450.0,480.0,0.75,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4100
catherine-field,2557,1669,40 to 59,CATHERINE FIELD,,,500.0,1.03,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1238
cattai,2756,801,40 to 59,CATTAI,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4126
cecil-hills,2171,7021,40 to 59,CECIL HILLS,,,508.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3193
cecil-park,2178,769,40 to 59,CECIL PARK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.712
centennial-park,2021,2372,20 to 39,CENTENNIAL PARK,0.74,500.0,1150.0,2.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.284
central-colo,2756,32,40 to 59,CENTRAL COLO,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.253
central-macdonald,2775,37,40 to 59,CENTRAL MACDONALD,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.347
chatswood-west,2067,1492,40 to 59,CHATSWOOD WEST,,,797.6368296445004,1.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1648
chatswood,2067,24900,20 to 39,CHATSWOOD,0.98,615.0,900.0,2.18,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2362
cheltenham,2119,2249,40 to 59,CHELTENHAM,,,695.0,1.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1618
cherrybrook,2126,18764,40 to 59,CHERRYBROOK,0.97,460.0,710.0,1.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4386
chester-hill,2162,12823,20 to 39,CHESTER HILL,,410.0,495.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.584
chifley,2036,3225,40 to 59,CHIFLEY,,440.0,1050.0,1.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.313
chippendale,2008,8615,20 to 39,CHIPPENDALE,0.68,630.0,850.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3591
chipping-norton,2170,8988,20 to 39,CHIPPING NORTON,0.46,415.0,550.0,0.89,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.545
chiswick,2046,2927,20 to 39,CHISWICK,0.84,600.0,1100.0,2.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3366
chullora,2190,0,60+,CHULLORA,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.717
