Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/15/2020 03:30,54406,1457,4774,,2020-02-15 19:30:00,31.1517252,112.8783222
Guangdong,China,02/15/2020 03:30,1294,2,397,,2020-02-15 19:30:00,23.1357694,113.1982688
Henan,China,02/15/2020 03:30,1212,13,378,,2020-02-15 19:30:00,34.0000001,113.9999999
Zhejiang,China,02/15/2020 03:30,1162,0,417,,2020-02-15 19:30:00,29.0000001,119.9999999
Hunan,China,02/15/2020 03:30,1001,2,401,,2020-02-15 19:30:00,27.6662087,111.7487063
Anhui,China,02/15/2020 03:30,950,6,216,,2020-02-15 19:30:00,32.0,117.0
Jiangxi,China,02/15/2020 03:30,913,1,210,,2020-02-15 19:30:00,28.0,116.0
Jiangsu,China,02/15/2020 03:30,604,0,171,,2020-02-15 19:30:00,33.0000001,119.9999999
Chongqing,China,02/15/2020 03:30,537,5,166,,2020-02-15 19:30:00,29.5585712,106.5492822
Shandong,China,02/15/2020 03:30,532,2,148,,2020-02-15 19:30:00,36.0000001,118.9999999
Sichuan,China,02/15/2020 03:30,470,1,118,,2020-02-15 19:30:00,30.5000001,102.4999999
Heilongjiang,China,02/15/2020 03:30,425,11,48,,2020-02-15 19:30:00,48.0000047,127.999992
Beijing,China,02/15/2020 03:30,375,4,97,,2020-02-15 19:30:00,39.906217,116.3912757
Shanghai,China,02/15/2020 03:30,326,1,124,,2020-02-15 19:30:00,31.2252985,121.4890497
Hebei,China,02/15/2020 03:30,291,3,87,,2020-02-15 19:30:00,39.0000001,116.0
Fujian,China,02/15/2020 03:30,285,0,68,,2020-02-15 19:30:00,26.5450001,117.842778
Shaanxi,China,02/15/2020 03:30,232,0,56,,2020-02-15 19:30:00,36.0,109.0
Guangxi,China,02/15/2020 03:30,235,2,44,,2020-02-15 19:30:00,24.0,109.0
Yokohama,Japan,02/15/2020 03:30,218,0,0,,2020-02-15 19:30:00,35.444991,139.636768
