Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/15/2020 07:00,67803,3222,64402,2020-04-15 22:00:00,179,58500000,31.1517252,112.8783222
Heilongjiang,China,04/15/2020 07:00,841,13,470,2020-04-15 22:00:00,358,38310000,48.00000470000001,127.999992
Shanghai,China,04/15/2020 07:00,622,7,485,2020-04-15 22:00:00,130,24280000,31.2252985,121.4890497
Beijing,China,04/15/2020 07:00,590,8,495,2020-04-15 22:00:00,87,21540000,39.906217,116.3912757
Guangdong,China,04/15/2020 07:00,1566,8,1462,2020-04-15 22:00:00,96,113460000,23.1357694,113.1982688
Inner Mongolia,China,04/15/2020 07:00,190,1,94,2020-04-15 22:00:00,95,24710000,43.2443242,114.3251664
Fujian,China,04/15/2020 07:00,353,1,331,2020-04-15 22:00:00,21,38560000,26.5450001,117.842778
Shanxi,China,04/15/2020 07:00,186,0,135,2020-04-15 22:00:00,51,36500000,37.0,112.0
Zhejiang,China,04/15/2020 07:00,1268,1,1244,2020-04-15 22:00:00,23,57370000,29.0000001,119.9999999
Tianjin,China,04/15/2020 07:00,185,3,168,2020-04-15 22:00:00,14,15621200,39.1235635,117.1980785
Shandong,China,04/15/2020 07:00,784,7,761,2020-04-15 22:00:00,16,100472400,36.0000001,118.9999999
Jiangsu,China,04/15/2020 07:00,653,0,642,2020-04-15 22:00:00,11,80400000,33.0000001,119.9999999
Sichuan,China,04/15/2020 07:00,560,3,550,2020-04-15 22:00:00,7,81100000,30.5000001,102.4999999
Liaoning,China,04/15/2020 07:00,145,2,138,2020-04-15 22:00:00,5,43900000,40.9739116,122.3263915
Yunnan,China,04/15/2020 07:00,184,2,176,2020-04-15 22:00:00,6,45970000,25.0,102.0
Hebei,China,04/15/2020 07:00,327,6,314,2020-04-15 22:00:00,7,74700000,39.0000001,116.0
Shaanxi,China,04/15/2020 07:00,256,3,251,2020-04-15 22:00:00,2,37330000,36.0,109.0
Jilin,China,04/15/2020 07:00,102,1,96,2020-04-15 22:00:00,5,27460000,42.9995032,125.9816054
Chongqing,China,04/15/2020 07:00,579,6,570,2020-04-15 22:00:00,3,30480000,29.5585712,106.5492822
Henan,China,04/15/2020 07:00,1276,22,1254,2020-04-15 22:00:00,0,95590000,34.0000001,113.9999999
Gansu,China,04/15/2020 07:00,139,2,136,2020-04-15 22:00:00,1,25580000,38.0000001,101.9999999
Hunan,China,04/15/2020 07:00,1019,4,1014,2020-04-15 22:00:00,1,67370000,27.6662087,111.7487063
Anhui,China,04/15/2020 07:00,991,6,984,2020-04-15 22:00:00,1,62000000,32.0,117.0
Jiangxi,China,04/15/2020 07:00,937,1,936,2020-04-15 22:00:00,0,45200000,28.0,116.0
Guizhou,China,04/15/2020 07:00,147,2,144,2020-04-15 22:00:00,1,34750000,27.0,107.0
Guangxi,China,04/15/2020 07:00,254,2,252,2020-04-15 22:00:00,0,48380000,24.0,109.0
Hainan,China,04/15/2020 07:00,168,6,162,2020-04-15 22:00:00,0,9258000,19.2000001,109.5999999
Xinjiang,China,04/15/2020 07:00,76,3,73,2020-04-15 22:00:00,0,21810000,41.7574769,87.1673842
Ningxia,China,04/15/2020 07:00,75,0,75,2020-04-15 22:00:00,0,6301000,37.3095528,105.9608553
Qinghai,China,04/15/2020 07:00,18,0,18,2020-04-15 22:00:00,0,5627000,35.40709520000001,95.9521157
Tibet,China,04/15/2020 07:00,1,0,1,2020-04-15 22:00:00,0,3180000,31.8943432,87.07813709999998
New South Wales,Australia,04/15/2020 07:00,2886,25,1420,2020-04-15 22:00:00,1441,7544000,-33.8548157,151.2164539
Queensland,Australia,04/15/2020 07:00,999,5,442,2020-04-15 22:00:00,552,5071000,-27.4689682,153.02349909999995
Victoria,Australia,04/15/2020 07:00,1299,14,1137,2020-04-15 22:00:00,148,6359000,-37.814217600000006,144.9631608
South Australia,Australia,04/15/2020 07:00,433,4,279,2020-04-15 22:00:00,150,1677000,-34.9281805,138.5999312
Western Australia,Australia,04/15/2020 07:00,532,6,338,2020-04-15 22:00:00,188,2589000,-31.95271210000001,115.8604796
Tasmania,Australia,04/15/2020 07:00,168,6,57,2020-04-15 22:00:00,105,515000,-42.8825088,147.3281233
