Continent,Country/Region,Province/State,World,lat,lon
Europe,Germany,Baden-Württemberg,Worldwide,48.6296972,9.1949534
Europe,Germany,Bavaria,Worldwide,48.9467562,11.4038717
Europe,Germany,Berlin,Worldwide,52.5170365,13.3888599
Europe,Germany,Brandenburg,Worldwide,52.8455492,13.2461296
Europe,Germany,Bremen,Worldwide,53.144869,8.6932343
Europe,Germany,Hamburg,Worldwide,53.550341,10.000654
Europe,Germany,Hesse,Worldwide,50.6118537,9.1909725
Europe,Germany,Lower Saxony,Worldwide,52.8398531,9.075962
Europe,Germany,Mecklenburg-Vorpommern,Worldwide,53.7735234,12.5755746
Europe,Germany,North Rhine-Westphalia,Worldwide,51.4781796,7.5542336
Europe,Germany,Rhineland-Palatinate,Worldwide,49.9531599,7.310646
Europe,Germany,Saarland,Worldwide,49.4173988,6.9805789
Europe,Germany,Saxony,Worldwide,50.9295798,13.4585052
Europe,Germany,Saxony-Anhalt,Worldwide,51.908526,11.4939134
Europe,Germany,Schleswig-Holstein,Worldwide,54.1853998,9.8220089
Europe,Germany,Thuringia,Worldwide,50.7333163,11.0747905
