Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/24/2020 15:30,64287,2495,16743,
Guangdong,Mainland China,2/24/2020 15:30,1345,6,786,
Zhejiang,Mainland China,2/24/2020 15:30,1205,1,782,
Shandong,Mainland China,2/24/2020 15:30,755,4,343,
Henan,Mainland China,2/24/2020 15:30,1271,19,940,
Anhui,Mainland China,2/24/2020 15:30,989,6,663,
Jiangxi,Mainland China,2/24/2020 15:30,934,1,645,
Hunan,Mainland China,2/24/2020 15:30,1016,4,727,
Heilongjiang,Mainland China,2/24/2020 15:30,480,12,224,
Sichuan,Mainland China,2/24/2020 15:30,527,3,269,
Chongqing,Mainland China,2/24/2020 15:30,575,6,335,
Jiangsu,Mainland China,2/24/2020 15:30,631,0,452,
Beijing,Mainland China,2/24/2020 15:30,399,4,198,
Guangxi,Mainland China,2/24/2020 15:30,251,2,112,
Fujian,Mainland China,2/24/2020 15:30,293,1,183,
Shanghai,Mainland China,2/24/2020 15:30,335,3,261,
Hebei,Mainland China,2/24/2020 15:30,311,6,230,
Shaanxi,Mainland China,2/24/2020 15:30,245,1,164,
Yunnan,Mainland China,2/24/2020 15:30,174,2,124,
Tianjin,Mainland China,2/24/2020 15:30,135,3,81,
Hainan,Mainland China,2/24/2020 15:30,168,5,106,
Hong Kong,Hong Kong,2/24/2020 15:30,81,2,12,
Guizhou,Mainland China,2/24/2020 15:30,146,2,102,
Liaoning,Mainland China,2/24/2020 15:30,121,1,80,
Shanxi,Mainland China,2/24/2020 15:30,132,0,89,
Inner Mongolia,Mainland China,2/24/2020 15:30,75,0,33,
Xinjiang,Mainland China,2/24/2020 15:30,76,2,28,
Jilin,Mainland China,2/24/2020 15:30,93,1,60,
Ningxia,Mainland China,2/24/2020 15:30,71,0,58,
Taiwan,Taiwan,2/24/2020 15:30,30,1,5,
Gansu,Mainland China,2/24/2020 15:30,91,2,78,
Macau,Macau,2/24/2020 15:30,10,0,6,
Qinghai,Mainland China,2/24/2020 15:30,18,0,18,
Tibet,Mainland China,2/24/2020 15:30,1,0,1,
Yokohama,Japan,2/24/2020 15:30,691,3,3,
,South Korea,2/24/2020 15:30,833,8,22,
,Italy,2/24/2020 15:30,229,7,1,
,Japan,2/24/2020 15:30,146,1,23,
,Singapore,2/24/2020 15:30,90,0,49,
,Thailand,2/24/2020 15:30,35,0,15,
,Malaysia,2/24/2020 15:30,22,0,18,
,Iran,2/24/2020 15:30,61,12,3,
,Germany,2/24/2020 15:30,16,0,14,
,Vietnam,2/24/2020 15:30,16,0,15,
,France,2/24/2020 15:30,12,1,11,
,United Arab Emirates,2/24/2020 15:30,13,0,3,
,UK,2/24/2020 15:30,13,0,8,
,Philippines,2/24/2020 15:30,3,1,2,
,India,2/24/2020 15:30,3,0,3,
,Russia,2/24/2020 15:30,2,0,2,
,Spain,2/24/2020 15:30,2,0,2,
Brussels,Belgium,2/24/2020 15:30,1,0,1,
,Cambodia,2/24/2020 15:30,1,0,1,
,Egypt,2/24/2020 15:30,1,0,1,
,Finland,2/24/2020 15:30,1,0,1,
,Israel,2/24/2020 15:30,2,0,0,
,Lebanon,2/24/2020 15:30,1,0,0,
,Nepal,2/24/2020 15:30,1,0,1,
,Sri Lanka,2/24/2020 15:30,1,0,1,
,Sweden,2/24/2020 15:30,1,0,0,
,Iraq,2/24/2020 15:30,1,0,0,
,Kuwait,2/24/2020 15:30,3,0,0,
,Afghanistan,2/24/2020 15:30,1,0,0,
,Bahrain,2/24/2020 15:30,1,0,0,
,Oman,2/24/2020 15:30,2,0,0,
British Columbia,Canada,2/24/2020 15:30,6,0,0,
Ontario,Canada,2/24/2020 15:30,4,0,3,
Illinois,US,2/24/2020 15:30,2,0,2,Chicago
Massachusetts,US,2/24/2020 15:30,1,0,0,Boston
WA,US,2/24/2020 15:30,1,0,1,Seattle
Arizona,US,2/24/2020 15:30,1,0,0,Tempe
Wisconsin,US,2/24/2020 15:30,1,0,0,Madison
Texas,US,2/24/2020 15:30,1,0,0,San Antonio
California,US,2/24/2020 15:30,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
Nebraska,US,2/24/2020 15:30,18,0,0,
Victoria,Australia,2/24/2020 15:30,6,0,4,
New South Wales,Australia,2/24/2020 15:30,4,0,4,
Queensland,Australia,2/24/2020 15:30,8,0,0,
Western Australia,Australia,2/24/2020 15:30,1,0,0,
South Australia,Australia,2/24/2020 15:30,3,0,2,
