Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/08/2020 22:00,27100,1439,780,
Guangdong,Mainland China,2/08/2020 22:00,1120,125,1,
Zhejiang,Mainland China,2/08/2020 22:00,1075,185,0,
Henan,Mainland China,2/08/2020 22:00,1033,131,6,
Hunan,Mainland China,2/08/2020 22:00,838,159,1,
Anhui,Mainland China,2/08/2020 22:00,779,72,1,
Jiangxi,Mainland China,2/08/2020 22:00,740,72,0,
Jiangsu,Mainland China,2/08/2020 22:00,468,51,0,
Chongqing,Mainland China,2/08/2020 22:00,446,39,2,
Shandong,Mainland China,2/08/2020 22:00,435,50,1,
Sichuan,Mainland China,2/08/2020 22:00,386,60,1,
Beijing,Mainland China,2/08/2020 22:00,315,34,2,
Heilongjiang,Mainland China,2/08/2020 22:00,307,13,6,
Shanghai,Mainland China,2/08/2020 22:00,292,41,1,
Fujian,Mainland China,2/08/2020 22:00,239,24,0,
Hebei,Mainland China,2/08/2020 22:00,206,30,2,
Shaanxi,Mainland China,2/08/2020 22:00,208,20,0,
Guangxi,Mainland China,2/08/2020 22:00,195,18,1,
Yunnan,Mainland China,2/08/2020 22:00,140,17,0,
Hainan,Mainland China,2/08/2020 22:00,128,15,2,
Shanxi,Mainland China,2/08/2020 22:00,115,21,0,
Liaoning,Mainland China,2/08/2020 22:00,105,8,0,
Guizhou,Mainland China,2/08/2020 22:00,96,7,1,
Tianjin,Mainland China,2/08/2020 22:00,88,4,1,
Gansu,Mainland China,2/08/2020 22:00,79,12,1,
Jilin,Mainland China,2/08/2020 22:00,78,5,1,
Yokohama,Japan,2/08/2020 22:00,64,0,0,
Inner Mongolia,Mainland China,2/08/2020 22:00,54,5,0,
Ningxia,Mainland China,2/08/2020 22:00,45,13,0,
Xinjiang,Mainland China,2/08/2020 22:00,45,0,0,
,Singapore,2/08/2020 22:00,40,2,0,
,Thailand,2/08/2020 22:00,32,10,0,
Hong Kong,Hong Kong,2/08/2020 22:00,26,0,1,
,Japan,2/08/2020 22:00,25,4,0,
,South Korea,2/08/2020 22:00,25,2,0,
Qinghai,Mainland China,2/08/2020 22:00,18,3,0,
Taiwan,Taiwan,2/08/2020 22:00,17,1,0,
,Malaysia,2/08/2020 22:00,16,1,0,
,Germany,2/08/2020 22:00,14,0,0,
,Vietnam,2/08/2020 22:00,13,3,0,
,France,2/08/2020 22:00,11,0,0,
Macau,Macau,2/08/2020 22:00,10,1,0,
,United Arab Emirates,2/08/2020 22:00,7,0,0,
California,US,2/08/2020 22:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/08/2020 22:00,5,0,0,
New South Wales,Australia,2/08/2020 22:00,4,3,0,
Victoria,Australia,2/08/2020 22:00,4,2,0,
British Columbia,Canada,2/08/2020 22:00,4,0,0,
Ontario,Canada,2/08/2020 22:00,3,0,0,
,India,2/08/2020 22:00,3,0,0,
,Philippines,2/08/2020 22:00,3,0,1,
,UK,2/08/2020 22:00,3,0,0,
,Italy,2/08/2020 22:00,3,0,0,
,Russia,2/08/2020 22:00,2,0,0,
Illinois,US,2/08/2020 22:00,2,2,0,Chicago
South Australia,Australia,2/08/2020 22:00,2,0,0,
,Cambodia,2/08/2020 22:00,1,1,0,
,Finland,2/08/2020 22:00,1,1,0,
,Sri Lanka,2/08/2020 22:00,1,1,0,
Tibet,Mainland China,2/08/2020 22:00,1,0,0,
,Nepal,2/08/2020 22:00,1,0,0,
,Spain,2/08/2020 22:00,1,0,0,
,Sweden,2/08/2020 22:00,1,0,0,
Massachusetts,US,2/08/2020 22:00,1,0,0,Boston
WA,US,2/08/2020 22:00,1,0,0,Seattle
Arizona,US,2/08/2020 22:00,1,0,0,Tempe
Brussels,Belgium,2/08/2020 22:00,1,0,0,
WI,US,2/08/2020 22:00,1,0,0,Madison
