Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City,Date_last_updated_AEDT,lat,lon
Yokohama,Japan,02/24/2020 20:30,691,3,3,,2020-02-25 12:30:00,35.444991,139.636768
,South Korea,02/24/2020 20:30,893,22,8,,2020-02-25 12:30:00,35.8713,128.6018
,Italy,02/24/2020 20:30,229,1,7,,2020-02-25 12:30:00,45.6209,9.768893
,Japan,02/24/2020 20:30,159,23,1,,2020-02-25 12:30:00,36.5748441,139.2394179
,Singapore,02/24/2020 20:30,90,49,0,,2020-02-25 12:30:00,1.340863,103.8303918
,Thailand,02/24/2020 20:30,35,15,0,,2020-02-25 12:30:00,14.8971921,100.83273
,Malaysia,02/24/2020 20:30,22,18,0,,2020-02-25 12:30:00,4.5693754,102.2656823
,Iran,02/24/2020 20:30,61,3,12,,2020-02-25 12:30:00,32.6475314,54.5643516
,Germany,02/24/2020 20:30,16,14,0,,2020-02-25 12:30:00,51.0834196,10.4234469
,Vietnam,02/24/2020 20:30,16,15,0,,2020-02-25 12:30:00,13.2904027,108.4265113
,France,02/24/2020 20:30,12,11,1,,2020-02-25 12:30:00,46.603354,1.8883335
,United Arab Emirates,02/24/2020 20:30,13,3,0,,2020-02-25 12:30:00,24.0002488,53.9994829
,UK,02/24/2020 20:30,13,8,0,,2020-02-25 12:30:00,54.7023545,-3.2765753
,Philippines,02/24/2020 20:30,3,2,1,,2020-02-25 12:30:00,12.7503486,122.7312101
,India,02/24/2020 20:30,3,3,0,,2020-02-25 12:30:00,22.3511148,78.6677428
,Russia,02/24/2020 20:30,2,2,0,,2020-02-25 12:30:00,64.6863136,97.7453061
,Spain,02/24/2020 20:30,3,2,0,,2020-02-25 12:30:00,39.3262345,-4.8380649
Brussels,Belgium,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,50.8436709,4.3674367
,Cambodia,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,13.5066394,104.869423
,Egypt,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,26.2540493,29.2675469
,Finland,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,63.2467777,25.9209164
,Israel,02/24/2020 20:30,2,0,0,,2020-02-25 12:30:00,31.5313113,34.8667654
,Lebanon,02/24/2020 20:30,1,0,0,,2020-02-25 12:30:00,33.8750629,35.843409
,Nepal,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,28.1083929,84.0917139
,Sri Lanka,02/24/2020 20:30,1,1,0,,2020-02-25 12:30:00,7.5554942,80.7137847
,Sweden,02/24/2020 20:30,1,0,0,,2020-02-25 12:30:00,59.6749712,14.5208584
,Iraq,02/24/2020 20:30,1,0,0,,2020-02-25 12:30:00,33.0955793,44.1749775
,Kuwait,02/24/2020 20:30,5,0,0,,2020-02-25 12:30:00,29.2733964,47.4979476
,Afghanistan,02/24/2020 20:30,1,0,0,,2020-02-25 12:30:00,33.7680065,66.2385139
,Bahrain,02/24/2020 20:30,2,0,0,,2020-02-25 12:30:00,26.1551249,50.5344606
,Oman,02/24/2020 20:30,2,0,0,,2020-02-25 12:30:00,21.0000287,57.0036901
British Columbia,Canada,02/24/2020 20:30,6,0,0,,2020-02-25 12:30:00,55.001251,-125.002441
Ontario,Canada,02/24/2020 20:30,5,3,0,,2020-02-25 12:30:00,50.000678,-86.000977
Massachusetts,US,02/24/2020 20:30,1,0,0,Boston,2020-02-25 12:30:00,42.3788774,-72.032366
Illinois,US,02/24/2020 20:30,2,2,0,Chicago,2020-02-25 12:30:00,40.0796606,-89.4337288
Wisconsin,US,02/24/2020 20:30,1,0,0,Madison,2020-02-25 12:30:00,44.4308975,-89.6884637
WA,US,02/24/2020 20:30,1,1,0,Seattle,2020-02-25 12:30:00,47.2868352,-120.2126139
California,US,02/24/2020 20:30,10,2,0,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt",2020-02-25 12:30:00,36.7014631,-118.7559974
Arizona,US,02/24/2020 20:30,1,0,0,Tempe,2020-02-25 12:30:00,34.395342,-111.7632755
Texas,US,02/24/2020 20:30,1,0,0,San Antonio,2020-02-25 12:30:00,31.8160381,-99.5120986
Nebraska,US,02/24/2020 20:30,36,0,0,,2020-02-25 12:30:00,41.7370229,-99.5873816
Melbourne,Australia,02/24/2020 20:30,6,4,0,,2020-02-25 12:30:00,-37.8142176,144.9631608
Sydney,Australia,02/24/2020 20:30,4,4,0,,2020-02-25 12:30:00,-33.8548157,151.2164539
Brisbane,Australia,02/24/2020 20:30,8,5,0,,2020-02-25 12:30:00,-27.4689682,153.0234991
Perth,Australia,02/24/2020 20:30,1,0,0,,2020-02-25 12:30:00,-31.9527121,115.8604796
Adelaide,Australia,02/24/2020 20:30,3,2,0,,2020-02-25 12:30:00,-34.9281805,138.5999312
