Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,03/10/2020 00:00,67760,3024,47585,2020-03-10 16:00:00,31.151725199999998,112.87832220000001
Guangdong,China,03/10/2020 00:00,1353,8,1270,2020-03-10 16:00:00,23.135769399999997,113.19826880000001
Zhejiang,China,03/10/2020 00:00,1215,1,1178,2020-03-10 16:00:00,29.000000099999998,119.9999999
Shandong,China,03/10/2020 00:00,758,6,703,2020-03-10 16:00:00,36.0000001,118.9999999
Henan,China,03/10/2020 00:00,1272,22,1247,2020-03-10 16:00:00,34.0000001,113.9999999
Anhui,China,03/10/2020 00:00,990,6,984,2020-03-10 16:00:00,32.0,117.0
Jiangxi,China,03/10/2020 00:00,935,1,927,2020-03-10 16:00:00,28.0,116.0
Hunan,China,03/10/2020 00:00,1018,4,988,2020-03-10 16:00:00,27.6662087,111.74870630000001
Heilongjiang,China,03/10/2020 00:00,481,13,434,2020-03-10 16:00:00,48.00000470000001,127.99999199999999
Sichuan,China,03/10/2020 00:00,539,3,470,2020-03-10 16:00:00,30.500000099999998,102.4999999
Chongqing,China,03/10/2020 00:00,576,6,542,2020-03-10 16:00:00,29.5585712,106.5492822
Jiangsu,China,03/10/2020 00:00,631,0,622,2020-03-10 16:00:00,33.0000001,119.9999999
Beijing,China,03/10/2020 00:00,429,8,320,2020-03-10 16:00:00,39.906217,116.3912757
Guangxi,China,03/10/2020 00:00,252,2,234,2020-03-10 16:00:00,24.0,109.0
Fujian,China,03/10/2020 00:00,296,1,295,2020-03-10 16:00:00,26.5450001,117.84277800000001
Shanghai,China,03/10/2020 00:00,342,3,315,2020-03-10 16:00:00,31.225298499999997,121.4890497
Hebei,China,03/10/2020 00:00,318,6,307,2020-03-10 16:00:00,39.0000001,116.0
Shaanxi,China,03/10/2020 00:00,245,1,227,2020-03-10 16:00:00,36.0,109.0
Yunnan,China,03/10/2020 00:00,174,2,170,2020-03-10 16:00:00,25.0,102.0
Tianjin,China,03/10/2020 00:00,136,3,130,2020-03-10 16:00:00,39.1235635,117.1980785
Hainan,China,03/10/2020 00:00,168,6,159,2020-03-10 16:00:00,19.2000001,109.5999999
Guizhou,China,03/10/2020 00:00,146,2,129,2020-03-10 16:00:00,27.0,107.0
Liaoning,China,03/10/2020 00:00,125,1,110,2020-03-10 16:00:00,40.9739116,122.3263915
Shanxi,China,03/10/2020 00:00,133,0,127,2020-03-10 16:00:00,37.0,112.0
Inner Mongolia,China,03/10/2020 00:00,75,1,70,2020-03-10 16:00:00,43.2443242,114.32516640000001
Xinjiang,China,03/10/2020 00:00,76,3,73,2020-03-10 16:00:00,41.7574769,87.1673842
Jilin,China,03/10/2020 00:00,93,1,90,2020-03-10 16:00:00,42.9995032,125.9816054
Ningxia,China,03/10/2020 00:00,75,0,71,2020-03-10 16:00:00,37.3095528,105.9608553
