Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/26/2020 21:30,65596,2641,23200,
Guangdong,Mainland China,2/26/2020 21:30,1347,7,873,
Zhejiang,Mainland China,2/26/2020 21:30,1205,1,881,
Shandong,Mainland China,2/26/2020 21:30,756,6,381,
Henan,Mainland China,2/26/2020 21:30,1272,20,1062,
Anhui,Mainland China,2/26/2020 21:30,989,6,764,
Jiangxi,Mainland China,2/26/2020 21:30,934,1,754,
Hunan,Mainland China,2/26/2020 21:30,1017,4,793,
Heilongjiang,Mainland China,2/26/2020 21:30,480,13,262,
Sichuan,Mainland China,2/26/2020 21:30,534,3,310,
Chongqing,Mainland China,2/26/2020 21:30,576,6,384,
Jiangsu,Mainland China,2/26/2020 21:30,631,0,494,
Beijing,Mainland China,2/26/2020 21:30,400,5,248,
Guangxi,Mainland China,2/26/2020 21:30,252,2,159,
Fujian,Mainland China,2/26/2020 21:30,296,1,225,
Shanghai,Mainland China,2/26/2020 21:30,337,3,272,
Hebei,Mainland China,2/26/2020 21:30,317,6,261,
Shaanxi,Mainland China,2/26/2020 21:30,245,1,194,
Yunnan,Mainland China,2/26/2020 21:30,174,2,144,
Tianjin,Mainland China,2/26/2020 21:30,135,3,96,
Hainan,Mainland China,2/26/2020 21:30,168,5,129,
Hong Kong,Hong Kong,2/26/2020 21:30,91,2,24,
Guizhou,Mainland China,2/26/2020 21:30,146,2,112,
Liaoning,Mainland China,2/26/2020 21:30,121,1,92,
Shanxi,Mainland China,2/26/2020 21:30,133,0,104,
Inner Mongolia,Mainland China,2/26/2020 21:30,75,0,38,
Xinjiang,Mainland China,2/26/2020 21:30,76,2,34,
Jilin,Mainland China,2/26/2020 21:30,93,1,65,
Ningxia,Mainland China,2/26/2020 21:30,71,0,65,
Taiwan,Taiwan,2/26/2020 21:30,32,1,5,
Gansu,Mainland China,2/26/2020 21:30,91,2,81,
Macau,Macau,2/26/2020 21:30,10,0,7,
Qinghai,Mainland China,2/26/2020 21:30,18,0,18,
Tibet,Mainland China,2/26/2020 21:30,1,0,1,
,South Korea,2/26/2020 21:30,1595,13,24,
Yokohama,Japan,2/26/2020 21:30,705,4,10,
,Italy,2/26/2020 21:30,470,12,3,
,Japan,2/26/2020 21:30,172,3,23,
,Iran,2/26/2020 21:30,139,19,3,
,Singapore,2/26/2020 21:30,93,0,62,
,Thailand,2/26/2020 21:30,40,0,22,
,Bahrain,2/26/2020 21:30,33,0,0,
,Kuwait,2/26/2020 21:30,26,0,0,
,Malaysia,2/26/2020 21:30,22,0,20,
,Germany,2/26/2020 21:30,27,0,15,
,France,2/26/2020 21:30,18,2,11,
,Vietnam,2/26/2020 21:30,16,0,16,
,United Arab Emirates,2/26/2020 21:30,13,0,3,
,UK,2/26/2020 21:30,13,0,8,
,Spain,2/26/2020 21:30,13,0,2,
,Iraq,2/26/2020 21:30,5,0,0,
,Oman,2/26/2020 21:30,4,0,0,
,Philippines,2/26/2020 21:30,3,1,2,
,India,2/26/2020 21:30,3,0,3,
,Croatia,2/26/2020 21:30,3,0,0,
,Russia,2/26/2020 21:30,2,0,2,
,Austria,2/26/2020 21:30,2,0,0,
,Israel,2/26/2020 21:30,2,0,0,
,Lebanon,2/26/2020 21:30,2,0,0,
,Pakistan,2/26/2020 21:30,2,0,0,
,Sweden,2/26/2020 21:30,2,0,0,
,Finland,2/26/2020 21:30,2,0,1,
,Afghanistan,2/26/2020 21:30,1,0,0,
,Algeria,2/26/2020 21:30,1,0,0,
Brussels,Belgium,2/26/2020 21:30,1,0,1,
,Cambodia,2/26/2020 21:30,1,0,1,
,Egypt,2/26/2020 21:30,1,0,1,
,Nepal,2/26/2020 21:30,1,0,1,
,Sri Lanka,2/26/2020 21:30,1,0,1,
,Switzerland,2/26/2020 21:30,1,0,0,
,Brazil,2/26/2020 21:30,1,0,0,
,Georgia,2/26/2020 21:30,1,0,0,
,Greece,2/26/2020 21:30,1,0,0,
,North Macedonia,2/26/2020 21:30,1,0,0,
,Norway,2/26/2020 21:30,1,0,0,
,Romania,2/26/2020 21:30,1,0,0,
British Columbia,Canada,2/26/2020 21:30,7,0,0,
Ontario,Canada,2/26/2020 21:30,5,0,3,
Massachusetts,US,2/26/2020 21:30,1,0,0,Boston
Illinois,US,2/26/2020 21:30,2,0,2,Chicago
Wisconsin,US,2/26/2020 21:30,1,0,0,Madison
WA,US,2/26/2020 21:30,1,0,1,Seattle
California,US,2/26/2020 21:30,11,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
Arizona,US,2/26/2020 21:30,1,0,0,Tempe
Texas,US,2/26/2020 21:30,1,0,0,San Antonio
Nebraska,US,2/26/2020 21:30,42,0,0,
Victoria,Australia,2/26/2020 21:30,7,0,4,
New South Wales,Australia,2/26/2020 21:30,4,0,4,
Queensland,Australia,2/26/2020 21:30,8,0,5,
Western Australia,Australia,2/26/2020 21:30,1,0,0,
South Australia,Australia,2/26/2020 21:30,3,0,2,
