Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/04/2020  03:00,67332,2871,38556
Guangdong,Mainland China,3/04/2020  03:00,1350,7,1129
Zhejiang,Mainland China,3/04/2020  03:00,1213,1,1095
Shandong,Mainland China,3/04/2020  03:00,758,6,511
Henan,Mainland China,3/04/2020  03:00,1272,22,1234
Anhui,Mainland China,3/04/2020  03:00,990,6,941
Jiangxi,Mainland China,3/04/2020  03:00,935,1,884
Hunan,Mainland China,3/04/2020  03:00,1018,4,913
Heilongjiang,Mainland China,3/04/2020  03:00,480,13,372
Sichuan,Mainland China,3/04/2020  03:00,538,3,400
Chongqing,Mainland China,3/04/2020  03:00,576,6,490
Jiangsu,Mainland China,3/04/2020  03:00,631,0,569
Beijing,Mainland China,3/04/2020  03:00,414,8,294
Guangxi,Mainland China,3/04/2020  03:00,252,2,210
Fujian,Mainland China,3/04/2020  03:00,296,1,261
Shanghai,Mainland China,3/04/2020  03:00,338,3,298
Hebei,Mainland China,3/04/2020  03:00,318,6,300
Shaanxi,Mainland China,3/04/2020  03:00,245,1,218
Yunnan,Mainland China,3/04/2020  03:00,174,2,169
Tianjin,Mainland China,3/04/2020  03:00,136,3,124
Hainan,Mainland China,3/04/2020  03:00,168,5,155
Guizhou,Mainland China,3/04/2020  03:00,146,2,114
Liaoning,Mainland China,3/04/2020  03:00,125,1,106
Shanxi,Mainland China,3/04/2020  03:00,133,0,124
Inner Mongolia,Mainland China,3/04/2020  03:00,75,1,60
Xinjiang,Mainland China,3/04/2020  03:00,76,3,68
Jilin,Mainland China,3/04/2020  03:00,93,1,84
Ningxia,Mainland China,3/04/2020  03:00,74,0,69
Gansu,Mainland China,3/04/2020  03:00,91,2,86
Qinghai,Mainland China,3/04/2020  03:00,18,0,18
Tibet,Mainland China,3/04/2020  03:00,1,0,1
,South Korea,3/04/2020  03:00,5328,33,41
,Italy,3/04/2020  03:00,2502,79,160
,Iran,3/04/2020  03:00,2336,77,435
Yokohama,Japan,3/04/2020  03:00,696,6,100
,Japan,3/04/2020  03:00,299,6,43
,France,3/04/2020  03:00,212,4,12
,Germany,3/04/2020  03:00,203,0,16
,Spain,3/04/2020  03:00,165,1,2
,Singapore,3/04/2020  03:00,110,0,78
Hong Kong,Hong Kong,3/04/2020  03:00,101,2,37
,Switzerland,3/04/2020  03:00,59,0,2
,Kuwait,3/04/2020  03:00,56,0,0
,UK,3/04/2020  03:00,51,0,8
,Bahrain,3/04/2020  03:00,49,0,0
,Thailand,3/04/2020  03:00,43,1,30
Taiwan,Taiwan,3/04/2020  03:00,42,1,12
,Malaysia,3/04/2020  03:00,36,0,22
,Norway,3/04/2020  03:00,33,0,0
,Iraq,3/04/2020  03:00,32,0,0
,Sweden,3/04/2020  03:00,30,0,0
,United Arab Emirates,3/04/2020  03:00,27,0,5
,Austria,3/04/2020  03:00,24,0,0
,Netherlands,3/04/2020  03:00,23,0,0
,India,3/04/2020  03:00,22,0,3
,Vietnam,3/04/2020  03:00,16,0,16
Brussels,Belgium,3/04/2020  03:00,15,0,1
,Israel,3/04/2020  03:00,15,0,1
,Iceland,3/04/2020  03:00,14,0,0
