Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/24/2020 00:00,549,24.0,31.0,
Guangdong,Mainland China,1/24/2020 00:00,53,,2.0,
Zhejiang,Mainland China,1/24/2020 00:00,43,,1.0,
Beijing,Mainland China,1/24/2020 00:00,26,,,22.0
Shanghai,Mainland China,1/24/2020 00:00,20,,,
Hunan,Mainland China,1/24/2020 00:00,24,,,
Anhui,Mainland China,1/24/2020 00:00,15,,,4.0
Chongqing,Mainland China,1/24/2020 00:00,27,,,13.0
Sichuan,Mainland China,1/24/2020 00:00,15,,,4.0
Shandong,Mainland China,1/24/2020 00:00,9,,,
Guangxi,Mainland China,1/24/2020 00:00,13,,,
Fujian,Mainland China,1/24/2020 00:00,5,,,2.0
Jiangsu,Mainland China,1/24/2020 00:00,9,,,
Henan,Mainland China,1/24/2020 00:00,9,,,
Hainan,Mainland China,1/24/2020 00:00,8,,,32.0
Tianjin,Mainland China,1/24/2020 00:00,5,,,
Jiangxi,Mainland China,1/24/2020 00:00,7,,,
Shaanxi,Mainland China,1/24/2020 00:00,3,,,
Guizhou,Mainland China,1/24/2020 00:00,3,,,
Liaoning,Mainland China,1/24/2020 00:00,4,,,
Hong Kong,Hong Kong,1/24/2020 00:00,2,,,36.0
Heilongjiang,Mainland China,1/24/2020 00:00,4,1.0,,
Macau,Macau,1/24/2020 00:00,2,,,
Xinjiang,Mainland China,1/24/2020 00:00,2,,,
Gansu,Mainland China,1/24/2020 00:00,2,,,
Yunnan,Mainland China,1/24/2020 00:00,2,,,
Taiwan,Taiwan,1/24/2020 00:00,1,,,
Shanxi,Mainland China,1/24/2020 00:00,1,,,
Jilin,Mainland China,1/24/2020 00:00,3,,,
Hebei,Mainland China,1/24/2020 00:00,2,1.0,,
Ningxia,Mainland China,1/24/2020 00:00,1,,,
Inner Mongolia,Mainland China,1/24/2020 00:00,1,,,2.0
WA,US,1/24/2020 00:00,1,,,
,Japan,1/24/2020 00:00,2,,,
,Thailand,1/24/2020 00:00,4,,,
,South Korea,1/24/2020 00:00,1,,,
,Singapore,1/24/2020 00:00,1,,,
,Vietnam,1/24/2020 00:00,2,,,
