Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,8128,,,,,211,2020-06-09,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,13294,,,,,278,2020-06-09,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,49817,,,,,2271,2020-06-09,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,57570,,,,,3835,2020-06-09,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,8626,,,,,245,2020-06-09,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,6056,,,,,168,2020-06-09,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,5807,,,,,108,2020-06-09,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,16339,,,,,622,2020-06-09,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,28715,,,,,910,2020-06-09,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,66218,,,,,4192,2020-06-09,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,49371,,,,,1247,2020-06-09,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,20951,,,,,507,2020-06-09,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,40705,,,,,3350,2020-06-09,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,7927,,,,,265,2020-06-09,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,10888,,,,,431,2020-06-09,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,9727,,,,,234,2020-06-09,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,16964,,,,,226,2020-06-09,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,6348,,,,,173,2020-06-09,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,4243,,,,,126,2020-06-09,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,2324,,,,,22,2020-06-09,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,20659,,,,,871,2020-06-09,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,15883,,,,,380,2020-06-09,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,69499,,,,,6781,2020-06-09,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,144593,,,,,9188,2020-06-09,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,7031,,,,,243,2020-06-09,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,12250,,,,,291,2020-06-09,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,11742,,,,,177,2020-06-09,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
