Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/05/2020 15:00,16678,533,479,,2020-02-06 07:00:00,31.1517252,112.8783222
Zhejiang,China,02/05/2020 15:00,895,77,0,,2020-02-06 07:00:00,29.0000001,119.9999999
Guangdong,China,02/05/2020 15:00,895,42,0,,2020-02-06 07:00:00,23.1357694,113.1982688
Henan,China,02/05/2020 15:00,764,50,2,,2020-02-06 07:00:00,34.0000001,113.9999999
Hunan,China,02/05/2020 15:00,661,44,0,,2020-02-06 07:00:00,27.6662087,111.7487063
Jiangxi,China,02/05/2020 15:00,548,27,0,,2020-02-06 07:00:00,28.0,116.0
Anhui,China,02/05/2020 15:00,530,23,0,,2020-02-06 07:00:00,32.0,117.0
Chongqing,China,02/05/2020 15:00,376,15,2,,2020-02-06 07:00:00,29.5585712,106.5492822
Jiangsu,China,02/05/2020 15:00,341,25,0,,2020-02-06 07:00:00,33.0000001,119.9999999
Sichuan,China,02/05/2020 15:00,301,24,1,,2020-02-06 07:00:00,30.5000001,102.4999999
Shandong,China,02/05/2020 15:00,307,15,0,,2020-02-06 07:00:00,36.0000001,118.9999999
Beijing,China,02/05/2020 15:00,253,24,1,,2020-02-06 07:00:00,39.906217,116.3912757
Shanghai,China,02/05/2020 15:00,243,15,1,,2020-02-06 07:00:00,31.2252985,121.4890497
Fujian,China,02/05/2020 15:00,205,11,0,,2020-02-06 07:00:00,26.5450001,117.842778
Heilongjiang,China,02/05/2020 15:00,190,8,2,,2020-02-06 07:00:00,48.0000047,127.999992
Shaanxi,China,02/05/2020 15:00,165,6,0,,2020-02-06 07:00:00,36.0,109.0
Guangxi,China,02/05/2020 15:00,150,14,0,,2020-02-06 07:00:00,24.0,109.0
Hebei,China,02/05/2020 15:00,136,6,1,,2020-02-06 07:00:00,39.0000001,116.0
Yunnan,China,02/05/2020 15:00,128,5,0,,2020-02-06 07:00:00,25.0,102.0
Hainan,China,02/05/2020 15:00,99,5,1,,2020-02-06 07:00:00,19.2000001,109.5999999
Liaoning,China,02/05/2020 15:00,89,4,0,,2020-02-06 07:00:00,40.9739116,122.3263915
Shanxi,China,02/05/2020 15:00,81,6,0,,2020-02-06 07:00:00,37.0,112.0
Tianjin,China,02/05/2020 15:00,69,2,1,,2020-02-06 07:00:00,39.1235635,117.1980785
Guizhou,China,02/05/2020 15:00,64,9,1,,2020-02-06 07:00:00,27.0,107.0
Gansu,China,02/05/2020 15:00,62,4,0,,2020-02-06 07:00:00,38.0000001,101.9999999
Jilin,China,02/05/2020 15:00,54,2,0,,2020-02-06 07:00:00,42.9995032,125.9816054
Inner Mongolia,China,02/05/2020 15:00,42,3,0,,2020-02-06 07:00:00,43.2443242,114.3251664
Ningxia,China,02/05/2020 15:00,34,1,0,,2020-02-06 07:00:00,37.3095528,105.9608553
,Japan,02/05/2020 15:00,35,1,0,,2020-02-06 07:00:00,34.9046568,136.6310496
Xinjiang,China,02/05/2020 15:00,32,0,0,,2020-02-06 07:00:00,41.7574769,87.1673842
,Thailand,02/05/2020 15:00,25,8,0,,2020-02-06 07:00:00,18.7544594,100.624804
,Singapore,02/05/2020 15:00,28,1,0,,2020-02-06 07:00:00,1.340863,103.8303918
Hong Kong,Hong Kong,02/05/2020 15:00,21,0,1,,2020-02-06 07:00:00,22.2793278,114.1628131
,South Korea,02/05/2020 15:00,19,1,0,,2020-02-06 07:00:00,36.5581914,127.9408564
Qinghai,China,02/05/2020 15:00,17,3,0,,2020-02-06 07:00:00,35.4070952,95.9521157
,Germany,02/05/2020 15:00,12,0,0,,2020-02-06 07:00:00,51.3876262,7.0015229
Taiwan,Taiwan,02/05/2020 15:00,11,0,0,,2020-02-06 07:00:00,23.9739374,120.9820179
Macau,Macau,02/05/2020 15:00,10,0,0,,2020-02-06 07:00:00,22.1757605,113.5514142
,Malaysia,02/05/2020 15:00,12,1,0,,2020-02-06 07:00:00,4.5693754,102.2656823
,Vietnam,02/05/2020 15:00,10,3,0,,2020-02-06 07:00:00,13.2904027,108.4265113
,France,02/05/2020 15:00,6,0,0,,2020-02-06 07:00:00,45.1562575,5.4515829
California,US,02/05/2020 15:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara",2020-02-06 07:00:00,36.7014631,-118.7559974
,United Arab Emirates,02/05/2020 15:00,5,0,0,,2020-02-06 07:00:00,24.0002488,53.9994829
Sydney,Australia,02/05/2020 15:00,4,3,0,,2020-02-06 07:00:00,-33.8548157,151.2164539
Melbourne,Australia,02/05/2020 15:00,4,0,0,,2020-02-06 07:00:00,-37.8142176,144.9631608
Ontario,Canada,02/05/2020 15:00,3,0,0,,2020-02-06 07:00:00,50.000678,-86.000977
,India,02/05/2020 15:00,3,0,0,,2020-02-06 07:00:00,16.3876987,73.7305913
Brisbane,Australia,02/05/2020 15:00,4,0,0,,2020-02-06 07:00:00,-27.4689682,153.0234991
,Philippines,02/05/2020 15:00,3,0,1,,2020-02-06 07:00:00,12.7503486,122.7312101
,Italy,02/05/2020 15:00,2,0,0,,2020-02-06 07:00:00,46.3144754,11.0480288
,Russia,02/05/2020 15:00,2,0,0,,2020-02-06 07:00:00,48.2783785,46.1663642
,UK,02/05/2020 15:00,2,0,0,,2020-02-06 07:00:00,54.7023545,-3.2765753
Illinois,US,02/05/2020 15:00,2,0,0,Chicago,2020-02-06 07:00:00,40.0796606,-89.4337288
Adelaide,Australia,02/05/2020 15:00,2,0,0,,2020-02-06 07:00:00,-34.9281805,138.5999312
,Cambodia,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,13.5066394,104.869423
British Columbia,Canada,02/05/2020 15:00,2,0,0,,2020-02-06 07:00:00,55.001251,-125.002441
,Finland,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,63.2467777,25.9209164
Tibet,China,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,31.8943432,87.0781371
,Nepal,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,28.1083929,84.0917139
,Spain,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,39.3262345,-4.8380649
,Sri Lanka,02/05/2020 15:00,1,1,0,,2020-02-06 07:00:00,7.1895221,79.9548574
,Sweden,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,63.4352121,14.8290863
Massachusetts,US,02/05/2020 15:00,1,0,0,Boston,2020-02-06 07:00:00,42.3788774,-72.032366
WA,US,02/05/2020 15:00,1,0,0,Seattle,2020-02-06 07:00:00,47.2868352,-120.2126139
Arizona,US,02/05/2020 15:00,1,0,0,Tempe,2020-02-06 07:00:00,34.395342,-111.7632755
,Belgium,02/05/2020 15:00,1,0,0,,2020-02-06 07:00:00,50.4073222,4.3258288
