Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Tennessee,US,04/01/2020 04:30,2391,23,0,2020-04-01 20:30:00,2368,6770000,35.7730076,-86.28200809999998
Ohio,US,04/01/2020 04:30,2199,55,0,2020-04-01 20:30:00,2144,11690000,40.225356899999994,-82.6881395
Indiana,US,04/01/2020 04:30,2159,49,0,2020-04-01 20:30:00,2110,6692000,40.327012700000004,-86.1746933
Maryland,US,04/01/2020 04:30,1660,19,3,2020-04-01 20:30:00,1638,6043000,39.5162234,-76.9382069
North Carolina,US,04/01/2020 04:30,1561,12,0,2020-04-01 20:30:00,1549,10380000,35.6729639,-79.03929190000001
Wisconsin,US,04/01/2020 04:30,1412,25,1,2020-04-01 20:30:00,1386,5814000,44.4308975,-89.6884637
Missouri,US,04/01/2020 04:30,1407,15,0,2020-04-01 20:30:00,1392,6126000,38.7604815,-92.5617875
Arizona,US,04/01/2020 04:30,1289,24,1,2020-04-01 20:30:00,1264,7172000,34.395342,-111.76327549999999
Virginia,US,04/01/2020 04:30,1250,27,0,2020-04-01 20:30:00,1223,8518000,37.1232245,-78.4927721
Nevada,US,04/01/2020 04:30,1138,26,0,2020-04-01 20:30:00,1112,3034000,39.515882500000004,-116.85372269999999
South Carolina,US,04/01/2020 04:30,1083,22,0,2020-04-01 20:30:00,1061,5084000,33.687438799999995,-80.4363743
Alabama,US,04/01/2020 04:30,999,24,0,2020-04-01 20:30:00,975,4888000,33.258881699999996,-86.8295337
Mississippi,US,04/01/2020 04:30,937,20,0,2020-04-01 20:30:00,917,2987000,32.9715645,-89.7348497
Utah,US,04/01/2020 04:30,888,5,0,2020-04-01 20:30:00,883,3161000,39.4225192,-111.71435840000001
Oregon,US,04/01/2020 04:30,690,18,0,2020-04-01 20:30:00,672,4191000,43.9792797,-120.737257
Kentucky,US,04/01/2020 04:30,632,18,1,2020-04-01 20:30:00,613,4468000,37.5726028,-85.1551411
Minnesota,US,04/01/2020 04:30,629,12,0,2020-04-01 20:30:00,617,5611000,45.98965870000001,-94.6113288
Oklahoma,US,04/01/2020 04:30,568,23,0,2020-04-01 20:30:00,545,3943000,34.9550817,-97.2684063
Arkansas,US,04/01/2020 04:30,564,8,0,2020-04-01 20:30:00,556,3014000,35.2048883,-92.4479108
Idaho,US,04/01/2020 04:30,525,8,0,2020-04-01 20:30:00,517,1754000,43.644764200000004,-114.0154071
Washington DC,US,04/01/2020 04:30,507,9,0,2020-04-01 20:30:00,498,633427,38.894893200000006,-77.0365529
Iowa,US,04/01/2020 04:30,497,7,0,2020-04-01 20:30:00,490,3156000,41.9216734,-93.3122705
Rhode Island,US,04/01/2020 04:30,488,8,0,2020-04-01 20:30:00,480,1057000,41.7962409,-71.59923719999999
Kansas,US,04/01/2020 04:30,441,9,0,2020-04-01 20:30:00,432,2912000,38.27312,-98.58218719999999
New Hampshire,US,04/01/2020 04:30,367,3,0,2020-04-01 20:30:00,364,1356000,43.484913299999995,-71.6553992
Delaware,US,04/01/2020 04:30,319,10,0,2020-04-01 20:30:00,309,967171,38.6920451,-75.4013315
New Mexico,US,04/01/2020 04:30,316,5,0,2020-04-01 20:30:00,311,2095000,34.5708167,-105.993007
Maine,US,04/01/2020 04:30,303,5,0,2020-04-01 20:30:00,298,1338000,45.709097,-68.8590201
Vermont,US,04/01/2020 04:30,293,13,0,2020-04-01 20:30:00,280,626299,44.5990718,-72.5002608
Puerto Rico,US,04/01/2020 04:30,239,8,1,2020-04-01 20:30:00,230,3195000,18.2214149,-66.4132818
Hawaii,US,04/01/2020 04:30,224,1,0,2020-04-01 20:30:00,223,1420000,21.2160437,-157.975203
Montana,US,04/01/2020 04:30,198,5,0,2020-04-01 20:30:00,193,1062000,47.3752671,-109.63875790000002
Nebraska,US,04/01/2020 04:30,177,4,0,2020-04-01 20:30:00,173,1929000,41.7370229,-99.5873816
West Virginia,US,04/01/2020 04:30,162,1,0,2020-04-01 20:30:00,161,1806000,38.475840600000005,-80.84084150000001
Alaska,US,04/01/2020 04:30,133,3,0,2020-04-01 20:30:00,130,737438,64.44596130000001,-149.680909
North Dakota,US,04/01/2020 04:30,122,3,0,2020-04-01 20:30:00,119,760077,47.6201461,-100.540737
Wyoming,US,04/01/2020 04:30,120,0,0,2020-04-01 20:30:00,120,577737,43.1700264,-107.5685348
South Dakota,US,04/01/2020 04:30,108,1,0,2020-04-01 20:30:00,107,882235,44.6471761,-100.348761
Grand Princess,US,04/01/2020 04:30,103,3,0,2020-04-01 20:30:00,100,3500,37.7268801,-122.203452
Guam,US,04/01/2020 04:30,69,2,0,2020-04-01 20:30:00,67,164229,13.4501257,144.757551
Diamond Princess,US,04/01/2020 04:30,49,0,0,2020-04-01 20:30:00,49,3700,41.258745899999994,-95.93837579999999
US Virgin Islands,US,04/01/2020 04:30,30,0,0,2020-04-01 20:30:00,30,107268,17.789187,-64.7080574
Quebec,Canada,04/01/2020 04:30,4162,31,0,2020-04-01 20:30:00,4131,8485000,52.4760892,-71.8258668
Ontario,Canada,04/01/2020 04:30,1966,33,6,2020-04-01 20:30:00,1927,14570000,50.000678,-86.000977
British Columbia,Canada,04/01/2020 04:30,1013,24,4,2020-04-01 20:30:00,985,5071000,55.001251,-125.00244099999999
Alberta,Canada,04/01/2020 04:30,754,9,0,2020-04-01 20:30:00,745,4371000,55.001251,-115.00213600000001
Saskatchewan,Canada,04/01/2020 04:30,184,2,0,2020-04-01 20:30:00,182,1174000,55.5321257,-106.1412243
Newfoundland and Labrador,Canada,04/01/2020 04:30,152,1,0,2020-04-01 20:30:00,151,521542,53.821732700000005,-61.2295532
Nova Scotia,Canada,04/01/2020 04:30,147,0,0,2020-04-01 20:30:00,147,971395,45.1960403,-63.1653789
Manitoba,Canada,04/01/2020 04:30,103,1,0,2020-04-01 20:30:00,102,1369000,55.001251,-97.001038
New Brunswick,Canada,04/01/2020 04:30,70,0,0,2020-04-01 20:30:00,70,776827,46.500283,-66.75018299999999
Prince Edward Island,Canada,04/01/2020 04:30,21,0,0,2020-04-01 20:30:00,21,156947,46.5035454,-63.595517099999995
Yukon,Canada,04/01/2020 04:30,5,0,0,2020-04-01 20:30:00,5,35874,63.000147,-136.002502
Northwest Territories,Canada,04/01/2020 04:30,1,0,0,2020-04-01 20:30:00,1,44826,65.00000039999999,-118.0
,US,04/01/2020 04:30,0,0,7233,2020-04-01 20:30:00,-7233,0,39.7837304,-100.4458825
,Canada,04/01/2020 04:30,0,0,1232,2020-04-01 20:30:00,-1232,0,61.0666922,-107.9917071
