Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/09/2020 07:00,67803,3215,64187,2020-04-09 22:00:00,401,58500000.0,31.151725199999998,112.87832220000001
Shanghai,China,04/09/2020 07:00,552,7,417,2020-04-09 22:00:00,128,24280000.0,31.225298499999997,121.4890497
Heilongjiang,China,04/09/2020 07:00,609,13,470,2020-04-09 22:00:00,126,38310000.0,48.00000470000001,127.99999199999999
Beijing,China,04/09/2020 07:00,588,8,464,2020-04-09 22:00:00,116,21540000.0,39.906217,116.3912757
Guangdong,China,04/09/2020 07:00,1539,8,1423,2020-04-09 22:00:00,108,113460000.0,23.135769399999997,113.19826880000001
Inner Mongolia,China,04/09/2020 07:00,126,1,79,2020-04-09 22:00:00,46,24710000.0,43.2443242,114.32516640000001
Fujian,China,04/09/2020 07:00,351,1,308,2020-04-09 22:00:00,42,38560000.0,26.5450001,117.84277800000001
Shanxi,China,04/09/2020 07:00,166,0,134,2020-04-09 22:00:00,32,36500000.0,37.0,112.0
Zhejiang,China,04/09/2020 07:00,1267,1,1235,2020-04-09 22:00:00,31,57370000.0,29.000000099999998,119.9999999
Tianjin,China,04/09/2020 07:00,181,3,152,2020-04-09 22:00:00,26,15621200.0,39.1235635,117.1980785
Shandong,China,04/09/2020 07:00,783,7,756,2020-04-09 22:00:00,20,100472400.0,36.0000001,118.9999999
Jiangsu,China,04/09/2020 07:00,651,0,633,2020-04-09 22:00:00,18,80400000.0,33.0000001,119.9999999
Sichuan,China,04/09/2020 07:00,560,3,541,2020-04-09 22:00:00,16,81100000.0,30.500000099999998,102.4999999
Liaoning,China,04/09/2020 07:00,144,2,131,2020-04-09 22:00:00,11,43900000.0,40.9739116,122.3263915
Yunnan,China,04/09/2020 07:00,184,2,173,2020-04-09 22:00:00,9,45970000.0,25.0,102.0
Hebei,China,04/09/2020 07:00,327,6,313,2020-04-09 22:00:00,8,74700000.0,39.0000001,116.0
Shaanxi,China,04/09/2020 07:00,256,3,246,2020-04-09 22:00:00,7,37330000.0,36.0,109.0
Jilin,China,04/09/2020 07:00,98,1,93,2020-04-09 22:00:00,4,27460000.0,42.9995032,125.9816054
Chongqing,China,04/09/2020 07:00,579,6,570,2020-04-09 22:00:00,3,30480000.0,29.5585712,106.5492822
Henan,China,04/09/2020 07:00,1276,22,1252,2020-04-09 22:00:00,2,95590000.0,34.0000001,113.9999999
Gansu,China,04/09/2020 07:00,139,2,135,2020-04-09 22:00:00,2,25580000.0,38.0000001,101.9999999
Hunan,China,04/09/2020 07:00,1019,4,1014,2020-04-09 22:00:00,1,67370000.0,27.6662087,111.74870630000001
Anhui,China,04/09/2020 07:00,991,6,984,2020-04-09 22:00:00,1,62000000.0,32.0,117.0
Jiangxi,China,04/09/2020 07:00,937,1,935,2020-04-09 22:00:00,1,45200000.0,28.0,116.0
Guizhou,China,04/09/2020 07:00,147,2,144,2020-04-09 22:00:00,1,34750000.0,27.0,107.0
Guangxi,China,04/09/2020 07:00,254,2,252,2020-04-09 22:00:00,0,48380000.0,24.0,109.0
Hainan,China,04/09/2020 07:00,168,6,162,2020-04-09 22:00:00,0,9258000.0,19.2000001,109.5999999
Xinjiang,China,04/09/2020 07:00,76,3,73,2020-04-09 22:00:00,0,21810000.0,41.7574769,87.1673842
Ningxia,China,04/09/2020 07:00,75,0,75,2020-04-09 22:00:00,0,6301000.0,37.3095528,105.9608553
Qinghai,China,04/09/2020 07:00,18,0,18,2020-04-09 22:00:00,0,5627000.0,35.40709520000001,95.95211570000001
Tibet,China,04/09/2020 07:00,1,0,1,2020-04-09 22:00:00,0,3180000.0,31.894343199999998,87.07813709999998
New South Wales,Australia,04/09/2020 07:00,2773,20,4,2020-04-09 22:00:00,2749,7544000.0,-33.8548157,151.2164539
Queensland,Australia,04/09/2020 07:00,953,5,372,2020-04-09 22:00:00,576,5071000.0,-27.468968199999996,153.02349909999995
Victoria,Australia,04/09/2020 07:00,1228,12,806,2020-04-09 22:00:00,410,6359000.0,-37.814217600000006,144.9631608
South Australia,Australia,04/09/2020 07:00,421,3,120,2020-04-09 22:00:00,298,1677000.0,-34.928180499999996,138.5999312
Western Australia,Australia,04/09/2020 07:00,495,6,170,2020-04-09 22:00:00,319,2589000.0,-31.95271210000001,115.86047959999999
Tasmania,Australia,04/09/2020 07:00,111,3,34,2020-04-09 22:00:00,74,515000.0,-42.8825088,147.3281233
Australian Capital Territory,Australia,04/09/2020 07:00,100,2,54,2020-04-09 22:00:00,44,412576.0,-35.488350200000006,149.00269419999995
Northern Territory,Australia,04/09/2020 07:00,28,0,2,2020-04-09 22:00:00,26,211945.0,-12.46044,130.8410469
,Artania Cruise,04/09/2020 07:00,41,2,0,2020-04-09 22:00:00,39,1300.0,-32.065715000000004,115.67786299999999
,Australia,04/09/2020 07:00,0,0,1425,2020-04-09 22:00:00,-1425,,-24.7761086,134.755
New York,US,04/09/2020 07:00,151079,6269,15927,2020-04-09 22:00:00,128883,19542200.0,40.7127281,-74.0060152
New Jersey,US,04/09/2020 07:00,47437,1504,51,2020-04-09 22:00:00,45882,8909000.0,40.0757384,-74.4041622
Michigan,US,04/09/2020 07:00,20346,959,94,2020-04-09 22:00:00,19293,9996000.0,43.6211955,-84.6824346
California,US,04/09/2020 07:00,19031,507,459,2020-04-09 22:00:00,18065,39560000.0,36.7014631,-118.75599740000001
Louisiana,US,04/09/2020 07:00,17030,652,0,2020-04-09 22:00:00,16378,4660000.0,30.8703881,-92.007126
Massachusetts,US,04/09/2020 07:00,16790,433,311,2020-04-09 22:00:00,16046,6902000.0,42.3788774,-72.03236600000002
