Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Baden-Württemberg,Germany,36492,,,,,1838,2020-07-21,11072030,Europe,Worldwide,48.6296972,9.1949534
Bavaria,Germany,49872,,,,,2617,2020-07-21,13068686,Europe,Worldwide,48.9467562,11.4038717
Berlin,Germany,8802,,,,,221,2020-07-21,3740845,Europe,Worldwide,52.517036499999996,13.388859900000002
Brandenburg,Germany,3485,,,,,167,2020-07-21,2514736,Europe,Worldwide,52.84554920000001,13.2461296
Bremen,Germany,1721,,,,,55,2020-07-21,685714,Europe,Worldwide,53.14486899999999,8.6932343
Hamburg,Germany,5241,,,,,261,2020-07-21,1843859,Europe,Worldwide,53.550341,10.000653999999999
Hesse,Germany,11430,,,,,515,2020-07-21,6254237,Europe,Worldwide,50.611853700000005,9.1909725
Lower Saxony,Germany,14059,,,,,646,2020-07-21,7962068,Europe,Worldwide,52.8398531,9.075961999999999
Mecklenburg-Vorpommern,Germany,809,,,,,20,2020-07-21,1635000,Europe,Worldwide,53.773523399999995,12.5755746
North Rhine-Westphalia,Germany,46213,,,,,1714,2020-07-21,17967261,Europe,Worldwide,51.478179600000004,7.5542336
Rhineland-Palatinate,Germany,7338,,,,,238,2020-07-21,4082481,Europe,Worldwide,49.953159899999996,7.310646
Saarland,Germany,2832,,,,,174,2020-07-21,990376,Europe,Worldwide,49.417398799999994,6.9805789
Saxony,Germany,5501,,,,,225,2020-07-21,4069523,Europe,Worldwide,50.92957979999999,13.4585052
Saxony-Anhalt,Germany,1956,,,,,62,2020-07-21,2214285,Europe,Worldwide,51.908526,11.4939134
Schleswig-Holstein,Germany,3271,,,,,155,2020-07-21,2902325,Europe,Worldwide,54.1853998,9.8220089
Thuringia,Germany,3323,,,,,182,2020-07-21,2151724,Europe,Worldwide,50.73331629999999,11.0747905
