Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/25/2020 01:30,64786,2563,18877,,2020-02-25 17:30:00,31.1517252,112.8783222
Guangdong,China,02/25/2020 01:30,1347,7,807,,2020-02-25 17:30:00,23.1357694,113.1982688
Zhejiang,China,02/25/2020 01:30,1205,1,794,,2020-02-25 17:30:00,29.0000001,119.9999999
Shandong,China,02/25/2020 01:30,755,6,343,,2020-02-25 17:30:00,36.0000001,118.9999999
Henan,China,02/25/2020 01:30,1271,19,989,,2020-02-25 17:30:00,34.0000001,113.9999999
Anhui,China,02/25/2020 01:30,989,6,727,,2020-02-25 17:30:00,32.0,117.0
Jiangxi,China,02/25/2020 01:30,934,1,682,,2020-02-25 17:30:00,28.0,116.0
Hunan,China,02/25/2020 01:30,1016,4,756,,2020-02-25 17:30:00,27.6662087,111.7487063
Heilongjiang,China,02/25/2020 01:30,480,12,241,,2020-02-25 17:30:00,48.0000047,127.999992
Sichuan,China,02/25/2020 01:30,529,3,283,,2020-02-25 17:30:00,30.5000001,102.4999999
Chongqing,China,02/25/2020 01:30,576,6,349,,2020-02-25 17:30:00,29.5585712,106.5492822
Jiangsu,China,02/25/2020 01:30,631,0,458,,2020-02-25 17:30:00,33.0000001,119.9999999
Beijing,China,02/25/2020 01:30,400,4,215,,2020-02-25 17:30:00,39.906217,116.3912757
Guangxi,China,02/25/2020 01:30,252,2,131,,2020-02-25 17:30:00,24.0,109.0
Fujian,China,02/25/2020 01:30,294,1,193,,2020-02-25 17:30:00,26.5450001,117.842778
Shanghai,China,02/25/2020 01:30,335,3,268,,2020-02-25 17:30:00,31.2252985,121.4890497
Hebei,China,02/25/2020 01:30,311,6,241,,2020-02-25 17:30:00,39.0000001,116.0
Shaanxi,China,02/25/2020 01:30,245,1,179,,2020-02-25 17:30:00,36.0,109.0
Yunnan,China,02/25/2020 01:30,174,2,129,,2020-02-25 17:30:00,25.0,102.0
Tianjin,China,02/25/2020 01:30,135,3,87,,2020-02-25 17:30:00,39.1235635,117.1980785
Hainan,China,02/25/2020 01:30,168,5,122,,2020-02-25 17:30:00,19.2000001,109.5999999
Hong Kong,Hong Kong,02/25/2020 01:30,81,2,19,,2020-02-25 17:30:00,22.2793278,114.1628131
Guizhou,China,02/25/2020 01:30,146,2,103,,2020-02-25 17:30:00,27.0,107.0
Liaoning,China,02/25/2020 01:30,121,1,83,,2020-02-25 17:30:00,40.9739116,122.3263915
Shanxi,China,02/25/2020 01:30,133,0,96,,2020-02-25 17:30:00,37.0,112.0
Inner Mongolia,China,02/25/2020 01:30,75,0,34,,2020-02-25 17:30:00,43.2443242,114.3251664
Xinjiang,China,02/25/2020 01:30,76,2,30,,2020-02-25 17:30:00,41.7574769,87.1673842
Jilin,China,02/25/2020 01:30,93,1,60,,2020-02-25 17:30:00,42.9995032,125.9816054
Ningxia,China,02/25/2020 01:30,71,0,61,,2020-02-25 17:30:00,37.3095528,105.9608553
Taiwan,Taiwan,02/25/2020 01:30,30,1,5,,2020-02-25 17:30:00,23.9739374,120.9820179
Gansu,China,02/25/2020 01:30,91,2,80,,2020-02-25 17:30:00,38.0000001,101.9999999
Macau,Macau,02/25/2020 01:30,10,0,6,,2020-02-25 17:30:00,22.1757605,113.5514142
Qinghai,China,02/25/2020 01:30,18,0,18,,2020-02-25 17:30:00,35.4070952,95.9521157
Tibet,China,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,31.8943432,87.0781371
Yokohama,Japan,02/25/2020 01:30,691,4,10,,2020-02-25 17:30:00,35.444991,139.636768
,South Korea,02/25/2020 01:30,893,9,22,,2020-02-25 17:30:00,35.8713,128.6018
,Italy,02/25/2020 01:30,231,7,1,,2020-02-25 17:30:00,45.6209,9.768893
,Japan,02/25/2020 01:30,160,1,23,,2020-02-25 17:30:00,36.5748441,139.2394179
,Singapore,02/25/2020 01:30,90,0,53,,2020-02-25 17:30:00,1.340863,103.8303918
,Thailand,02/25/2020 01:30,37,0,21,,2020-02-25 17:30:00,14.8971921,100.83273
,Malaysia,02/25/2020 01:30,22,0,20,,2020-02-25 17:30:00,4.5693754,102.2656823
,Iran,02/25/2020 01:30,61,12,3,,2020-02-25 17:30:00,32.6475314,54.5643516
,Germany,02/25/2020 01:30,16,0,14,,2020-02-25 17:30:00,51.0834196,10.4234469
,Vietnam,02/25/2020 01:30,16,0,16,,2020-02-25 17:30:00,13.2904027,108.4265113
,France,02/25/2020 01:30,12,1,11,,2020-02-25 17:30:00,46.603354,1.8883335
,United Arab Emirates,02/25/2020 01:30,13,0,3,,2020-02-25 17:30:00,24.0002488,53.9994829
,UK,02/25/2020 01:30,13,0,8,,2020-02-25 17:30:00,54.7023545,-3.2765753
,Philippines,02/25/2020 01:30,3,1,2,,2020-02-25 17:30:00,12.7503486,122.7312101
,India,02/25/2020 01:30,3,0,3,,2020-02-25 17:30:00,22.3511148,78.6677428
,Russia,02/25/2020 01:30,2,0,2,,2020-02-25 17:30:00,64.6863136,97.7453061
,Spain,02/25/2020 01:30,3,0,2,,2020-02-25 17:30:00,39.3262345,-4.8380649
Brussels,Belgium,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,50.8436709,4.3674367
,Cambodia,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,13.5066394,104.869423
,Egypt,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,26.2540493,29.2675469
,Finland,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,63.2467777,25.9209164
,Israel,02/25/2020 01:30,2,0,0,,2020-02-25 17:30:00,31.5313113,34.8667654
,Lebanon,02/25/2020 01:30,1,0,0,,2020-02-25 17:30:00,33.8750629,35.843409
,Nepal,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,28.1083929,84.0917139
,Sri Lanka,02/25/2020 01:30,1,0,1,,2020-02-25 17:30:00,7.5554942,80.7137847
,Sweden,02/25/2020 01:30,1,0,0,,2020-02-25 17:30:00,59.6749712,14.5208584
,Iraq,02/25/2020 01:30,1,0,0,,2020-02-25 17:30:00,33.0955793,44.1749775
,Kuwait,02/25/2020 01:30,5,0,0,,2020-02-25 17:30:00,29.2733964,47.4979476
,Afghanistan,02/25/2020 01:30,1,0,0,,2020-02-25 17:30:00,33.7680065,66.2385139
,Bahrain,02/25/2020 01:30,2,0,0,,2020-02-25 17:30:00,26.1551249,50.5344606
,Oman,02/25/2020 01:30,2,0,0,,2020-02-25 17:30:00,21.0000287,57.0036901
British Columbia,Canada,02/25/2020 01:30,6,0,0,,2020-02-25 17:30:00,55.001251,-125.002441
Ontario,Canada,02/25/2020 01:30,5,0,3,,2020-02-25 17:30:00,50.000678,-86.000977
Massachusetts,US,02/25/2020 01:30,1,0,0,Boston,2020-02-25 17:30:00,42.3788774,-72.032366
Illinois,US,02/25/2020 01:30,2,0,2,Chicago,2020-02-25 17:30:00,40.0796606,-89.4337288
Wisconsin,US,02/25/2020 01:30,1,0,0,Madison,2020-02-25 17:30:00,44.4308975,-89.6884637
WA,US,02/25/2020 01:30,1,0,1,Seattle,2020-02-25 17:30:00,47.2868352,-120.2126139
California,US,02/25/2020 01:30,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt",2020-02-25 17:30:00,36.7014631,-118.7559974
Arizona,US,02/25/2020 01:30,1,0,0,Tempe,2020-02-25 17:30:00,34.395342,-111.7632755
Texas,US,02/25/2020 01:30,1,0,0,San Antonio,2020-02-25 17:30:00,31.8160381,-99.5120986
Nebraska,US,02/25/2020 01:30,36,0,0,,2020-02-25 17:30:00,41.7370229,-99.5873816
Melbourne,Australia,02/25/2020 01:30,6,0,4,,2020-02-25 17:30:00,-37.8142176,144.9631608
Sydney,Australia,02/25/2020 01:30,4,0,4,,2020-02-25 17:30:00,-33.8548157,151.2164539
Brisbane,Australia,02/25/2020 01:30,8,0,5,,2020-02-25 17:30:00,-27.4689682,153.0234991
Perth,Australia,02/25/2020 01:30,1,0,0,,2020-02-25 17:30:00,-31.9527121,115.8604796
Adelaide,Australia,02/25/2020 01:30,3,0,2,,2020-02-25 17:30:00,-34.9281805,138.5999312
