Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated,lat,lon
Xinjiang,China,02/01/2020 10:00,18,0,0,2020-02-01 10:00:00,41.7574769,87.1673842
Jilin,China,02/01/2020 10:00,17,0,1,2020-02-01 10:00:00,42.9995032,125.9816054
Hong Kong,Hong Kong,02/01/2020 10:00,13,0,0,2020-02-01 10:00:00,22.2793278,114.1628131
Taiwan,Taiwan,02/01/2020 10:00,10,0,0,2020-02-01 10:00:00,23.9739374,120.9820179
Qinghai,China,02/01/2020 10:00,9,0,0,2020-02-01 10:00:00,35.4070952,95.9521157
Macau,Macau,02/01/2020 10:00,7,0,0,2020-02-01 10:00:00,22.1757605,113.5514142
Tibet,China,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,31.8943432,87.0781371
Washington,US,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,38.8948932,-77.0365529
Illinois,US,02/01/2020 10:00,2,0,0,2020-02-01 10:00:00,40.0796606,-89.4337288
California,US,02/01/2020 10:00,3,0,0,2020-02-01 10:00:00,36.7014631,-118.7559974
Arizona,US,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,34.395342,-111.7632755
,Japan,02/01/2020 10:00,17,0,1,2020-02-01 10:00:00,34.9046568,136.6310496
,Thailand,02/01/2020 10:00,19,0,7,2020-02-01 10:00:00,18.7544594,100.624804
,South Korea,02/01/2020 10:00,12,0,0,2020-02-01 10:00:00,36.5581914,127.9408564
,Singapore,02/01/2020 10:00,18,0,0,2020-02-01 10:00:00,1.340863,103.8303918
,Vietnam,02/01/2020 10:00,6,0,1,2020-02-01 10:00:00,13.2904027,108.4265113
,France,02/01/2020 10:00,6,0,0,2020-02-01 10:00:00,45.1562575,5.4515829
,Nepal,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,28.1083929,84.0917139
,Malaysia,02/01/2020 10:00,8,0,0,2020-02-01 10:00:00,4.5693754,102.2656823
Ontario,Canada,02/01/2020 10:00,3,0,0,2020-02-01 10:00:00,50.000678,-86.000977
British Columbia,Canada,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,55.001251,-125.002441
,Cambodia,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,13.5066394,104.869423
,Sri Lanka,02/01/2020 10:00,1,0,1,2020-02-01 10:00:00,7.1895221,79.9548574
Sydney,Australia,02/01/2020 10:00,4,0,2,2020-02-01 10:00:00,-33.8548157,151.2164539
Melbourne,Australia,02/01/2020 10:00,4,0,0,2020-02-01 10:00:00,-37.8142176,144.9631608
Brisbane,Australia,02/01/2020 10:00,3,0,0,2020-02-01 10:00:00,-27.4689682,153.0234991
