Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,Continent,World,lat,lon
Beijing,China,07/02/2020 07:00,923,9,589,0,0,2020-07-02 22:00:00,325,21540000.0,Asia,Worldwide,39.906217,116.3912757
Shanghai,China,07/02/2020 07:00,713,7,677,0,0,2020-07-02 22:00:00,29,24280000.0,Asia,Worldwide,31.225298499999997,121.4890497
Gansu,China,07/02/2020 07:00,164,2,149,0,0,2020-07-02 22:00:00,13,25580000.0,Asia,Worldwide,38.0000001,101.9999999
Hebei,China,07/02/2020 07:00,349,6,334,0,0,2020-07-02 22:00:00,9,74700000.0,Asia,Worldwide,39.0000001,116.0
Sichuan,China,07/02/2020 07:00,595,3,580,0,0,2020-07-02 22:00:00,12,81100000.0,Asia,Worldwide,30.500000099999998,102.4999999
Shaanxi,China,07/02/2020 07:00,320,3,310,0,0,2020-07-02 22:00:00,7,37330000.0,Asia,Worldwide,36.0,109.0
Guangdong,China,07/02/2020 07:00,1642,8,1627,0,0,2020-07-02 22:00:00,7,113460000.0,Asia,Worldwide,23.135769399999997,113.19826880000001
Fujian,China,07/02/2020 07:00,363,1,359,0,0,2020-07-02 22:00:00,3,38560000.0,Asia,Worldwide,26.5450001,117.84277800000001
Liaoning,China,07/02/2020 07:00,155,2,148,0,0,2020-07-02 22:00:00,5,43900000.0,Asia,Worldwide,40.9739116,122.3263915
Chongqing,China,07/02/2020 07:00,582,6,573,0,0,2020-07-02 22:00:00,3,30480000.0,Asia,Worldwide,29.5585712,106.5492822
Tianjin,China,07/02/2020 07:00,198,3,194,0,0,2020-07-02 22:00:00,1,15621200.0,Asia,Worldwide,39.1235635,117.1980785
Zhejiang,China,07/02/2020 07:00,1269,1,1267,0,0,2020-07-02 22:00:00,1,57370000.0,Asia,Worldwide,29.000000099999998,119.9999999
Jiangsu,China,07/02/2020 07:00,654,0,653,0,0,2020-07-02 22:00:00,1,80400000.0,Asia,Worldwide,33.0000001,119.9999999
Hubei,China,07/02/2020 07:00,68135,4512,63623,0,0,2020-07-02 22:00:00,0,58500000.0,Asia,Worldwide,31.151725199999998,112.87832220000001
Henan,China,07/02/2020 07:00,1276,22,1254,0,0,2020-07-02 22:00:00,0,95590000.0,Asia,Worldwide,34.0000001,113.9999999
Hunan,China,07/02/2020 07:00,1019,4,1015,0,0,2020-07-02 22:00:00,0,67370000.0,Asia,Worldwide,27.6662087,111.74870630000001
Anhui,China,07/02/2020 07:00,991,6,985,0,0,2020-07-02 22:00:00,0,62000000.0,Asia,Worldwide,32.0,117.0
Heilongjiang,China,07/02/2020 07:00,945,13,932,0,0,2020-07-02 22:00:00,0,38310000.0,Asia,Worldwide,48.000004700000005,127.99999199999999
Jiangxi,China,07/02/2020 07:00,937,1,936,0,0,2020-07-02 22:00:00,0,45200000.0,Asia,Worldwide,28.0,116.0
Shandong,China,07/02/2020 07:00,792,7,785,0,0,2020-07-02 22:00:00,0,100472400.0,Asia,Worldwide,36.0000001,118.9999999
Guangxi,China,07/02/2020 07:00,254,2,252,0,0,2020-07-02 22:00:00,0,48380000.0,Asia,Worldwide,24.0,109.0
Inner Mongolia,China,07/02/2020 07:00,238,1,237,0,0,2020-07-02 22:00:00,0,24710000.0,Asia,Worldwide,43.2443242,114.32516640000001
Shanxi,China,07/02/2020 07:00,198,0,198,0,0,2020-07-02 22:00:00,0,36500000.0,Asia,Worldwide,37.0,112.0
Yunnan,China,07/02/2020 07:00,185,2,183,0,0,2020-07-02 22:00:00,0,45970000.0,Asia,Worldwide,25.0,102.0
Hainan,China,07/02/2020 07:00,171,6,163,0,0,2020-07-02 22:00:00,2,9258000.0,Asia,Worldwide,19.2000001,109.5999999
Jilin,China,07/02/2020 07:00,155,2,153,0,0,2020-07-02 22:00:00,0,27460000.0,Asia,Worldwide,42.9995032,125.9816054
Guizhou,China,07/02/2020 07:00,147,2,145,0,0,2020-07-02 22:00:00,0,34750000.0,Asia,Worldwide,27.0,107.0
Xinjiang,China,07/02/2020 07:00,76,3,73,0,0,2020-07-02 22:00:00,0,21810000.0,Asia,Worldwide,41.7574769,87.1673842
Ningxia,China,07/02/2020 07:00,75,0,75,0,0,2020-07-02 22:00:00,0,6301000.0,Asia,Worldwide,37.3095528,105.9608553
