Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated,lat,lon
Hubei,China,02/01/2020 18:00,9074,294,215,,2020-02-01 18:00:00,31.1517252,112.8783222
Zhejiang,China,02/01/2020 18:00,661,1,23,,2020-02-01 18:00:00,29.0000001,119.9999999
Guangdong,China,02/01/2020 18:00,604,0,14,,2020-02-01 18:00:00,23.1357694,113.1982688
Henan,China,02/01/2020 18:00,493,2,4,,2020-02-01 18:00:00,34.0000001,113.9999999
Hunan,China,02/01/2020 18:00,389,0,8,,2020-02-01 18:00:00,27.6662087,111.7487063
Anhui,China,02/01/2020 18:00,340,0,5,,2020-02-01 18:00:00,32.0,117.0
Jiangxi,China,02/01/2020 18:00,333,0,10,,2020-02-01 18:00:00,28.0,116.0
Chongqing,China,02/01/2020 18:00,262,1,3,,2020-02-01 18:00:00,29.5585712,106.5492822
Sichuan,China,02/01/2020 18:00,231,1,3,,2020-02-01 18:00:00,30.5000001,102.4999999
Shandong,China,02/01/2020 18:00,225,0,5,,2020-02-01 18:00:00,36.0000001,118.9999999
Jiangsu,China,02/01/2020 18:00,236,0,6,,2020-02-01 18:00:00,33.0000001,119.9999999
Shanghai,China,02/01/2020 18:00,177,1,10,,2020-02-01 18:00:00,31.2252985,121.4890497
Beijing,China,02/01/2020 18:00,168,1,9,,2020-02-01 18:00:00,39.906217,116.3912757
Fujian,China,02/01/2020 18:00,144,0,0,,2020-02-01 18:00:00,26.5450001,117.842778
Shaanxi,China,02/01/2020 18:00,101,0,0,,2020-02-01 18:00:00,36.0,109.0
Guangxi,China,02/01/2020 18:00,111,0,2,,2020-02-01 18:00:00,24.0,109.0
Hebei,China,02/01/2020 18:00,104,1,0,,2020-02-01 18:00:00,39.0000001,116.0
Yunnan,China,02/01/2020 18:00,93,0,2,,2020-02-01 18:00:00,25.0,102.0
Heilongjiang,China,02/01/2020 18:00,95,2,4,,2020-02-01 18:00:00,48.0000047,127.999992
Liaoning,China,02/01/2020 18:00,64,0,1,,2020-02-01 18:00:00,40.9739116,122.3263915
Hainan,China,02/01/2020 18:00,63,1,1,,2020-02-01 18:00:00,19.2000001,109.5999999
Shanxi,China,02/01/2020 18:00,56,0,1,,2020-02-01 18:00:00,37.0,112.0
Tianjin,China,02/01/2020 18:00,41,0,0,,2020-02-01 18:00:00,39.1235635,117.1980785
Gansu,China,02/01/2020 18:00,40,0,0,,2020-02-01 18:00:00,38.0000001,101.9999999
Guizhou,China,02/01/2020 18:00,38,0,2,,2020-02-01 18:00:00,27.0,107.0
Ningxia,China,02/01/2020 18:00,28,0,0,,2020-02-01 18:00:00,37.3095528,105.9608553
