Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/22/2020 18:30,64084,2346,15299,,2020-02-23 10:30:00,31.1517252,112.8783222
Guangdong,China,02/22/2020 18:30,1339,5,728,,2020-02-23 10:30:00,23.1357694,113.1982688
Zhejiang,China,02/22/2020 18:30,1205,1,719,,2020-02-23 10:30:00,29.0000001,119.9999999
Shandong,China,02/22/2020 18:30,750,4,302,,2020-02-23 10:30:00,36.0000001,118.9999999
Henan,China,02/22/2020 18:30,1270,19,830,,2020-02-23 10:30:00,34.0000001,113.9999999
Anhui,China,02/22/2020 18:30,989,6,597,,2020-02-23 10:30:00,32.0,117.0
Jiangxi,China,02/22/2020 18:30,934,1,555,,2020-02-23 10:30:00,28.0,116.0
Hunan,China,02/22/2020 18:30,1013,4,692,,2020-02-23 10:30:00,27.6662087,111.7487063
Heilongjiang,China,02/22/2020 18:30,479,12,204,,2020-02-23 10:30:00,48.0000047,127.999992
Sichuan,China,02/22/2020 18:30,526,3,250,,2020-02-23 10:30:00,30.5000001,102.4999999
Chongqing,China,02/22/2020 18:30,573,6,328,,2020-02-23 10:30:00,29.5585712,106.5492822
Jiangsu,China,02/22/2020 18:30,631,0,401,,2020-02-23 10:30:00,33.0000001,119.9999999
Beijing,China,02/22/2020 18:30,399,4,178,,2020-02-23 10:30:00,39.906217,116.3912757
Guangxi,China,02/22/2020 18:30,249,2,104,,2020-02-23 10:30:00,24.0,109.0
Fujian,China,02/22/2020 18:30,293,1,162,,2020-02-23 10:30:00,26.5450001,117.842778
Shanghai,China,02/22/2020 18:30,335,3,227,,2020-02-23 10:30:00,31.2252985,121.4890497
Hebei,China,02/22/2020 18:30,309,6,203,,2020-02-23 10:30:00,39.0000001,116.0
Shaanxi,China,02/22/2020 18:30,245,1,149,,2020-02-23 10:30:00,36.0,109.0
Yunnan,China,02/22/2020 18:30,174,2,107,,2020-02-23 10:30:00,25.0,102.0
Tianjin,China,02/22/2020 18:30,135,3,65,,2020-02-23 10:30:00,39.1235635,117.1980785
Hainan,China,02/22/2020 18:30,168,4,104,,2020-02-23 10:30:00,19.2000001,109.5999999
