Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Massachusetts,US,04/21/2020 07:00,39643,1809,1299,0,0,2020-04-21 22:00:00,36535,6902000.0,42.3788774,-72.03236600000001,North America,Worldwide
Pennsylvania,US,04/21/2020 07:00,34005,1357,466,0,0,2020-04-21 22:00:00,32182,12810000.0,40.9699889,-77.72788309999999,North America,Worldwide
California,US,04/21/2020 07:00,33866,1229,3337,0,0,2020-04-21 22:00:00,29300,39560000.0,36.7014631,-118.75599740000001,North America,Worldwide
Michigan,US,04/21/2020 07:00,32000,2468,3237,0,0,2020-04-21 22:00:00,26295,9996000.0,43.6211955,-84.6824346,North America,Worldwide
Illinois,US,04/21/2020 07:00,31508,1349,645,0,0,2020-04-21 22:00:00,29514,12740000.0,40.079660600000004,-89.4337288,North America,Worldwide
Florida,US,04/21/2020 07:00,27058,823,174,0,0,2020-04-21 22:00:00,26061,21300000.0,27.7567667,-81.4639835,North America,Worldwide
Louisiana,US,04/21/2020 07:00,24523,1328,0,0,0,2020-04-21 22:00:00,23195,4660000.0,30.8703881,-92.007126,North America,Worldwide
Texas,US,04/21/2020 07:00,20087,520,5707,0,0,2020-04-21 22:00:00,13860,28700000.0,31.8160381,-99.51209859999999,North America,Worldwide
Connecticut,US,04/21/2020 07:00,19815,1331,63,0,0,2020-04-21 22:00:00,18421,3573000.0,41.6500201,-72.7342163,North America,Worldwide
Georgia,US,04/21/2020 07:00,19398,774,340,0,0,2020-04-21 22:00:00,18284,10520000.0,32.329380900000004,-83.1137366,North America,Worldwide
Maryland,US,04/21/2020 07:00,13684,582,917,0,0,2020-04-21 22:00:00,12185,6043000.0,39.5162234,-76.9382069,North America,Worldwide
Ohio,US,04/21/2020 07:00,12919,509,448,0,0,2020-04-21 22:00:00,11962,11690000.0,40.225356899999994,-82.6881395,North America,Worldwide
WA,US,04/21/2020 07:00,12486,658,1782,0,0,2020-04-21 22:00:00,10046,7536000.0,47.2868352,-120.2126139,North America,Worldwide
Indiana,US,04/21/2020 07:00,11688,577,1559,0,0,2020-04-21 22:00:00,9552,6692000.0,40.327012700000004,-86.1746933,North America,Worldwide
Colorado,US,04/21/2020 07:00,10112,449,559,0,0,2020-04-21 22:00:00,9104,5696000.0,38.7251776,-105.60771670000001,North America,Worldwide
Virginia,US,04/21/2020 07:00,8990,300,721,0,0,2020-04-21 22:00:00,7969,8518000.0,37.1232245,-78.4927721,North America,Worldwide
Tennessee,US,04/21/2020 07:00,7238,152,3575,0,0,2020-04-21 22:00:00,3511,6770000.0,35.7730076,-86.28200809999998,North America,Worldwide
North Carolina,US,04/21/2020 07:00,6979,220,1247,0,0,2020-04-21 22:00:00,5512,10380000.0,35.6729639,-79.03929190000001,North America,Worldwide
Missouri,US,04/21/2020 07:00,5963,215,1217,0,0,2020-04-21 22:00:00,4531,6126000.0,38.7604815,-92.5617875,North America,Worldwide
Rhode Island,US,04/21/2020 07:00,5090,155,0,0,0,2020-04-21 22:00:00,4935,1057000.0,41.7962409,-71.59923719999999,North America,Worldwide
Alabama,US,04/21/2020 07:00,5078,164,0,0,0,2020-04-21 22:00:00,4914,4888000.0,33.258881699999996,-86.8295337,North America,Worldwide
Arizona,US,04/21/2020 07:00,5068,191,6,0,0,2020-04-21 22:00:00,4871,7172000.0,34.395342,-111.76327549999999,North America,Worldwide
Wisconsin,US,04/21/2020 07:00,4541,234,196,0,0,2020-04-21 22:00:00,4111,5814000.0,44.4308975,-89.6884637,North America,Worldwide
Mississippi,US,04/21/2020 07:00,4512,169,0,0,0,2020-04-21 22:00:00,4343,2987000.0,32.9715645,-89.7348497,North America,Worldwide
South Carolina,US,04/21/2020 07:00,4439,124,0,0,0,2020-04-21 22:00:00,4315,5084000.0,33.687438799999995,-80.4363743,North America,Worldwide
Nevada,US,04/21/2020 07:00,3830,163,1958,0,0,2020-04-21 22:00:00,1709,3034000.0,39.515882500000004,-116.85372269999999,North America,Worldwide
Utah,US,04/21/2020 07:00,3213,28,218,0,0,2020-04-21 22:00:00,2967,3161000.0,39.4225192,-111.71435840000001,North America,Worldwide
Iowa,US,04/21/2020 07:00,3159,79,1171,0,0,2020-04-21 22:00:00,1909,3156000.0,41.9216734,-93.3122705,North America,Worldwide
Kentucky,US,04/21/2020 07:00,3050,154,1174,0,0,2020-04-21 22:00:00,1722,4468000.0,37.5726028,-85.1551411,North America,Worldwide
Washington DC,US,04/21/2020 07:00,2927,105,630,0,0,2020-04-21 22:00:00,2192,633427.0,38.894893200000006,-77.0365529,North America,Worldwide
Delaware,US,04/21/2020 07:00,2745,72,495,0,0,2020-04-21 22:00:00,2178,967171.0,38.6920451,-75.4013315,North America,Worldwide
Oklahoma,US,04/21/2020 07:00,2680,143,1614,0,0,2020-04-21 22:00:00,923,3943000.0,34.9550817,-97.2684063,North America,Worldwide
Minnesota,US,04/21/2020 07:00,2470,143,1160,0,0,2020-04-21 22:00:00,1167,5611000.0,45.98965870000001,-94.6113288,North America,Worldwide
Kansas,US,04/21/2020 07:00,2065,102,444,0,0,2020-04-21 22:00:00,1519,2912000.0,38.27312,-98.58218719999999,North America,Worldwide
Arkansas,US,04/21/2020 07:00,1971,42,726,0,0,2020-04-21 22:00:00,1203,3014000.0,35.2048883,-92.4479108,North America,Worldwide
New Mexico,US,04/21/2020 07:00,1971,58,465,0,0,2020-04-21 22:00:00,1448,2095000.0,34.5708167,-105.993007,North America,Worldwide
Oregon,US,04/21/2020 07:00,1956,75,42,0,0,2020-04-21 22:00:00,1839,4191000.0,43.9792797,-120.737257,North America,Worldwide
Idaho,US,04/21/2020 07:00,1736,48,660,0,0,2020-04-21 22:00:00,1028,1754000.0,43.644764200000004,-114.0154071,North America,Worldwide
South Dakota,US,04/21/2020 07:00,1685,7,709,0,0,2020-04-21 22:00:00,969,882235.0,44.6471761,-100.348761,North America,Worldwide
Nebraska,US,04/21/2020 07:00,1648,33,0,0,0,2020-04-21 22:00:00,1615,1929000.0,41.7370229,-99.5873816,North America,Worldwide
New Hampshire,US,04/21/2020 07:00,1447,42,521,0,0,2020-04-21 22:00:00,884,1356000.0,43.484913299999995,-71.6553992,North America,Worldwide
Navajo Nation,US,04/21/2020 07:00,1321,45,0,0,0,2020-04-21 22:00:00,1276,356890.0,36.3089731,-109.32568799999999,North America,Worldwide
Puerto Rico,US,04/21/2020 07:00,1252,63,0,0,0,2020-04-21 22:00:00,1189,3195000.0,18.2214149,-66.4132818,North America,Worldwide
