Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/09/2020 06:00,27100,1476,780,,2020-02-09 22:00:00,31.1517252,112.8783222
Guangdong,China,02/09/2020 06:00,1131,128,1,,2020-02-09 22:00:00,23.1357694,113.1982688
Zhejiang,China,02/09/2020 06:00,1075,191,0,,2020-02-09 22:00:00,29.0000001,119.9999999
Henan,China,02/09/2020 06:00,1033,137,6,,2020-02-09 22:00:00,34.0000001,113.9999999
Hunan,China,02/09/2020 06:00,838,177,1,,2020-02-09 22:00:00,27.6662087,111.7487063
Anhui,China,02/09/2020 06:00,779,72,1,,2020-02-09 22:00:00,32.0,117.0
Jiangxi,China,02/09/2020 06:00,740,72,0,,2020-02-09 22:00:00,28.0,116.0
Jiangsu,China,02/09/2020 06:00,468,70,0,,2020-02-09 22:00:00,33.0000001,119.9999999
Chongqing,China,02/09/2020 06:00,450,50,2,,2020-02-09 22:00:00,29.5585712,106.5492822
Shandong,China,02/09/2020 06:00,444,57,1,,2020-02-09 22:00:00,36.0000001,118.9999999
Sichuan,China,02/09/2020 06:00,386,70,1,,2020-02-09 22:00:00,30.5000001,102.4999999
Beijing,China,02/09/2020 06:00,326,37,2,,2020-02-09 22:00:00,39.906217,116.3912757
Heilongjiang,China,02/09/2020 06:00,307,14,6,,2020-02-09 22:00:00,48.0000047,127.999992
Shanghai,China,02/09/2020 06:00,293,44,1,,2020-02-09 22:00:00,31.2252985,121.4890497
Fujian,China,02/09/2020 06:00,250,35,0,,2020-02-09 22:00:00,26.5450001,117.842778
Shaanxi,China,02/09/2020 06:00,208,25,0,,2020-02-09 22:00:00,36.0,109.0
Hebei,China,02/09/2020 06:00,206,32,2,,2020-02-09 22:00:00,39.0000001,116.0
Guangxi,China,02/09/2020 06:00,195,18,1,,2020-02-09 22:00:00,24.0,109.0
Yunnan,China,02/09/2020 06:00,141,18,0,,2020-02-09 22:00:00,25.0,102.0
Hainan,China,02/09/2020 06:00,130,16,3,,2020-02-09 22:00:00,19.2000001,109.5999999
Shanxi,China,02/09/2020 06:00,115,22,0,,2020-02-09 22:00:00,37.0,112.0
Liaoning,China,02/09/2020 06:00,106,12,0,,2020-02-09 22:00:00,40.9739116,122.3263915
Guizhou,China,02/09/2020 06:00,99,7,1,,2020-02-09 22:00:00,27.0,107.0
Tianjin,China,02/09/2020 06:00,90,4,1,,2020-02-09 22:00:00,39.1235635,117.1980785
Gansu,China,02/09/2020 06:00,79,14,1,,2020-02-09 22:00:00,38.0000001,101.9999999
Jilin,China,02/09/2020 06:00,78,7,1,,2020-02-09 22:00:00,42.9995032,125.9816054
Yokohama,Japan,02/09/2020 06:00,70,0,0,,2020-02-09 22:00:00,35.444991,139.636768
