Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,03/06/2020  06:00,67952,2931,41966,2020-03-06 22:00:00,31.1517252,112.8783222
Guangdong,China,03/06/2020  06:00,1351,7,1212,2020-03-06 22:00:00,23.1357694,113.1982688
Zhejiang,China,03/06/2020  06:00,1215,1,1147,2020-03-06 22:00:00,29.0000001,119.9999999
Shandong,China,03/06/2020  06:00,758,6,618,2020-03-06 22:00:00,36.0000001,118.9999999
Henan,China,03/06/2020  06:00,1272,22,1243,2020-03-06 22:00:00,34.0000001,113.9999999
Anhui,China,03/06/2020  06:00,990,6,979,2020-03-06 22:00:00,32.0,117.0
Jiangxi,China,03/06/2020  06:00,935,1,908,2020-03-06 22:00:00,28.0,116.0
Hunan,China,03/06/2020  06:00,1018,4,955,2020-03-06 22:00:00,27.6662087,111.7487063
Heilongjiang,China,03/06/2020  06:00,481,13,381,2020-03-06 22:00:00,48.0000047,127.999992
Sichuan,China,03/06/2020  06:00,539,3,435,2020-03-06 22:00:00,30.5000001,102.4999999
Chongqing,China,03/06/2020  06:00,576,6,513,2020-03-06 22:00:00,29.5585712,106.5492822
Jiangsu,China,03/06/2020  06:00,631,0,594,2020-03-06 22:00:00,33.0000001,119.9999999
Beijing,China,03/06/2020  06:00,422,8,298,2020-03-06 22:00:00,39.906217,116.3912757
Guangxi,China,03/06/2020  06:00,252,2,217,2020-03-06 22:00:00,24.0,109.0
Fujian,China,03/06/2020  06:00,296,1,282,2020-03-06 22:00:00,26.5450001,117.842778
Shanghai,China,03/06/2020  06:00,339,3,306,2020-03-06 22:00:00,31.2252985,121.4890497
Hebei,China,03/06/2020  06:00,318,6,305,2020-03-06 22:00:00,39.0000001,116.0
Shaanxi,China,03/06/2020  06:00,245,1,226,2020-03-06 22:00:00,36.0,109.0
Yunnan,China,03/06/2020  06:00,174,2,170,2020-03-06 22:00:00,25.0,102.0
Tianjin,China,03/06/2020  06:00,136,3,128,2020-03-06 22:00:00,39.1235635,117.1980785
Hainan,China,03/06/2020  06:00,168,6,158,2020-03-06 22:00:00,19.2000001,109.5999999
Guizhou,China,03/06/2020  06:00,146,2,114,2020-03-06 22:00:00,27.0,107.0
Liaoning,China,03/06/2020  06:00,125,1,106,2020-03-06 22:00:00,40.9739116,122.3263915
Shanxi,China,03/06/2020  06:00,133,0,126,2020-03-06 22:00:00,37.0,112.0
Inner Mongolia,China,03/06/2020  06:00,75,1,65,2020-03-06 22:00:00,43.2443242,114.3251664
Xinjiang,China,03/06/2020  06:00,76,3,71,2020-03-06 22:00:00,41.7574769,87.1673842
Jilin,China,03/06/2020  06:00,93,1,90,2020-03-06 22:00:00,42.9995032,125.9816054
Ningxia,China,03/06/2020  06:00,74,0,69,2020-03-06 22:00:00,37.3095528,105.9608553
Gansu,China,03/06/2020  06:00,102,2,87,2020-03-06 22:00:00,38.0000001,101.9999999
Qinghai,China,03/06/2020  06:00,18,0,18,2020-03-06 22:00:00,35.4070952,95.9521157
Tibet,China,03/06/2020  06:00,1,0,1,2020-03-06 22:00:00,31.8943432,87.0781371
,South Korea,03/06/2020  06:00,6593,42,135,2020-03-06 22:00:00,35.8713,128.6018
,Italy,03/06/2020  06:00,3858,148,414,2020-03-06 22:00:00,45.6209,9.768893
,Iran,03/06/2020  06:00,3513,108,739,2020-03-06 22:00:00,32.6475314,54.5643516
Yokohama,Japan,03/06/2020  06:00,696,6,212,2020-03-06 22:00:00,35.444991,139.636768
,Germany,03/06/2020  06:00,577,0,17,2020-03-06 22:00:00,51.0834196,10.4234469
,France,03/06/2020  06:00,423,7,12,2020-03-06 22:00:00,46.603354,1.8883335
,Japan,03/06/2020  06:00,381,6,43,2020-03-06 22:00:00,36.5748441,139.2394179
,Spain,03/06/2020  06:00,329,3,3,2020-03-06 22:00:00,39.3262345,-4.8380649
,Switzerland,03/06/2020  06:00,132,1,3,2020-03-06 22:00:00,46.7985624,8.2319736
,Singapore,03/06/2020  06:00,117,0,81,2020-03-06 22:00:00,1.340863,103.8303918
,UK,03/06/2020  06:00,116,1,18,2020-03-06 22:00:00,54.7023545,-3.2765753
Hong Kong,Hong Kong,03/06/2020  06:00,105,2,46,2020-03-06 22:00:00,22.2793278,114.1628131
,Norway,03/06/2020  06:00,101,0,0,2020-03-06 22:00:00,60.5000209,9.0999715
,Sweden,03/06/2020  06:00,101,0,1,2020-03-06 22:00:00,59.6749712,14.5208584
,Malaysia,03/06/2020  06:00,83,0,22,2020-03-06 22:00:00,4.5693754,102.2656823
,Netherlands,03/06/2020  06:00,82,1,0,2020-03-06 22:00:00,52.5001698,5.7480821
,Kuwait,03/06/2020  06:00,58,0,0,2020-03-06 22:00:00,29.2733964,47.4979476
,Bahrain,03/06/2020  06:00,55,0,4,2020-03-06 22:00:00,26.1551249,50.5344606
Brussels,Belgium,03/06/2020  06:00,50,0,1,2020-03-06 22:00:00,50.8436709,4.3674367
