Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,03/08/2020 06:00,67707,2986,45153,2020-03-08 22:00:00,31.151725199999998,112.87832220000001
Guangdong,China,03/08/2020 06:00,1352,7,1252,2020-03-08 22:00:00,23.135769399999997,113.19826880000001
Zhejiang,China,03/08/2020 06:00,1215,1,1161,2020-03-08 22:00:00,29.000000099999998,119.9999999
Shandong,China,03/08/2020 06:00,758,6,642,2020-03-08 22:00:00,36.0000001,118.9999999
Henan,China,03/08/2020 06:00,1272,22,1247,2020-03-08 22:00:00,34.0000001,113.9999999
Anhui,China,03/08/2020 06:00,990,6,984,2020-03-08 22:00:00,32.0,117.0
Jiangxi,China,03/08/2020 06:00,935,1,919,2020-03-08 22:00:00,28.0,116.0
Hunan,China,03/08/2020 06:00,1018,4,966,2020-03-08 22:00:00,27.6662087,111.74870630000001
Heilongjiang,China,03/08/2020 06:00,481,13,409,2020-03-08 22:00:00,48.00000470000001,127.99999199999999
Sichuan,China,03/08/2020 06:00,539,3,459,2020-03-08 22:00:00,30.500000099999998,102.4999999
Chongqing,China,03/08/2020 06:00,576,6,526,2020-03-08 22:00:00,29.5585712,106.5492822
Jiangsu,China,03/08/2020 06:00,631,0,612,2020-03-08 22:00:00,33.0000001,119.9999999
Beijing,China,03/08/2020 06:00,428,8,308,2020-03-08 22:00:00,39.906217,116.3912757
Guangxi,China,03/08/2020 06:00,252,2,223,2020-03-08 22:00:00,24.0,109.0
Fujian,China,03/08/2020 06:00,296,1,295,2020-03-08 22:00:00,26.5450001,117.84277800000001
Shanghai,China,03/08/2020 06:00,342,3,314,2020-03-08 22:00:00,31.225298499999997,121.4890497
Hebei,China,03/08/2020 06:00,318,6,307,2020-03-08 22:00:00,39.0000001,116.0
Shaanxi,China,03/08/2020 06:00,245,1,226,2020-03-08 22:00:00,36.0,109.0
Yunnan,China,03/08/2020 06:00,174,2,170,2020-03-08 22:00:00,25.0,102.0
Tianjin,China,03/08/2020 06:00,136,3,128,2020-03-08 22:00:00,39.1235635,117.1980785
Hainan,China,03/08/2020 06:00,168,6,159,2020-03-08 22:00:00,19.2000001,109.5999999
Guizhou,China,03/08/2020 06:00,146,2,117,2020-03-08 22:00:00,27.0,107.0
Liaoning,China,03/08/2020 06:00,125,1,109,2020-03-08 22:00:00,40.9739116,122.3263915
Shanxi,China,03/08/2020 06:00,133,0,126,2020-03-08 22:00:00,37.0,112.0
Inner Mongolia,China,03/08/2020 06:00,75,1,70,2020-03-08 22:00:00,43.2443242,114.32516640000001
Xinjiang,China,03/08/2020 06:00,76,3,73,2020-03-08 22:00:00,41.7574769,87.1673842
Jilin,China,03/08/2020 06:00,93,1,90,2020-03-08 22:00:00,42.9995032,125.9816054
Ningxia,China,03/08/2020 06:00,75,0,71,2020-03-08 22:00:00,37.3095528,105.9608553
Gansu,China,03/08/2020 06:00,120,2,87,2020-03-08 22:00:00,38.0000001,101.9999999
Qinghai,China,03/08/2020 06:00,18,0,18,2020-03-08 22:00:00,35.40709520000001,95.95211570000001
Tibet,China,03/08/2020 06:00,1,0,1,2020-03-08 22:00:00,31.894343199999998,87.07813709999998
Queensland,Australia,03/08/2020 06:00,15,0,8,2020-03-08 22:00:00,-27.468968199999996,153.02349909999995
New South Wales,Australia,03/08/2020 06:00,40,2,5,2020-03-08 22:00:00,-33.8548157,151.2164539
Victoria,Australia,03/08/2020 06:00,12,0,7,2020-03-08 22:00:00,-37.814217600000006,144.9631608
South Australia,Australia,03/08/2020 06:00,7,0,2,2020-03-08 22:00:00,-34.928180499999996,138.5999312
Western Australia,Australia,03/08/2020 06:00,4,1,0,2020-03-08 22:00:00,-31.95271210000001,115.86047959999999
Tasmania,Australia,03/08/2020 06:00,2,0,0,2020-03-08 22:00:00,-42.8825088,147.3281233
WA,US,03/08/2020 06:00,110,16,1,2020-03-08 22:00:00,47.2868352,-120.2126139
California,US,03/08/2020 06:00,108,1,2,2020-03-08 22:00:00,36.7014631,-118.75599740000001
New York,US,03/08/2020 06:00,89,0,0,2020-03-08 22:00:00,40.7127281,-74.0060152
From Diamond Princess cruise,US,03/08/2020 06:00,42,0,0,2020-03-08 22:00:00,41.258745899999994,-95.93837579999999
Texas,US,03/08/2020 06:00,13,0,0,2020-03-08 22:00:00,31.8160381,-99.51209859999999
Massachusetts,US,03/08/2020 06:00,13,0,1,2020-03-08 22:00:00,42.3788774,-72.03236600000002
Florida,US,03/08/2020 06:00,12,2,0,2020-03-08 22:00:00,27.7567667,-81.4639835
Colorado,US,03/08/2020 06:00,8,0,0,2020-03-08 22:00:00,38.7251776,-105.60771670000001
