Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/09/2020 21:00,29631,871,1795,
Guangdong,Mainland China,2/09/2020 21:00,1131,1,141,
Zhejiang,Mainland China,2/09/2020 21:00,1092,0,201,
Henan,Mainland China,2/09/2020 21:00,1073,6,169,
Hunan,Mainland China,2/09/2020 21:00,879,1,186,
Anhui,Mainland China,2/09/2020 21:00,830,3,73,
Jiangxi,Mainland China,2/09/2020 21:00,771,1,102,
Jiangsu,Mainland China,2/09/2020 21:00,492,0,72,
Chongqing,Mainland China,2/09/2020 21:00,468,2,51,
Shandong,Mainland China,2/09/2020 21:00,459,1,63,
Sichuan,Mainland China,2/09/2020 21:00,405,1,76,
Beijing,Mainland China,2/09/2020 21:00,326,2,37,
Heilongjiang,Mainland China,2/09/2020 21:00,331,7,15,
Shanghai,Mainland China,2/09/2020 21:00,295,1,44,
Fujian,Mainland China,2/09/2020 21:00,261,0,35,
Shaanxi,Mainland China,2/09/2020 21:00,208,0,25,
Hebei,Mainland China,2/09/2020 21:00,218,2,35,
Guangxi,Mainland China,2/09/2020 21:00,210,1,18,
Yunnan,Mainland China,2/09/2020 21:00,141,0,18,
Hainan,Mainland China,2/09/2020 21:00,136,3,19,
Shanxi,Mainland China,2/09/2020 21:00,119,0,25,
Liaoning,Mainland China,2/09/2020 21:00,107,0,12,
Guizhou,Mainland China,2/09/2020 21:00,109,1,7,
Tianjin,Mainland China,2/09/2020 21:00,91,1,4,
Gansu,Mainland China,2/09/2020 21:00,83,2,16,
Jilin,Mainland China,2/09/2020 21:00,80,1,12,
Yokohama,Japan,2/09/2020 21:00,70,0,0,
Inner Mongolia,Mainland China,2/09/2020 21:00,54,0,5,
Ningxia,Mainland China,2/09/2020 21:00,49,0,13,
Xinjiang,Mainland China,2/09/2020 21:00,49,0,0,
,Singapore,2/09/2020 21:00,43,0,6,
,Thailand,2/09/2020 21:00,32,0,10,
Hong Kong,Hong Kong,2/09/2020 21:00,36,1,0,
,South Korea,2/09/2020 21:00,27,0,3,
,Japan,2/09/2020 21:00,26,0,4,
Qinghai,Mainland China,2/09/2020 21:00,18,0,3,
Taiwan,Taiwan,2/09/2020 21:00,18,0,1,
,Malaysia,2/09/2020 21:00,17,0,3,
,Germany,2/09/2020 21:00,14,0,0,
,Vietnam,2/09/2020 21:00,14,0,3,
,France,2/09/2020 21:00,11,0,0,
Macau,Macau,2/09/2020 21:00,10,0,1,
,United Arab Emirates,2/09/2020 21:00,7,0,0,
California,US,2/09/2020 21:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/09/2020 21:00,5,0,0,
New South Wales,Australia,2/09/2020 21:00,4,0,3,
Victoria,Australia,2/09/2020 21:00,4,0,2,
British Columbia,Canada,2/09/2020 21:00,4,0,0,
Ontario,Canada,2/09/2020 21:00,3,0,0,
,India,2/09/2020 21:00,3,0,0,
,Philippines,2/09/2020 21:00,3,1,2,
,UK,2/09/2020 21:00,4,0,0,
,Italy,2/09/2020 21:00,3,0,0,
,Russia,2/09/2020 21:00,2,0,0,
Illinois,US,2/09/2020 21:00,2,0,2,Chicago
South Australia,Australia,2/09/2020 21:00,2,0,0,
,Cambodia,2/09/2020 21:00,1,0,1,
,Finland,2/09/2020 21:00,1,0,1,
,Sri Lanka,2/09/2020 21:00,1,0,1,
Tibet,Mainland China,2/09/2020 21:00,1,0,0,
,Nepal,2/09/2020 21:00,1,0,0,
,Spain,2/09/2020 21:00,2,0,0,
,Sweden,2/09/2020 21:00,1,0,0,
Massachusetts,US,2/09/2020 21:00,1,0,0,Boston
WA,US,2/09/2020 21:00,1,0,0,Seattle
Arizona,US,2/09/2020 21:00,1,0,0,Tempe
Brussels,Belgium,2/09/2020 21:00,1,0,0,
WI,US,2/09/2020 21:00,1,0,0,Madison
