Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,Continent,World,lat,lon
Illinois,US,06/09/2020 07:00,128440,5924,70558,0,0,2020-06-09 22:00:00,51958,12740000.0,North America,Worldwide,40.079660600000004,-89.4337288
Massachusetts,US,06/09/2020 07:00,103626,7353,30437,0,0,2020-06-09 22:00:00,65836,6902000.0,North America,Worldwide,42.3788774,-72.03236600000001
Pennsylvania,US,06/09/2020 07:00,80339,5953,1369,0,0,2020-06-09 22:00:00,73017,12810000.0,North America,Worldwide,40.9699889,-77.72788309999999
Texas,US,06/09/2020 07:00,76463,1848,50439,0,0,2020-06-09 22:00:00,24176,28700000.0,North America,Worldwide,31.8160381,-99.51209859999999
Michigan,US,06/09/2020 07:00,64701,5912,42041,0,0,2020-06-09 22:00:00,16748,9996000.0,North America,Worldwide,43.6211955,-84.6824346
Florida,US,06/09/2020 07:00,64904,2713,381,0,0,2020-06-09 22:00:00,61810,21300000.0,North America,Worldwide,27.7567667,-81.4639835
Maryland,US,06/09/2020 07:00,58404,2776,4240,0,0,2020-06-09 22:00:00,51388,6043000.0,North America,Worldwide,39.5162234,-76.9382069
Georgia,US,06/09/2020 07:00,52525,2209,340,0,0,2020-06-09 22:00:00,49976,10520000.0,North America,Worldwide,32.329380900000004,-83.1137366
Virginia,US,06/09/2020 07:00,51251,1478,6557,0,0,2020-06-09 22:00:00,43216,8518000.0,North America,Worldwide,37.1232245,-78.4927721
Connecticut,US,06/09/2020 07:00,44093,4084,63,0,0,2020-06-09 22:00:00,39946,3573000.0,North America,Worldwide,41.6500201,-72.7342163
Louisiana,US,06/09/2020 07:00,43050,2944,33904,0,0,2020-06-09 22:00:00,6202,4660000.0,North America,Worldwide,30.8703881,-92.007126
Ohio,US,06/09/2020 07:00,38838,2406,5090,0,0,2020-06-09 22:00:00,31342,11690000.0,North America,Worldwide,40.225356899999994,-82.6881395
Indiana,US,06/09/2020 07:00,37623,2316,2159,0,0,2020-06-09 22:00:00,33148,6692000.0,North America,Worldwide,40.327012700000004,-86.1746933
North Carolina,US,06/09/2020 07:00,36518,1041,18860,0,0,2020-06-09 22:00:00,16617,10380000.0,North America,Worldwide,35.6729639,-79.03929190000001
Colorado,US,06/09/2020 07:00,28033,1543,2404,0,0,2020-06-09 22:00:00,24086,5696000.0,North America,Worldwide,38.7251776,-105.60771670000001
Minnesota,US,06/09/2020 07:00,28224,1208,23657,0,0,2020-06-09 22:00:00,3359,5611000.0,North America,Worldwide,45.98965870000001,-94.6113288
Tennessee,US,06/09/2020 07:00,27005,421,17560,0,0,2020-06-09 22:00:00,9024,6770000.0,North America,Worldwide,35.7730076,-86.28200809999998
WA,US,06/09/2020 07:00,24777,1162,5149,0,0,2020-06-09 22:00:00,18466,7536000.0,North America,Worldwide,47.2868352,-120.2126139
Arizona,US,06/09/2020 07:00,27678,1053,174,0,0,2020-06-09 22:00:00,26451,7172000.0,North America,Worldwide,34.395342,-111.76327549999999
Iowa,US,06/09/2020 07:00,22007,617,13182,0,0,2020-06-09 22:00:00,8208,3156000.0,North America,Worldwide,41.9216734,-93.3122705
Wisconsin,US,06/09/2020 07:00,21038,647,14242,0,0,2020-06-09 22:00:00,6149,5814000.0,North America,Worldwide,44.4308975,-89.6884637
