Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/08/2020 18:00,67803,3213,64142,2020-04-09 09:00:00,448,58500000.0,31.151725199999998,112.87832220000001
Beijing,China,04/08/2020 18:00,588,8,455,2020-04-09 09:00:00,125,21540000.0,39.906217,116.3912757
Shanghai,China,04/08/2020 18:00,543,6,406,2020-04-09 09:00:00,131,24280000.0,31.225298499999997,121.4890497
Guangdong,China,04/08/2020 18:00,1536,8,1411,2020-04-09 09:00:00,117,113460000.0,23.135769399999997,113.19826880000001
Fujian,China,04/08/2020 18:00,351,1,307,2020-04-09 09:00:00,43,38560000.0,26.5450001,117.84277800000001
Inner Mongolia,China,04/08/2020 18:00,124,1,74,2020-04-09 09:00:00,49,24710000.0,43.2443242,114.32516640000001
Heilongjiang,China,04/08/2020 18:00,569,13,470,2020-04-09 09:00:00,86,38310000.0,48.00000470000001,127.99999199999999
Zhejiang,China,04/08/2020 18:00,1266,1,1232,2020-04-09 09:00:00,33,57370000.0,29.000000099999998,119.9999999
Tianjin,China,04/08/2020 18:00,180,3,152,2020-04-09 09:00:00,25,15621200.0,39.1235635,117.1980785
Shandong,China,04/08/2020 18:00,783,7,755,2020-04-09 09:00:00,21,100472400.0,36.0000001,118.9999999
Jiangsu,China,04/08/2020 18:00,651,0,633,2020-04-09 09:00:00,18,80400000.0,33.0000001,119.9999999
Sichuan,China,04/08/2020 18:00,560,3,541,2020-04-09 09:00:00,16,81100000.0,30.500000099999998,102.4999999
Liaoning,China,04/08/2020 18:00,144,2,131,2020-04-09 09:00:00,11,43900000.0,40.9739116,122.3263915
Hebei,China,04/08/2020 18:00,327,6,312,2020-04-09 09:00:00,9,74700000.0,39.0000001,116.0
Yunnan,China,04/08/2020 18:00,184,2,173,2020-04-09 09:00:00,9,45970000.0,25.0,102.0
Shaanxi,China,04/08/2020 18:00,256,3,246,2020-04-09 09:00:00,7,37330000.0,36.0,109.0
Gansu,China,04/08/2020 18:00,139,2,133,2020-04-09 09:00:00,4,25580000.0,38.0000001,101.9999999
Shanxi,China,04/08/2020 18:00,163,0,134,2020-04-09 09:00:00,29,36500000.0,37.0,112.0
Jilin,China,04/08/2020 18:00,98,1,92,2020-04-09 09:00:00,5,27460000.0,42.9995032,125.9816054
Chongqing,China,04/08/2020 18:00,579,6,570,2020-04-09 09:00:00,3,30480000.0,29.5585712,106.5492822
Henan,China,04/08/2020 18:00,1276,22,1252,2020-04-09 09:00:00,2,95590000.0,34.0000001,113.9999999
Hunan,China,04/08/2020 18:00,1019,4,1014,2020-04-09 09:00:00,1,67370000.0,27.6662087,111.74870630000001
Jiangxi,China,04/08/2020 18:00,937,1,935,2020-04-09 09:00:00,1,45200000.0,28.0,116.0
Guizhou,China,04/08/2020 18:00,147,2,144,2020-04-09 09:00:00,1,34750000.0,27.0,107.0
Anhui,China,04/08/2020 18:00,990,6,984,2020-04-09 09:00:00,0,62000000.0,32.0,117.0
Guangxi,China,04/08/2020 18:00,254,2,252,2020-04-09 09:00:00,0,48380000.0,24.0,109.0
Hainan,China,04/08/2020 18:00,168,6,162,2020-04-09 09:00:00,0,9258000.0,19.2000001,109.5999999
Xinjiang,China,04/08/2020 18:00,76,3,73,2020-04-09 09:00:00,0,21810000.0,41.7574769,87.1673842
Ningxia,China,04/08/2020 18:00,75,0,75,2020-04-09 09:00:00,0,6301000.0,37.3095528,105.9608553
Qinghai,China,04/08/2020 18:00,18,0,18,2020-04-09 09:00:00,0,5627000.0,35.40709520000001,95.95211570000001
Tibet,China,04/08/2020 18:00,1,0,1,2020-04-09 09:00:00,0,3180000.0,31.894343199999998,87.07813709999998
New South Wales,Australia,04/08/2020 18:00,2773,20,4,2020-04-09 09:00:00,2749,7544000.0,-33.8548157,151.2164539
Queensland,Australia,04/08/2020 18:00,943,5,173,2020-04-09 09:00:00,765,5071000.0,-27.468968199999996,153.02349909999995
Victoria,Australia,04/08/2020 18:00,1212,12,736,2020-04-09 09:00:00,464,6359000.0,-37.814217600000006,144.9631608
