Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Baden-Württemberg,Germany,36731,,,,,1839,2020-07-24,11072030,Europe,Worldwide,48.6296972,9.1949534
Bavaria,Germany,50112,,,,,2619,2020-07-24,13068686,Europe,Worldwide,48.9467562,11.4038717
Berlin,Germany,8894,,,,,222,2020-07-24,3740845,Europe,Worldwide,52.517036499999996,13.388859900000002
Brandenburg,Germany,3523,,,,,168,2020-07-24,2514736,Europe,Worldwide,52.84554920000001,13.2461296
Bremen,Germany,1733,,,,,55,2020-07-24,685714,Europe,Worldwide,53.14486899999999,8.6932343
Hamburg,Germany,5275,,,,,261,2020-07-24,1843859,Europe,Worldwide,53.550341,10.000653999999999
Hesse,Germany,11591,,,,,517,2020-07-24,6254237,Europe,Worldwide,50.611853700000005,9.1909725
Lower Saxony,Germany,14185,,,,,647,2020-07-24,7962068,Europe,Worldwide,52.8398531,9.075961999999999
Mecklenburg-Vorpommern,Germany,826,,,,,20,2020-07-24,1635000,Europe,Worldwide,53.773523399999995,12.5755746
North Rhine-Westphalia,Germany,46956,,,,,1726,2020-07-24,17967261,Europe,Worldwide,51.478179600000004,7.5542336
Rhineland-Palatinate,Germany,7397,,,,,238,2020-07-24,4082481,Europe,Worldwide,49.953159899999996,7.310646
Saarland,Germany,2841,,,,,174,2020-07-24,990376,Europe,Worldwide,49.417398799999994,6.9805789
Saxony,Germany,5506,,,,,225,2020-07-24,4069523,Europe,Worldwide,50.92957979999999,13.4585052
Saxony-Anhalt,Germany,1975,,,,,63,2020-07-24,2214285,Europe,Worldwide,51.908526,11.4939134
Schleswig-Holstein,Germany,3299,,,,,155,2020-07-24,2902325,Europe,Worldwide,54.1853998,9.8220089
Thuringia,Germany,3339,,,,,182,2020-07-24,2151724,Europe,Worldwide,50.73331629999999,11.0747905
