Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/06/2020 03:00,19665,671,549,
Zhejiang,Mainland China,2/06/2020 03:00,954,82,0,
Guangdong,Mainland China,2/06/2020 03:00,944,52,0,
Henan,Mainland China,2/06/2020 03:00,851,59,2,
Hunan,Mainland China,2/06/2020 03:00,711,67,0,
Jiangxi,Mainland China,2/06/2020 03:00,600,37,0,
Anhui,Mainland China,2/06/2020 03:00,591,34,0,
Chongqing,Mainland China,2/06/2020 03:00,389,15,2,
Jiangsu,Mainland China,2/06/2020 03:00,373,29,0,
Shandong,Mainland China,2/06/2020 03:00,347,21,0,
Sichuan,Mainland China,2/06/2020 03:00,321,28,1,
Shanghai,Mainland China,2/06/2020 03:00,257,25,1,
Beijing,Mainland China,2/06/2020 03:00,274,31,1,
Fujian,Mainland China,2/06/2020 03:00,215,11,0,
Heilongjiang,Mainland China,2/06/2020 03:00,227,8,3,
Shaanxi,Mainland China,2/06/2020 03:00,173,7,0,
Hebei,Mainland China,2/06/2020 03:00,157,9,1,
Guangxi,Mainland China,2/06/2020 03:00,168,14,0,
Yunnan,Mainland China,2/06/2020 03:00,128,6,0,
Hainan,Mainland China,2/06/2020 03:00,106,5,1,
Shanxi,Mainland China,2/06/2020 03:00,90,8,0,
Liaoning,Mainland China,2/06/2020 03:00,89,4,0,
Tianjin,Mainland China,2/06/2020 03:00,78,2,1,
Guizhou,Mainland China,2/06/2020 03:00,69,6,1,
Gansu,Mainland China,2/06/2020 03:00,62,6,0,
Jilin,Mainland China,2/06/2020 03:00,59,2,0,
Inner Mongolia,Mainland China,2/06/2020 03:00,46,4,0,
,Japan,2/06/2020 20:00,25,1,0,
Yokohama,Japan,2/06/2020 21:30,20,0,0,
Ningxia,Mainland China,2/06/2020 03:00,40,1,0,
Xinjiang,Mainland China,2/06/2020 03:00,36,0,0,
,Singapore,2/06/2020 03:00,28,1,0,
,Thailand,2/06/2020 03:00,25,8,0,
Hong Kong,Hong Kong,2/06/2020 03:00,21,0,1,
,South Korea,2/06/2020 03:00,23,1,0,
Qinghai,Mainland China,2/06/2020 03:00,18,3,0,
,Germany,2/06/2020 03:00,12,0,0,
,Malaysia,2/06/2020 03:00,12,1,0,
Taiwan,Taiwan,2/06/2020 03:00,13,0,0,
Macau,Macau,2/06/2020 03:00,10,0,0,
,Vietnam,2/06/2020 03:00,10,3,0,"San Benito, Los Angeles, Orange, Santa Clara"
,France,2/06/2020 03:00,6,0,0,
California,US,2/06/2020 03:00,6,0,0,
,United Arab Emirates,2/06/2020 03:00,5,0,0,
New South Wales,Australia,2/06/2020 03:00,4,3,0,
Victoria,Australia,2/06/2020 03:00,4,0,0,
Queensland,Australia,2/06/2020 03:00,4,0,0,
Ontario,Canada,2/06/2020 03:00,3,0,0,
,India,2/06/2020 03:00,3,0,0,
,Philippines,2/06/2020 03:00,3,0,1,
,Italy,2/06/2020 03:00,2,0,0,
,Russia,2/06/2020 03:00,2,0,0,Chicago
,UK,2/06/2020 03:00,2,0,0,
Illinois,US,2/06/2020 03:00,2,0,0,
South Australia,Australia,2/06/2020 03:00,2,0,0,
British Columbia,Canada,2/06/2020 03:00,2,0,0,
,Cambodia,2/06/2020 03:00,1,0,0,
,Finland,2/06/2020 03:00,1,1,0,
Tibet,Mainland China,2/06/2020 03:00,1,0,0,
,Nepal,2/06/2020 03:00,1,0,0,
,Spain,2/06/2020 03:00,1,0,0,
,Sri Lanka,2/06/2020 03:00,1,1,0,Boston
,Sweden,2/06/2020 03:00,1,0,0,Seattle
Massachusetts,US,2/06/2020 03:00,1,0,0,Tempe
WA,US,2/06/2020 03:00,1,0,0,
Arizona,US,2/06/2020 03:00,1,0,0,Madison
,Belgium,2/06/2020 03:00,1,0,0,
WI,US,2/06/2020 03:00,1,0,0,
