Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,15167,,,,,404,2020-07-09,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,30524,,,,,462,2020-07-09,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,80082,,,,,2967,2020-07-09,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,120731,,,,,5196,2020-07-09,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,25067,,,,,585,2020-07-09,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,20154,,,,,393,2020-07-09,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,13440,,,,,233,2020-07-09,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,42322,,,,,1213,2020-07-09,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,95536,,,,,2277,2020-07-09,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,129598,,,,,6665,2020-07-09,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,92939,,,,,2324,2020-07-09,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,56349,,,,,1171,2020-07-09,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,67604,,,,,5323,2020-07-09,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,29745,,,,,888,2020-07-09,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,36511,,,,,1326,2020-07-09,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,32490,,,,,875,2020-07-09,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,64314,,,,,801,2020-07-09,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,33367,,,,,748,2020-07-09,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,24804,,,,,921,2020-07-09,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,11063,,,,,134,2020-07-09,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,58537,,,,,1911,2020-07-09,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,64035,,,,,1355,2020-07-09,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,126329,,,,,10970,2020-07-09,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,341365,,,,,16788,2020-07-09,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,35715,,,,,895,2020-07-09,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,35557,,,,,825,2020-07-09,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,36810,,,,,432,2020-07-09,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
