Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/05/2020 02:00,16678,522,479,
Zhejiang,Mainland China,2/05/2020 02:00,895,72,0,
Guangdong,Mainland China,2/05/2020 02:00,870,33,0,
Henan,Mainland China,2/05/2020 02:00,764,47,2,
Hunan,Mainland China,2/05/2020 02:00,661,37,0,
Anhui,Mainland China,2/05/2020 02:00,530,20,0,
Jiangxi,Mainland China,2/05/2020 02:00,548,27,0,
Chongqing,Mainland China,2/05/2020 02:00,366,14,2,
Jiangsu,Mainland China,2/05/2020 02:00,341,13,0,
Sichuan,Mainland China,2/05/2020 02:00,301,23,1,
Shandong,Mainland China,2/05/2020 02:00,298,13,0,
Beijing,Mainland China,2/05/2020 02:00,253,24,1,
Shanghai,Mainland China,2/05/2020 02:00,243,15,1,
Fujian,Mainland China,2/05/2020 02:00,205,8,0,
Heilongjiang,Mainland China,2/05/2020 02:00,190,7,2,
Shaanxi,Mainland China,2/05/2020 02:00,165,3,0,
Guangxi,Mainland China,2/05/2020 02:00,150,10,0,
Hebei,Mainland China,2/05/2020 02:00,136,5,1,
Yunnan,Mainland China,2/05/2020 02:00,122,5,0,
Liaoning,Mainland China,2/05/2020 02:00,81,2,0,
Shanxi,Mainland China,2/05/2020 02:00,81,6,0,
Hainan,Mainland China,2/05/2020 02:00,91,5,1,
Tianjin,Mainland China,2/05/2020 02:00,69,2,1,
Guizhou,Mainland China,2/05/2020 02:00,64,5,0,
Gansu,Mainland China,2/05/2020 02:00,57,4,0,
Jilin,Mainland China,2/05/2020 02:00,54,1,0,
Inner Mongolia,Mainland China,2/05/2020 02:00,42,1,0,
Ningxia,Mainland China,2/05/2020 02:00,34,1,0,
Xinjiang,Mainland China,2/05/2020 02:00,32,0,0,
,Thailand,2/05/2020 02:00,25,8,0,
,Singapore,2/05/2020 02:00,24,1,0,
,Japan,2/05/2020 02:00,33,1,0,
Hong Kong,Hong Kong,2/05/2020 02:00,18,0,1,
,South Korea,2/05/2020 02:00,18,0,0,
Qinghai,Mainland China,2/05/2020 02:00,17,3,0,
,Germany,2/05/2020 02:00,12,0,0,
Taiwan,Taiwan,2/05/2020 02:00,11,0,0,
Macau,Macau,2/05/2020 02:00,10,0,0,
,Malaysia,2/05/2020 02:00,10,0,0,
,Vietnam,2/05/2020 02:00,10,3,0,
,France,2/05/2020 02:00,6,0,0,
California,US,2/05/2020 02:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
,United Arab Emirates,2/05/2020 02:00,5,0,0,
New South Wales,Australia,2/05/2020 02:00,4,3,0,
Victoria,Australia,2/05/2020 02:00,4,0,0,
Ontario,Canada,2/05/2020 02:00,3,0,0,
,India,2/05/2020 02:00,3,0,0,
Queensland,Australia,2/05/2020 02:00,3,0,0,
,Italy,2/05/2020 02:00,2,0,0,
,Philippines,2/05/2020 02:00,3,0,1,
,Russia,2/05/2020 02:00,2,0,0,
,UK,2/05/2020 02:00,2,0,0,
Illinois,US,2/05/2020 02:00,2,0,0,Chicago
South Australia,Australia,2/05/2020 02:00,2,0,0,
,Cambodia,2/05/2020 02:00,1,0,0,
British Columbia,Canada,2/05/2020 02:00,1,0,0,
,Finland,2/05/2020 02:00,1,0,0,
Tibet,Mainland China,2/05/2020 02:00,1,0,0,
,Nepal,2/05/2020 02:00,1,0,0,
,Spain,2/05/2020 02:00,1,0,0,
,Sri Lanka,2/05/2020 02:00,1,1,0,
,Sweden,2/05/2020 02:00,1,0,0,
Massachusetts,US,2/05/2020 02:00,1,0,0,Boston
WA,US,2/05/2020 02:00,1,0,0,Seattle
Arizona,US,2/05/2020 02:00,1,0,0,Tempe
,Belgium,2/05/2020 02:00,1,0,0,
