Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/23/2020 17:00,64084,2346,15343,,2020-02-24 09:00:00,31.1517252,112.8783222
Guangdong,China,02/23/2020 17:00,1342,6,755,,2020-02-24 09:00:00,23.1357694,113.1982688
Zhejiang,China,02/23/2020 17:00,1205,1,760,,2020-02-24 09:00:00,29.0000001,119.9999999
Shandong,China,02/23/2020 17:00,754,4,321,,2020-02-24 09:00:00,36.0000001,118.9999999
Henan,China,02/23/2020 17:00,1271,19,868,,2020-02-24 09:00:00,34.0000001,113.9999999
Anhui,China,02/23/2020 17:00,989,6,637,,2020-02-24 09:00:00,32.0,117.0
Jiangxi,China,02/23/2020 17:00,934,1,613,,2020-02-24 09:00:00,28.0,116.0
Hunan,China,02/23/2020 17:00,1016,4,714,,2020-02-24 09:00:00,27.6662087,111.7487063
Heilongjiang,China,02/23/2020 17:00,480,12,222,,2020-02-24 09:00:00,48.0000047,127.999992
Sichuan,China,02/23/2020 17:00,526,3,261,,2020-02-24 09:00:00,30.5000001,102.4999999
Chongqing,China,02/23/2020 17:00,573,6,328,,2020-02-24 09:00:00,29.5585712,106.5492822
Jiangsu,China,02/23/2020 17:00,631,0,418,,2020-02-24 09:00:00,33.0000001,119.9999999
Beijing,China,02/23/2020 17:00,399,4,189,,2020-02-24 09:00:00,39.906217,116.3912757
Guangxi,China,02/23/2020 17:00,249,2,106,,2020-02-24 09:00:00,24.0,109.0
Fujian,China,02/23/2020 17:00,293,1,170,,2020-02-24 09:00:00,26.5450001,117.842778
Shanghai,China,02/23/2020 17:00,335,3,249,,2020-02-24 09:00:00,31.2252985,121.4890497
Hebei,China,02/23/2020 17:00,311,6,219,,2020-02-24 09:00:00,39.0000001,116.0
Shaanxi,China,02/23/2020 17:00,245,1,163,,2020-02-24 09:00:00,36.0,109.0
Yunnan,China,02/23/2020 17:00,174,2,115,,2020-02-24 09:00:00,25.0,102.0
Tianjin,China,02/23/2020 17:00,135,3,81,,2020-02-24 09:00:00,39.1235635,117.1980785
Hainan,China,02/23/2020 17:00,168,4,106,,2020-02-24 09:00:00,19.2000001,109.5999999
Hong Kong,Hong Kong,02/23/2020 17:00,74,2,12,,2020-02-24 09:00:00,22.2793278,114.1628131
Guizhou,China,02/23/2020 17:00,146,2,102,,2020-02-24 09:00:00,27.0,107.0
Liaoning,China,02/23/2020 17:00,121,1,73,,2020-02-24 09:00:00,40.9739116,122.3263915
Shanxi,China,02/23/2020 17:00,132,0,89,,2020-02-24 09:00:00,37.0,112.0
Inner Mongolia,China,02/23/2020 17:00,75,0,27,,2020-02-24 09:00:00,43.2443242,114.3251664
Xinjiang,China,02/23/2020 17:00,76,2,28,,2020-02-24 09:00:00,41.7574769,87.1673842
Jilin,China,02/23/2020 17:00,91,1,54,,2020-02-24 09:00:00,42.9995032,125.9816054
Ningxia,China,02/23/2020 17:00,71,0,56,,2020-02-24 09:00:00,37.3095528,105.9608553
Taiwan,Taiwan,02/23/2020 17:00,28,1,2,,2020-02-24 09:00:00,23.9739374,120.9820179
Gansu,China,02/23/2020 17:00,91,2,78,,2020-02-24 09:00:00,38.0000001,101.9999999
Macau,Macau,02/23/2020 17:00,10,0,6,,2020-02-24 09:00:00,22.1757605,113.5514142
Qinghai,China,02/23/2020 17:00,18,0,18,,2020-02-24 09:00:00,35.4070952,95.9521157
Tibet,China,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,31.8943432,87.0781371
Yokohama,Japan,02/23/2020 17:00,691,3,17,,2020-02-24 09:00:00,35.444991,139.636768
,South Korea,02/23/2020 17:00,602,6,18,,2020-02-24 09:00:00,36.638392,127.6961188
,Italy,02/23/2020 17:00,157,3,2,,2020-02-24 09:00:00,46.3144754,11.0480288
,Japan,02/23/2020 17:00,146,1,23,,2020-02-24 09:00:00,34.9046568,136.6310496
,Singapore,02/23/2020 17:00,89,0,51,,2020-02-24 09:00:00,1.340863,103.8303918
,Thailand,02/23/2020 17:00,35,0,21,,2020-02-24 09:00:00,18.7544594,100.624804
,Malaysia,02/23/2020 17:00,22,0,18,,2020-02-24 09:00:00,4.5693754,102.2656823
,Iran,02/23/2020 17:00,43,8,0,,2020-02-24 09:00:00,32.6475314,54.5643516
,Germany,02/23/2020 17:00,16,0,14,,2020-02-24 09:00:00,51.0834196,10.4234469
,Vietnam,02/23/2020 17:00,16,0,15,,2020-02-24 09:00:00,13.2904027,108.4265113
,France,02/23/2020 17:00,12,1,10,,2020-02-24 09:00:00,45.1562575,5.4515829
,United Arab Emirates,02/23/2020 17:00,13,0,3,,2020-02-24 09:00:00,24.0002488,53.9994829
,UK,02/23/2020 17:00,13,0,8,,2020-02-24 09:00:00,54.7023545,-3.2765753
,Philippines,02/23/2020 17:00,3,1,2,,2020-02-24 09:00:00,12.7503486,122.7312101
,India,02/23/2020 17:00,3,0,3,,2020-02-24 09:00:00,16.3876987,73.7305913
,Russia,02/23/2020 17:00,2,0,2,,2020-02-24 09:00:00,48.2783785,46.1663642
,Spain,02/23/2020 17:00,2,0,2,,2020-02-24 09:00:00,39.3262345,-4.8380649
Brussels,Belgium,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,50.8436709,4.3674367
,Cambodia,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,13.5066394,104.869423
,Egypt,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,26.2540493,29.2675469
,Finland,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,63.2467777,25.9209164
,Israel,02/23/2020 17:00,2,0,0,,2020-02-24 09:00:00,31.5313113,34.8667654
,Lebanon,02/23/2020 17:00,1,0,0,,2020-02-24 09:00:00,33.8750629,35.843409
,Nepal,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,28.1083929,84.0917139
,Sri Lanka,02/23/2020 17:00,1,0,1,,2020-02-24 09:00:00,7.1895221,79.9548574
